	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study	0.5900000000000001	0.64	0.63	0.6799999999999999	0.69	0.61	0.61	0.61	0.61	0.63	0.64	0.56	0.62	0.65	0.63	0.5800000000000001	0.62	0.63	0.0	0.5900000000000001	0.64	0.63	0.5900000000000001	0.6599999999999999	0.69	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.65	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.65	0.64	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.64	0.64	0.5800000000000001
Low-Level Lead Exposure, intelligence and academic achievement: a long-term follow-up study	0.10999999999999999	0.62	0.63	0.65	0.55	0.63	0.51	0.5700000000000001	0.47	0.6699999999999999	0.6699999999999999	0.63	0.51	0.5900000000000001	0.53	0.63	0.6599999999999999	0.5800000000000001	0.61	0.5	0.62	0.6	0.54	0.6599999999999999	0.72	0.6599999999999999	0.6599999999999999	0.63	0.64	0.6699999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.65	0.6599999999999999	0.65	0.62	0.63	0.6699999999999999	0.6599999999999999
Low-Level Environmental Lead Exposure and ChildrenÕs Intellectual Function: An International Pooled Analysis	0.5	0.5700000000000001	0.0	0.6	0.45999999999999996	0.56	0.48	0.5800000000000001	0.5	0.5700000000000001	0.0	0.5700000000000001	0.0	0.56	0.0	0.6	0.51	0.55	0.62	0.0	0.48	0.5900000000000001	0.0	0.43999999999999995	0.6799999999999999	0.43999999999999995	0.43999999999999995	0.5700000000000001	0.61	0.56	0.43999999999999995	0.43999999999999995	0.6	0.61	0.6	0.61	0.54	0.5900000000000001	0.62	0.62
The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence	0.65	0.5800000000000001	0.64	0.5800000000000001	0.5700000000000001	0.61	0.43999999999999995	0.64	0.52	0.64	0.6	0.54	0.5900000000000001	0.6	0.5900000000000001	0.52	0.5800000000000001	0.64	0.62	0.5700000000000001	0.45999999999999996	0.56	0.63	0.54	0.6599999999999999	0.54	0.54	0.5700000000000001	0.61	0.63	0.54	0.54	0.61	0.63	0.63	0.6	0.6	0.0	0.5900000000000001	0.62
Lead Exposure and Intelligence in 7-Year-Old Children: the Yugoslavia Prospective Study	0.42000000000000004	0.5700000000000001	0.6	0.6	0.48	0.52	0.49	0.43000000000000005	0.51	0.6699999999999999	0.6	0.61	0.49	0.6	0.53	0.64	0.5800000000000001	0.56	0.5900000000000001	0.56	0.6	0.5800000000000001	0.49	0.5900000000000001	0.69	0.5900000000000001	0.5900000000000001	0.63	0.61	0.64	0.5900000000000001	0.5900000000000001	0.64	0.61	0.6699999999999999	0.64	0.5700000000000001	0.63	0.62	0.62
Lifetime Exposure to Environmental Lead and ChildrenÕs Intelligence at 11-13 years: the Port Pirie Cohort Study	0.53	0.55	0.0	0.63	0.5	0.6	0.55	0.5	0.49	0.64	0.0	0.61	0.0	0.51	0.0	0.63	0.6	0.6	0.6	0.0	0.62	0.55	0.0	0.41000000000000003	0.7	0.41000000000000003	0.41000000000000003	0.53	0.61	0.56	0.41000000000000003	0.41000000000000003	0.64	0.63	0.64	0.63	0.63	0.63	0.62	0.6599999999999999
Intellectual Impairment in Children with Blood Lead Concentrations below 10 micrograms per Deciliter	0.6599999999999999	0.5700000000000001	0.08999999999999997	0.5	0.5700000000000001	0.44999999999999996	0.51	0.5700000000000001	0.5800000000000001	0.64	0.56	0.5700000000000001	0.56	0.63	0.5700000000000001	0.65	0.64	0.55	0.63	0.5900000000000001	0.6	0.5800000000000001	0.56	0.6	0.69	0.6	0.6	0.63	0.6	0.63	0.6	0.6	0.62	0.62	0.62	0.6	0.5900000000000001	0.61	0.5900000000000001	0.54
Beyond LOELÕs, p Values, and Vote Counting: Methods for Looking at the Shapes and Strengths of Associations	0.6599999999999999	0.64	0.0	0.62	0.55	0.5800000000000001	0.61	0.5800000000000001	0.63	0.6	0.0	0.63	0.0	0.6	0.0	0.62	0.61	0.64	0.62	0.0	0.62	0.5800000000000001	0.0	0.63	0.71	0.63	0.63	0.6699999999999999	0.63	0.6699999999999999	0.63	0.63	0.65	0.61	0.64	0.63	0.5800000000000001	0.61	0.62	0.5800000000000001
Low-level Lead Exposure and ChildrenÕs IQ: A Meta-Analysis and Search for a Threshold	0.51	0.5900000000000001	0.0	0.65	0.5	0.5900000000000001	0.56	0.53	0.45999999999999996	0.64	0.0	0.6599999999999999	0.0	0.62	0.0	0.65	0.5900000000000001	0.5700000000000001	0.5800000000000001	0.0	0.6	0.63	0.0	0.6599999999999999	0.71	0.6599999999999999	0.6599999999999999	0.64	0.65	0.6799999999999999	0.6599999999999999	0.6599999999999999	0.6	0.64	0.63	0.5800000000000001	0.5700000000000001	0.5700000000000001	0.64	0.6599999999999999
Reduction in Fine Particulate Air Pollution and Mortality	0.6699999999999999	0.5800000000000001	0.5800000000000001	0.64	0.62	0.5800000000000001	0.5800000000000001	0.6	0.5700000000000001	0.6	0.62	0.0	0.5700000000000001	0.69	0.64	0.32999999999999996	0.64	0.5700000000000001	0.5700000000000001	0.65	0.61	0.5700000000000001	0.62	0.6	0.69	0.6	0.6	0.6	0.54	0.5700000000000001	0.6	0.6	0.53	0.6	0.5800000000000001	0.5700000000000001	0.53	0.53	0.56	0.62
Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead	0.6599999999999999	0.55	0.62	0.5800000000000001	0.55	0.53	0.55	0.5800000000000001	0.63	0.6	0.53	0.64	0.5	0.53	0.62	0.61	0.0	0.5800000000000001	0.5800000000000001	0.6	0.35	0.62	0.6	0.54	0.62	0.54	0.54	0.61	0.6	0.6599999999999999	0.54	0.54	0.61	0.5900000000000001	0.65	0.63	0.5900000000000001	0.5800000000000001	0.64	0.62
Environmental Lead and ChildrenÕs Intelligence: A Systematic Review of the Epidemiological Evidence	0.54	0.5700000000000001	0.0	0.64	0.55	0.5900000000000001	0.5700000000000001	0.61	0.5700000000000001	0.6699999999999999	0.0	0.63	0.0	0.65	0.0	0.64	0.63	0.56	0.63	0.0	0.62	0.6	0.0	0.41000000000000003	0.72	0.41000000000000003	0.41000000000000003	0.55	0.56	0.5800000000000001	0.41000000000000003	0.41000000000000003	0.53	0.55	0.6	0.6	0.5700000000000001	0.5900000000000001	0.62	0.6599999999999999
Temporal Pattern in the Effect of Post-Natal Blood Lead Level in Intellectual Development of Young Children	0.62	0.54	0.5800000000000001	0.56	0.48	0.5700000000000001	0.52	0.61	0.5700000000000001	0.6699999999999999	0.6	0.5900000000000001	0.5900000000000001	0.53	0.5800000000000001	0.6599999999999999	0.63	0.010000000000000009	0.64	0.6699999999999999	0.5700000000000001	0.54	0.6	0.6	0.7	0.6	0.6	0.6699999999999999	0.63	0.6699999999999999	0.6	0.6	0.65	0.64	0.6599999999999999	0.62	0.61	0.63	0.5900000000000001	0.62
IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds?	0.65	0.55	0.52	0.53	0.5700000000000001	0.0	0.6	0.5800000000000001	0.61	0.6699999999999999	0.53	0.5900000000000001	0.5700000000000001	0.53	0.6	0.64	0.55	0.6	0.63	0.5900000000000001	0.5700000000000001	0.54	0.62	0.6	0.71	0.6	0.6	0.62	0.63	0.6599999999999999	0.6	0.6	0.6	0.63	0.64	0.62	0.61	0.6599999999999999	0.5	0.54
Effect of Smelter Emissions Reductions on Children's Blood Levels	0.6699999999999999	0.5700000000000001	0.53	0.52	0.48	0.5	0.62	0.6	0.64	0.62	0.06999999999999995	0.63	0.56	0.52	0.62	0.6699999999999999	0.5	0.5700000000000001	0.64	0.6	0.5700000000000001	0.56	0.53	0.6	0.71	0.6	0.6	0.64	0.64	0.6699999999999999	0.6	0.6	0.6	0.6	0.65	0.62	0.62	0.6	0.62	0.62
Societal Benefits of Reducing Lead Exposure	0.61	0.61	0.5900000000000001	0.5900000000000001	0.5800000000000001	0.56	0.47	0.61	0.5900000000000001	0.6599999999999999	0.56	0.61	0.47	0.56	0.61	0.54	0.32999999999999996	0.54	0.63	0.5900000000000001	0.0	0.5900000000000001	0.61	0.6	0.6799999999999999	0.6	0.6	0.63	0.61	0.63	0.6	0.6	0.61	0.63	0.61	0.5900000000000001	0.56	0.44999999999999996	0.64	0.6599999999999999
Societal Benefits of Reducing Lead Exposure	0.61	0.61	0.5900000000000001	0.5900000000000001	0.5800000000000001	0.56	0.47	0.61	0.5900000000000001	0.6599999999999999	0.56	0.61	0.47	0.56	0.61	0.54	0.32999999999999996	0.54	0.63	0.5900000000000001	0.0	0.5900000000000001	0.61	0.6	0.6799999999999999	0.6	0.6	0.63	0.61	0.63	0.6	0.6	0.61	0.63	0.61	0.5900000000000001	0.56	0.44999999999999996	0.64	0.6599999999999999
Assessment of Deaths Attributable to Air Pollution: Should We Use Risk Estimates Based on Time Series or Cohort Studies?	0.64	0.6	0.64	0.62	0.62	0.61	0.6	0.61	0.62	0.62	0.6	0.52	0.6599999999999999	0.63	0.64	0.64	0.64	0.62	0.6	0.63	0.64	0.5900000000000001	0.56	0.63	0.73	0.63	0.63	0.64	0.65	0.6699999999999999	0.63	0.63	0.65	0.63	0.65	0.63	0.63	0.63	0.5900000000000001	0.54
The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry	0.49	0.5800000000000001	0.56	0.6	0.55	0.63	0.0	0.52	0.48	0.63	0.63	0.5700000000000001	0.47	0.5700000000000001	0.5700000000000001	0.55	0.55	0.53	0.65	0.56	0.48	0.55	0.55	0.5700000000000001	0.6699999999999999	0.5700000000000001	0.5700000000000001	0.5900000000000001	0.61	0.62	0.5700000000000001	0.5700000000000001	0.6	0.6	0.63	0.6	0.62	0.44999999999999996	0.64	0.5800000000000001
The Long-Term Effects of Exposure to Low Doses of Lead in Children - Reply	0.5900000000000001	0.52	0.64	0.5800000000000001	0.53	0.52	0.5700000000000001	0.55	0.6	0.6799999999999999	0.48	0.6799999999999999	0.56	0.020000000000000018	0.65	0.5700000000000001	0.53	0.53	0.64	0.5700000000000001	0.5700000000000001	0.5900000000000001	0.49	0.6599999999999999	0.73	0.6599999999999999	0.6599999999999999	0.6799999999999999	0.64	0.69	0.6599999999999999	0.6599999999999999	0.64	0.63	0.65	0.63	0.56	0.61	0.62	0.7
