	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities	0.3076923076923077	0.4736842105263158	0.5116279069767442	0.38235294117647056	0.48571428571428577	0.32558139534883723	0.31707317073170727	0.3589743589743589	0.42105263157894735	0.44999999999999996	0.4054054054054054	0.5142857142857142	0.3589743589743589	0.3783783783783784	0.3421052631578947	0.2777777777777778	0.3783783783783784	0.375	0.4565217391304348	0.3902439024390244	0.4444444444444444	0.5897435897435898	0.35	0.5	0.4390243902439024	0.5	0.5	0.44999999999999996	0.3414634146341463	0.46341463414634143	0.5	0.5	0.43181818181818177	0.3076923076923077	0.34090909090909094	0.38095238095238093	0.2142857142857143	0.3589743589743589	0.5135135135135135	0.6111111111111112
National Primary and Secondary Ambient Air Quality Standards for Lead	0.5263157894736843	0.5454545454545454	0.5405405405405406	0.3928571428571429	0.5172413793103448	0.5238095238095238	0.4871794871794872	0.4117647058823529	0.48484848484848486	0.5142857142857142	0.4193548387096774	0.4444444444444444	0.5	0.5294117647058824	0.48571428571428577	0.47058823529411764	0.5294117647058824	0.4722222222222222	0.5121951219512195	0.4864864864864865	0.4666666666666667	0.59375	0.4864864864864865	0.4814814814814815	0.4571428571428572	0.4814814814814815	0.4814814814814815	0.4242424242424242	0.5128205128205128	0.5675675675675675	0.4814814814814815	0.4814814814814815	0.36111111111111116	0.4864864864864865	0.5	0.34285714285714286	0.5555555555555556	0.4571428571428572	0.4482758620689655	0.6666666666666667
Proposed National Ambient Air Quality Standards for Lead	0.5263157894736843	0.5454545454545454	0.5405405405405406	0.4482758620689655	0.5172413793103448	0.5238095238095238	0.4871794871794872	0.4117647058823529	0.48484848484848486	0.5142857142857142	0.46875	0.5	0.5	0.5294117647058824	0.48571428571428577	0.47058823529411764	0.5294117647058824	0.4722222222222222	0.5121951219512195	0.4864864864864865	0.4666666666666667	0.5483870967741935	0.4864864864864865	0.5357142857142857	0.4571428571428572	0.5357142857142857	0.5357142857142857	0.47058823529411764	0.5128205128205128	0.5675675675675675	0.5357142857142857	0.5357142857142857	0.4054054054054054	0.5263157894736843	0.5	0.34285714285714286	0.5555555555555556	0.4571428571428572	0.3928571428571429	0.6666666666666667
Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule	0.38888888888888884	0.48484848484848486	0.5263157894736843	0.3793103448275862	0.4482758620689655	0.4	0.39473684210526316	0.4	0.375	0.36363636363636365	0.40625	0.4285714285714286	0.4	0.4242424242424242	0.33333333333333337	0.36363636363636365	0.32258064516129037	0.37142857142857144	0.42500000000000004	0.4736842105263158	0.4	0.6176470588235294	0.38888888888888884	0.34615384615384615	0.3529411764705882	0.34615384615384615	0.34615384615384615	0.4117647058823529	0.2857142857142857	0.38235294117647056	0.34615384615384615	0.34615384615384615	0.39473684210526316	0.34285714285714286	0.375	0.3783783783783784	0.40476190476190477	0.4	0.4838709677419355	0.6
Final Ozone NAAQS Regulatory Impact Analysis 	0.4736842105263158	0.6111111111111112	0.5641025641025641	0.5757575757575757	0.6363636363636364	0.5116279069767442	0.5121951219512195	0.6	0.5142857142857142	0.4117647058823529	0.6216216216216216	0.48275862068965514	0.5263157894736843	0.5945945945945945	0.4722222222222222	0.5	0.5555555555555556	0.5384615384615384	0.5681818181818181	0.55	0.5	0.6571428571428571	0.55	0.5172413793103448	0.5641025641025641	0.5172413793103448	0.5172413793103448	0.5789473684210527	0.5365853658536586	0.4285714285714286	0.5172413793103448	0.5172413793103448	0.5121951219512195	0.5853658536585367	0.375	0.42105263157894735	0.5434782608695652	0.5641025641025641	0.53125	0.6
Final Regulatory Impact Analysis: PM 2.5 NAAQS	0.44999999999999996	0.5789473684210527	0.5714285714285714	0.5428571428571429	0.6	0.48888888888888893	0.41463414634146345	0.5365853658536586	0.4444444444444444	0.38888888888888884	0.5897435897435898	0.4	0.46153846153846156	0.6	0.4473684210526315	0.43243243243243246	0.5641025641025641	0.5121951219512195	0.4418604651162791	0.4878048780487805	0.5142857142857142	0.6578947368421053	0.4878048780487805	0.4838709677419355	0.5	0.4838709677419355	0.4838709677419355	0.5128205128205128	0.5116279069767442	0.3142857142857143	0.4838709677419355	0.4838709677419355	0.41463414634146345	0.5238095238095238	0.39534883720930236	0.4	0.5208333333333333	0.5	0.5	0.6857142857142857
PM (2.5) NAAQS	0.9024390243902439	0.9117647058823529	0.925	0.8666666666666667	0.896551724137931	0.8913043478260869	0.8571428571428572	0.868421052631579	0.8857142857142857	0.8611111111111112	0.8823529411764706	0.8076923076923077	0.8974358974358975	0.9459459459459459	0.8947368421052632	0.8611111111111112	0.9459459459459459	0.9	0.8095238095238095	0.8461538461538461	0.90625	0.9032258064516129	0.9024390243902439	0.8461538461538461	0.868421052631579	0.8461538461538461	0.8461538461538461	0.7575757575757576	0.825	0.8	0.8461538461538461	0.8461538461538461	0.736842105263158	0.7837837837837838	0.7619047619047619	0.7297297297297297	0.8260869565217391	0.8974358974358975	0.8275862068965517	0.9259259259259259
Regulatory Impact Analysis of the Clean Air Mercury Rule	0.4864864864864865	0.5	0.5	0.4482758620689655	0.5172413793103448	0.44999999999999996	0.4054054054054054	0.4571428571428572	0.48484848484848486	0.2666666666666667	0.5151515151515151	0.4444444444444444	0.4571428571428572	0.4375	0.34375	0.4242424242424242	0.3870967741935484	0.4285714285714286	0.5121951219512195	0.4444444444444444	0.4666666666666667	0.6363636363636364	0.4444444444444444	0.4814814814814815	0.5	0.4814814814814815	0.4814814814814815	0.5142857142857142	0.4736842105263158	0.4411764705882353	0.4814814814814815	0.4814814814814815	0.525	0.4864864864864865	0.5	0.5128205128205128	0.5227272727272727	0.4571428571428572	0.4482758620689655	0.6206896551724138
The Relationship Between Air Lead and Blood Lead in Children: A Critical Review	0.4444444444444444	0.07999999999999996	0.4571428571428572	0.5	0.4642857142857143	0.4878048780487805	0.4473684210526315	0.5405405405405406	0.4375	0.5555555555555556	0.46875	0.5517241379310345	0.4117647058823529	0.4375	0.34375	0.5142857142857142	0.3870967741935484	0.4722222222222222	0.5813953488372092	0.4	0.4666666666666667	0.3928571428571429	0.5263157894736843	0.5862068965517242	0.5	0.5862068965517242	0.5862068965517242	0.5945945945945945	0.55	0.5675675675675675	0.5862068965517242	0.5862068965517242	0.525	0.5263157894736843	0.6	0.5853658536585367	0.5227272727272727	0.4571428571428572	0.6363636363636364	0.6206896551724138
The Relationship between Gasoline Lead and Blood Lead in the United States	0.5405405405405406	0.3571428571428571	0.5142857142857142	0.5666666666666667	0.5862068965517242	0.6666666666666667	0.6097560975609756	0.5555555555555556	0.5454545454545454	0.6486486486486487	0.53125	0.6666666666666667	0.631578947368421	0.5454545454545454	0.5428571428571429	0.6486486486486487	0.5	0.6052631578947368	0.6888888888888889	0.5789473684210527	0.48275862068965514	0.045454545454545414	0.65	0.7419354838709677	0.5555555555555556	0.7419354838709677	0.7419354838709677	0.75	0.6341463414634146	0.725	0.7419354838709677	0.7419354838709677	0.6097560975609756	0.65	0.6739130434782609	0.6341463414634146	0.6304347826086957	0.5555555555555556	0.65625	0.6428571428571428
Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution	0.33333333333333337	0.5555555555555556	0.5128205128205128	0.4193548387096774	0.4838709677419355	0.4651162790697675	0.3421052631578947	0.34285714285714286	0.4117647058823529	0.4864864864864865	0.5277777777777778	0.4137931034482759	0.2941176470588235	0.36363636363636365	0.45945945945945943	0.06896551724137934	0.4117647058823529	0.4054054054054054	0.5227272727272727	0.42105263157894735	0.4375	0.6756756756756757	0.3783783783783784	0.4482758620689655	0.5128205128205128	0.4482758620689655	0.4482758620689655	0.4444444444444444	0.44999999999999996	0.45945945945945943	0.4482758620689655	0.4482758620689655	0.5348837209302326	0.46153846153846156	0.5111111111111111	0.4878048780487805	0.39534883720930236	0.43243243243243246	0.5151515151515151	0.6666666666666667
Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry	0.2647058823529411	0.4545454545454546	0.45945945945945943	0.4	0.4137931034482759	0.45238095238095233	0.2777777777777778	0.37142857142857144	0.03703703703703709	0.4722222222222222	0.47058823529411764	0.5483870967741935	0.2727272727272727	0.3939393939393939	0.303030303030303	0.4285714285714286	0.3939393939393939	0.34285714285714286	0.47619047619047616	0.3142857142857143	0.3666666666666667	0.5454545454545454	0.2647058823529411	0.48275862068965514	0.37142857142857144	0.48275862068965514	0.48275862068965514	0.5135135135135135	0.475	0.4444444444444444	0.48275862068965514	0.48275862068965514	0.41025641025641024	0.4871794871794872	0.5	0.475	0.48888888888888893	0.21875	0.5454545454545454	0.6129032258064516
Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study	0.39473684210526316	0.5277777777777778	0.525	0.48484848484848486	0.5882352941176471	0.4418604651162791	0.4	0.4473684210526315	0.4285714285714286	0.41666666666666663	0.4571428571428572	0.53125	0.4473684210526315	0.5526315789473684	0.38888888888888884	0.5	0.4722222222222222	0.42105263157894735	0.26315789473684215	0.39473684210526316	0.5	0.6486486486486487	0.4358974358974359	0.5161290322580645	0.4473684210526315	0.5161290322580645	0.5161290322580645	0.5384615384615384	0.5	0.5128205128205128	0.5161290322580645	0.5161290322580645	0.4390243902439024	0.4358974358974359	0.4545454545454546	0.5	0.4782608695652174	0.4473684210526315	0.6111111111111112	0.6363636363636364
Low-Level Lead Exposure, intelligence and academic achievement: a long-term follow-up study	0.23529411764705888	0.47058823529411764	0.4736842105263158	0.4193548387096774	0.4838709677419355	0.4285714285714286	0.3421052631578947	0.34285714285714286	0.25806451612903225	0.4444444444444444	0.48571428571428577	0.6060606060606061	0.2941176470588235	0.25806451612903225	0.32352941176470584	0.3529411764705882	0.3125	0.36111111111111116	0.4883720930232558	0.33333333333333337	0.3870967741935484	0.6	0.2857142857142857	0.5	0.38888888888888884	0.5	0.5	0.4864864864864865	0.41025641025641024	0.5	0.5	0.5	0.42500000000000004	0.46153846153846156	0.5111111111111111	0.4878048780487805	0.43181818181818177	0.34285714285714286	0.6	0.625
Low-Level Environmental Lead Exposure and ChildrenÕs Intellectual Function: An International Pooled Analysis	0.25	0.4285714285714286	1.0	0.47058823529411764	0.48484848484848486	0.39534883720930236	0.26315789473684215	0.3513513513513513	0.2727272727272727	0.4871794871794872	1.0	0.5151515151515151	1.0	0.37142857142857144	1.0	0.3142857142857143	0.41666666666666663	0.368421052631579	0.48888888888888893	1.0	0.5277777777777778	0.631578947368421	1.0	0.5	0.4358974358974359	0.5	0.5	0.4871794871794872	0.4883720930232558	0.42105263157894735	0.5	0.5	0.4651162790697675	0.5	0.5106382978723405	0.5227272727272727	0.4347826086956522	0.3513513513513513	0.5945945945945945	0.6944444444444444
The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence	0.3421052631578947	0.4285714285714286	0.4358974358974359	0.375	0.3870967741935484	0.39534883720930236	0.26315789473684215	0.3055555555555556	0.21875	0.525	0.4	0.6	0.3513513513513513	0.37142857142857144	0.33333333333333337	0.4054054054054054	0.37142857142857144	0.22857142857142854	0.48888888888888893	0.29729729729729726	0.3939393939393939	0.5555555555555556	0.25	0.5454545454545454	0.39473684210526316	0.5454545454545454	0.5454545454545454	0.4871794871794872	0.41463414634146345	0.5	0.5454545454545454	0.5454545454545454	0.4285714285714286	0.46341463414634143	0.4782608695652174	0.45238095238095233	0.4347826086956522	0.032258064516129004	0.4242424242424242	0.6571428571428571
Lead Exposure and Intelligence in 7-Year-Old Children: the Yugoslavia Prospective Study	0.3421052631578947	0.5135135135135135	0.5121951219512195	0.4242424242424242	0.3870967741935484	0.31707317073170727	0.35	0.3513513513513513	0.21875	0.5609756097560976	0.4864864864864865	0.6	0.3055555555555556	0.41666666666666663	0.3783783783783784	0.4054054054054054	0.41666666666666663	0.32432432432432434	0.5217391304347826	0.3421052631578947	0.4411764705882353	0.631578947368421	0.25	0.5454545454545454	0.475	0.5454545454545454	0.5454545454545454	0.525	0.4883720930232558	0.5	0.5454545454545454	0.5454545454545454	0.4651162790697675	0.46341463414634143	0.5106382978723405	0.4883720930232558	0.4347826086956522	0.20588235294117652	0.5142857142857142	0.6176470588235294
Lifetime Exposure to Environmental Lead and ChildrenÕs Intelligence at 11-13 years: the Port Pirie Cohort Study	0.33333333333333337	0.5384615384615384	1.0	0.36363636363636365	0.47058823529411764	0.30952380952380953	0.30000000000000004	0.29729729729729726	0.2647058823529411	0.5121951219512195	1.0	0.6216216216216216	1.0	0.36111111111111116	1.0	0.39473684210526316	0.36111111111111116	0.3157894736842105	0.40909090909090906	1.0	0.4285714285714286	0.65	1.0	0.5294117647058824	0.42500000000000004	0.5294117647058824	0.5294117647058824	0.475	0.4772727272727273	0.4878048780487805	0.5294117647058824	0.5294117647058824	0.4545454545454546	0.45238095238095233	0.5	0.4772727272727273	0.42553191489361697	0.25	0.5405405405405406	0.6756756756756757
Intellectual Impairment in Children with Blood Lead Concentrations below 10 micrograms per Deciliter	0.4871794871794872	0.40625	0.16129032258064513	0.4516129032258065	0.4666666666666667	0.4883720930232558	0.44999999999999996	0.45945945945945943	0.4411764705882353	0.4722222222222222	0.47058823529411764	0.6363636363636364	0.45945945945945943	0.34375	0.4444444444444444	0.5135135135135135	0.3939393939393939	0.38888888888888884	0.5454545454545454	0.525	0.46875	0.5	0.4473684210526315	0.625	0.5384615384615384	0.625	0.625	0.5526315789473684	0.5476190476190477	0.5641025641025641	0.625	0.625	0.5238095238095238	0.5609756097560976	0.5957446808510638	0.5476190476190477	0.5217391304347826	0.45945945945945943	0.5454545454545454	0.6129032258064516
Beyond LOELÕs, p Values, and Vote Counting: Methods for Looking at the Shapes and Strengths of Associations	0.4390243902439024	0.4864864864864865	1.0	0.4411764705882353	0.5428571428571429	0.4444444444444444	0.40476190476190477	0.44999999999999996	0.43243243243243246	0.5	1.0	0.5714285714285714	1.0	0.4736842105263158	1.0	0.42105263157894735	0.43243243243243246	0.46341463414634143	0.4666666666666667	1.0	0.4117647058823529	0.6052631578947368	1.0	0.6	0.4878048780487805	0.6	0.6	0.5365853658536586	0.5	0.5813953488372092	0.6	0.6	0.5111111111111111	0.47619047619047616	0.4893617021276596	0.5	0.44680851063829785	0.41025641025641024	0.5277777777777778	0.6285714285714286
Low-level Lead Exposure and ChildrenÕs IQ: A Meta-Analysis and Search for a Threshold	0.2894736842105263	0.41666666666666663	1.0	0.5	0.5555555555555556	0.4222222222222223	0.2564102564102564	0.3421052631578947	0.3142857142857143	0.4358974358974359	1.0	0.5833333333333333	1.0	0.36111111111111116	1.0	0.39473684210526316	0.4473684210526315	0.4	0.4782608695652174	1.0	0.4722222222222222	0.5789473684210527	1.0	0.6111111111111112	0.46341463414634143	0.6111111111111112	0.6111111111111112	0.5121951219512195	0.5111111111111111	0.5581395348837209	0.6111111111111112	0.6111111111111112	0.4545454545454546	0.5227272727272727	0.5	0.5111111111111111	0.45833333333333337	0.29729729729729726	0.5789473684210527	0.7105263157894737
Reduction in Fine Particulate Air Pollution and Mortality	0.5833333333333333	0.5666666666666667	0.6756756756756757	0.5714285714285714	0.5384615384615384	0.6097560975609756	0.5405405405405406	0.5588235294117647	0.5483870967741935	0.53125	0.5806451612903225	0.052631578947368474	0.5151515151515151	0.6363636363636364	0.5882352941176471	0.43333333333333335	0.59375	0.6111111111111112	0.6	0.5833333333333333	0.5357142857142857	0.6666666666666667	0.6216216216216216	0.4347826086956522	0.6	0.4347826086956522	0.4347826086956522	0.53125	0.5675675675675675	0.5	0.4347826086956522	0.4347826086956522	0.5789473684210527	0.5833333333333333	0.5853658536585367	0.5675675675675675	0.6046511627906976	0.6	0.5185185185185186	0.6
Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead	0.4054054054054054	0.40625	0.41666666666666663	0.3448275862068966	0.4137931034482759	0.41463414634146345	0.41025641025641024	0.32352941176470584	0.3939393939393939	0.4722222222222222	0.32258064516129037	0.59375	0.41666666666666663	0.29032258064516125	0.3529411764705882	0.4285714285714286	0.03703703703703709	0.2941176470588235	0.5454545454545454	0.4473684210526315	0.25	0.5	0.36111111111111116	0.5333333333333333	0.45945945945945943	0.5333333333333333	0.5333333333333333	0.4722222222222222	0.4358974358974359	0.5263157894736843	0.5333333333333333	0.5333333333333333	0.4878048780487805	0.4473684210526315	0.5333333333333333	0.475	0.41860465116279066	0.37142857142857144	0.5882352941176471	0.6129032258064516
Environmental Lead and ChildrenÕs Intelligence: A Systematic Review of the Epidemiological Evidence	0.32432432432432434	0.36363636363636365	1.0	0.3548387096774194	0.5151515151515151	0.38095238095238093	0.2894736842105263	0.42105263157894735	0.303030303030303	0.38888888888888884	1.0	0.5882352941176471	1.0	0.4	1.0	0.4736842105263158	0.3529411764705882	0.39473684210526316	0.4772727272727273	1.0	0.4242424242424242	0.5428571428571429	1.0	0.4838709677419355	0.33333333333333337	0.4838709677419355	0.4838709677419355	0.4736842105263158	0.47619047619047616	0.4473684210526315	0.4838709677419355	0.4838709677419355	0.375	0.368421052631579	0.4666666666666667	0.4390243902439024	0.4565217391304348	0.33333333333333337	0.5428571428571429	0.6470588235294117
Temporal Pattern in the Effect of Post-Natal Blood Lead Level in Intellectual Development of Young Children	0.42500000000000004	0.4722222222222222	0.3055555555555556	0.375	0.3870967741935484	0.3571428571428571	0.35	0.3513513513513513	0.41666666666666663	0.4871794871794872	0.4	0.6388888888888888	0.39473684210526316	0.2727272727272727	0.42105263157894735	0.4054054054054054	0.32352941176470584	0.12121212121212122	0.48888888888888893	0.42500000000000004	0.4411764705882353	0.5945945945945945	0.3421052631578947	0.5454545454545454	0.5121951219512195	0.5454545454545454	0.5454545454545454	0.4871794871794872	0.4883720930232558	0.5365853658536586	0.5454545454545454	0.5454545454545454	0.5	0.5	0.4782608695652174	0.4883720930232558	0.4	0.3055555555555556	0.5142857142857142	0.6571428571428571
IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds?	0.4772727272727273	0.525	0.5227272727272727	0.4864864864864865	0.5405405405405406	0.1282051282051282	0.4782608695652174	0.5227272727272727	0.5121951219512195	0.3846153846153846	0.5	0.6052631578947368	0.45238095238095233	0.475	0.4	0.5	0.4358974358974359	0.4285714285714286	0.5	0.4418604651162791	0.5	0.6666666666666667	0.4418604651162791	0.5945945945945945	0.5555555555555556	0.5945945945945945	0.5945945945945945	0.46341463414634143	0.5	0.5116279069767442	0.5945945945945945	0.5945945945945945	0.40909090909090906	0.40476190476190477	0.4897959183673469	0.4666666666666667	0.41666666666666663	0.45238095238095233	0.6	0.6216216216216216
Effect of Smelter Emissions Reductions on Children's Blood Levels	0.5263157894736843	0.4516129032258065	0.5	0.33333333333333337	0.4642857142857143	0.4878048780487805	0.4871794871794872	0.4117647058823529	0.48484848484848486	0.5555555555555556	0.18518518518518523	0.6	0.5	0.4375	0.3939393939393939	0.5555555555555556	0.27586206896551724	0.4285714285714286	0.5476190476190477	0.4864864864864865	0.3571428571428571	0.5483870967741935	0.4444444444444444	0.5862068965517242	0.5405405405405406	0.5862068965517242	0.5862068965517242	0.5142857142857142	0.55	0.6052631578947368	0.5862068965517242	0.5862068965517242	0.4871794871794872	0.4444444444444444	0.5681818181818181	0.5128205128205128	0.4883720930232558	0.4571428571428572	0.6363636363636364	0.6666666666666667
Societal Benefits of Reducing Lead Exposure	0.4722222222222222	0.4838709677419355	0.48571428571428577	0.37037037037037035	0.5	0.5121951219512195	0.4736842105263158	0.4411764705882353	0.3666666666666667	0.5	0.4	0.5357142857142857	0.5277777777777778	0.3666666666666667	0.4242424242424242	0.4545454545454546	0.25	0.4117647058823529	0.5714285714285714	0.4722222222222222	0.04347826086956519	0.48275862068965514	0.4285714285714286	0.5714285714285714	0.5277777777777778	0.5714285714285714	0.5714285714285714	0.5428571428571429	0.5	0.5555555555555556	0.5714285714285714	0.5714285714285714	0.5128205128205128	0.5135135135135135	0.5581395348837209	0.45945945945945943	0.47619047619047616	0.3939393939393939	0.5333333333333333	0.6071428571428572
Societal Benefits of Reducing Lead Exposure	0.4722222222222222	0.4838709677419355	0.48571428571428577	0.37037037037037035	0.5	0.5121951219512195	0.4736842105263158	0.4411764705882353	0.3666666666666667	0.5	0.4	0.5357142857142857	0.5277777777777778	0.3666666666666667	0.4242424242424242	0.4545454545454546	0.25	0.4117647058823529	0.5714285714285714	0.4722222222222222	0.04347826086956519	0.48275862068965514	0.4285714285714286	0.5714285714285714	0.5277777777777778	0.5714285714285714	0.5714285714285714	0.5428571428571429	0.5	0.5555555555555556	0.5714285714285714	0.5714285714285714	0.5128205128205128	0.5135135135135135	0.5581395348837209	0.45945945945945943	0.47619047619047616	0.3939393939393939	0.5333333333333333	0.6071428571428572
Assessment of Deaths Attributable to Air Pollution: Should We Use Risk Estimates Based on Time Series or Cohort Studies?	0.5348837209302326	0.4722222222222222	0.5121951219512195	0.47058823529411764	0.5714285714285714	0.5	0.4651162790697675	0.4358974358974359	0.575	0.525	0.4	0.6	0.5476190476190477	0.5	0.5	0.5609756097560976	0.45945945945945943	0.4878048780487805	0.5531914893617021	0.5348837209302326	0.5277777777777778	0.5142857142857142	0.5348837209302326	0.6285714285714286	0.475	0.6285714285714286	0.6285714285714286	0.5952380952380952	0.5227272727272727	0.6046511627906976	0.6285714285714286	0.6285714285714286	0.5	0.5348837209302326	0.5416666666666667	0.5555555555555556	0.5	0.475	0.5142857142857142	0.6571428571428571
The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry	0.2564102564102564	0.46153846153846156	0.4285714285714286	0.41666666666666663	0.5135135135135135	0.42553191489361697	0.02777777777777779	0.3076923076923077	0.2777777777777778	0.4	0.475	0.5405405405405406	0.26315789473684215	0.32432432432432434	0.2894736842105263	0.3157894736842105	0.41025641025641024	0.28205128205128205	0.44680851063829785	0.2564102564102564	0.4736842105263158	0.6097560975609756	0.30000000000000004	0.5277777777777778	0.35	0.5277777777777778	0.5277777777777778	0.47619047619047616	0.4444444444444444	0.45238095238095233	0.5277777777777778	0.5277777777777778	0.4222222222222223	0.4545454545454546	0.4375	0.4782608695652174	0.36170212765957444	0.26315789473684215	0.5	0.7
The Long-Term Effects of Exposure to Low Doses of Lead in Children - Reply	0.3513513513513513	0.4411764705882353	0.36111111111111116	0.3870967741935484	0.5	0.4418604651162791	0.3157894736842105	0.3142857142857143	0.38235294117647056	0.37142857142857144	0.4571428571428572	0.5757575757575757	0.36111111111111116	0.10344827586206895	0.34285714285714286	0.32352941176470584	0.28125	0.2857142857142857	0.5957446808510638	0.3513513513513513	0.3548387096774194	0.5294117647058824	0.3513513513513513	0.5625	0.4871794871794872	0.5625	0.5625	0.5	0.42500000000000004	0.55	0.5625	0.5625	0.47619047619047616	0.475	0.5217391304347826	0.5	0.37209302325581395	0.36111111111111116	0.5294117647058824	0.6363636363636364
