"","bibtype","author","title","journal","year","volume","number","pages","month","abstract","doi","issn","unique-id","researcherid-numbers","orcid-numbers","article-number","eissn","editor","booktitle","isbn","note","organization","series","book-group-author"
"ISI:A1993LC83100002","Article","CA KENT","{AN ANALYTICAL HISTORY OF EIA}","{GOVERNMENT INFORMATION QUARTERLY}","{1993}","{10}","{1}","{3-24}",NA,"{This article traces the development of the Energy Information
   Administration (EIA) from 1974, the inception of its precursor, an
   office within the Federal Energy Administration, to its current form as
   an independent agency within the U.S. Department of Energy (DOE). EIA
   amalgamated the energy-related activities of over 50 separate agencies,
   when it was chartered in DOE in 1977, `'to collect, evaluate, assemble,
   and analyze energy information....'' Six tensions have characterized the
   agency during its history: data quality, the role of modeling,
   confidentiality of data, resources and requirements, the independence of
   EIA, and timeliness vs. accuracy.}","{10.1016/0740-624X(93)90003-I}","{0740-624X}","{ISI:A1993LC83100002}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:A1993LC83100004","Article","CW SKINNER","{NATIONAL ENERGY MODELING SYSTEM}","{GOVERNMENT INFORMATION QUARTERLY}","{1993}","{10}","{1}","{41-51}",NA,"{The Energy Information Administration is developing a new National
   Energy Modeling System to provide annual forecasts of energy supply,
   demand, and prices on a regional basis in the United States and, to a
   limited extent, in the rest of the world. The design for the system was
   based on a requirements analysis, a comparison of requirements with
   existing modeling capabilities, and a series of widely circulated issue
   papers defining the choices and tradeoffs for 13 key design decisions,
   An initial prototype of the new NEMS was implemented in late 1992, with
   a more complete, operational version in 1993. NEMS is expected to
   provide EIA and other users with a greatly enhanced ability to
   illustrate quickly and effectively the effects of a wide range of energy
   policy proposals.}","{10.1016/0740-624X(93)90005-K}","{0740-624X}","{ISI:A1993LC83100004}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000359751400010","Article","Benjamin Blandford and Ted Grossardt and Michael Shouse and John Ripy","{Intermodal Network Model of Coal Distribution in the United States}","{TRANSPORTATION RESEARCH RECORD}","{2015}",NA,"{2479}","{69-77}",NA,"{This paper describes an intermodal network model based on the geographic
   information system for the shipment of coal in the United States. The
   research contributes to a better understanding of a portion of the
   energy transportation system and how rail, water, and highway are
   integrated to deliver energy goods. Coal movements were modeled across
   the network with the Energy Information Administration's 2010 data,
   providing detailed origin, destination, primary mode, and volume
   information for coal movements in the United States. The model
   identifies the optimum routes for coal shipments on the basis of a rate
   structure that accounts for the relative costs of shipping by each of
   the modes. The model results reveal the wide distribution of Powder
   River Basin coal, with a market area that reaches across the West and
   the Midwest. Both Texas and Illinois, the two largest coal consumers by
   state, derive virtually all their coal from the West or from within
   state. Appalachian Basin coal serves domestic and export markets
   primarily in the east and southeastern United States. Only the Ohio
   River provides significant movement of Central Appalachian Basin coal to
   the West and the South. The presented research demonstrates the
   potential for integrated models to accommodate energy-related or similar
   data. The model is a tool freight planners can use to identify energy
   transportation corridors of significance. Results from this model can
   inform efforts related to the Moving Ahead for Progress in the 21st
   Century Act for developing a national freight network and a national
   freight strategic plan.}","{10.3141/2479-09}","{0361-1981}","{ISI:000359751400010}",NA,NA,NA,"{2169-4052}",NA,NA,NA,NA,NA,NA,NA
"ISI:000339599100017","Article","Valeria Edefonti and Valentina Rosato and Maria Parpinel and Gabriella Nebbia and Lorenzo Fiorica and Emilio Fossali and Monica Ferraroni and Adriano Decarli and Carlo Agostoni","{The effect of breakfast composition and energy contribution on cognitive
   and academic performance: a systematic review}","{AMERICAN JOURNAL OF CLINICAL NUTRITION}","{2014}","{100}","{2}","{626-656}","{AUG}","{Background: Most studies that assess the effects of breakfast on
   subsequent mental abilities compared performance in subjects who had or
   had not consumed this meal. However, characteristics of breakfast itself
   may induce metabolic and hormonal alterations of the gastrointestinal
   tract and potentially modify cognitive performance Moreover, as far as
   the evidence on the positive effects of having breakfast is becoming
   more robust, interest may shift to the specific characteristics of an
   adequate breakfast.
   Objective: The objective was to summarize existing evidence on the role
   of nutrient composition or energy intake at breakfast on the
   accomplishment of school-related tasks and cognition.
   Design: We conducted a systematic review of the literature through the
   Pub Med database.
   Results: From the literature search, we identified 102 articles, 15 of
   which met the inclusion criteria. Of these, 3 studies provided
   information on the relation between cognitive and academic performance
   and energy intake at breakfast, 11 provided the same information for the
   macronutrient composition of breakfast, and 1 investigated both the
   aspects. Eleven studies considered breakfast meals differing in glycemic
   index/load. Selected studies were generally carried out in
   well-nourished children and adults of both sexes from general education.
   They were mostly experimental studies of short duration and had a
   limited number of subjects. Cognitive and academic performance was
   investigated by looking at multiple domains, including memory,
   attention, reasoning, learning, and verbal and math abilities, with a
   variety of test batteries scheduled at different time points in the
   morning. Breakfast options differed in terms of included foods and place
   and time of administration.
   Conclusions: There is insufficient quantity and consistency among
   studies to draw firm conclusions. However, whereas the hypothesis of a
   better and more sustained performance with a breakfast providing >20\%
   daily energy intake still needs substantiation, there does appear to be
   emerging, but still equivocal, evidence that a lower postprandial
   glycemic response is beneficial to cognitive performance.}","{10.3945/jcn.114.083683}","{0002-9165}","{ISI:000339599100017}","{Parpinel, Maria/B-1605-2012
   Agostoni, Carlo/B-3470-2015
   Fossali, Emilio/K-2200-2015
   Ferraroni, Monica/}","{Agostoni, Carlo/0000-0002-5006-0832
   Fossali, Emilio/0000-0002-3197-062X
   Ferraroni, Monica/0000-0002-4542-4996}",NA,"{1938-3207}",NA,NA,NA,NA,NA,NA,NA
"ISI:000319213900012","Article","Li-Mei Wang and Yong-Jiu Wang and Min Cui and Wen-Juan Luo and Xiao-Ji Wang and Philip A. Barber and Zhe-Yu Chen","{A dietary polyphenol resveratrol acts to provide neuroprotection in
   recurrent stroke models by regulating AMPK and SIRT1 signaling, thereby
   reducing energy requirements during ischemia}","{EUROPEAN JOURNAL OF NEUROSCIENCE}","{2013}","{37}","{10}","{1669-1681}","{MAY}","{Polyphenol resveratrol (RSV) has been associated with Silent Information
   Regulator T1 (SIRT1) and AMP-activated protein kinase (AMPK) metabolic
   stress sensors and probably responds to the intracellular energy status.
   Our aim here was to investigate the neuroprotective effects of RSV and
   its association with SIRT1 and AMPK signaling in recurrent ischemia
   models. In this study, elderly male Wistar rats received a combination
   of two mild transient middle cerebral artery occlusions (tMCAOs) as an
   in vivo recurrent ischemic model. Primary cultured cortical neuronal
   cells subjected to combined oxygenglucose deprivation (OGD) were used as
   an in vitro recurrent ischemic model. RSV administration significantly
   reduced infarct volumes, improved behavioral deficits and protected
   neuronal cells from cell death in recurrent ischemic stroke models in
   vivo and in vitro. RSV treatments significantly increased the
   intracellular NAD+/NADH ratio, AMPK and SIRT1 activities, decreased
   energy assumption and restored cell energy ATP level. SIRT1 and AMPK
   inhibitors and specific small interfering RNA (siRNA) for SIRT1 and AMPK
   significantly abrogated the neuroprotection induced by RSV. AMPK-siRNA
   and inhibitor decreased SIRT1 activities; however, SIRT1-siRNA and
   inhibitor had no impact on phospho-AMPK (p-AMPK) levels. These results
   indicated that the neuroprotective effects of RSV increased the
   intracellular NAD+/NADH ratio as well as AMPK and SIRT1 activities,
   thereby reducing energy ATP requirements during ischemia. SIRT1 is a
   downstream target of p-AMPK signaling induced by RSV in the recurrent
   ischemic stroke model.}","{10.1111/ejn.12162}","{0953-816X}","{ISI:000319213900012}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000273985700015","Article","Hildigunnur H. Thorsteinsson and Jefferson W. Tester","{Barriers and enablers to geothermal district heating system development
   in the United States}","{ENERGY POLICY}","{2010}","{38}","{2}","{803-813}","{FEB}","{According to the US Energy Information Administration, space and hot
   water heating represented about 20\% of total US energy demand in 2006.
   Given that most of this demand is met by burning natural gas, propane,
   and fuel oil, an enormous opportunity exists for directly utilizing
   indigenous geothermal energy as a cleaner, nearly emissions-free
   renewable alternative. Although the US is rich in geothermal energy
   resources, they have been frequently undervalued in America's portfolio
   of options as a means of offsetting fossil fuel emissions while
   providing a local, reliable energy source for communities. Currently,
   there are only 21 operating GDHS in the US with a capacity of about
   100MW thermal. Interviews with current US district heating operators
   were used to collect data on and analyze the development of these
   systems. This article presents the current structure of the US
   regulatory and market environment for GDHS along with a comparative
   study of district heating in Iceland where geothermal energy is
   extensively utilized. It goes on to review the barriers and enablers to
   utilizing geothermal district heating systems (GDHS) in the US for space
   and hot water heating and provides policy recommendations on how to
   advance this energy sector in the US. (C) 2009 Elsevier Ltd. All rights
   reserved.}","{10.1016/j.enpol.2009.10.025}","{0301-4215}","{ISI:000273985700015}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000268162800015","Article","P. Casas-Augustench and J. Salas-Salvado","{Viscosity and flow-rate of three high-energy, high-fibre enteral
   nutrition formulas}","{NUTRICION HOSPITALARIA}","{2009}","{24}","{4}","{492-497}","{JUL-AUG}","{Introduction: There have been few studies evaluating how the viscosity
   of the enteral nutrition formulas determine the time of nutritional
   administration by gravity and whether viscosity causes tubes to become
   obstructed.
   Objective: To assess how long it takes for three polymeric, hypercaloric
   and fibre-rich enteral nutrition formulas marketed in Europe to pass
   through different nasointestinal tubes by gravity and whether these
   formulas obstruct the tubes.
   Methods: We evaluated the in vitro viscosity of the three formulas using
   a rotational viscometer and by calculating how long these formulas took
   to pass by free fall through the equipment and different calibre tubes.
   We also assessed the possible obstruction of the tubes or the equipment
   after the three formulas had been administered, simulating the
   administration conditions in clinical practice (1,500 ml over 24 h).
   Results: The administration time by gravity of 500 ml of each of the
   formulas studied was closely related to the viscosity determined in
   vitro of each of the formulas used. The larger the internal diameter of
   the tube, the shorter the emptying time by gravity or free fall. The
   possibility of tube obstruction was higher in the case of the two more
   viscous formulas.
   Conclusions: The viscosity of the enteral nutrition formulas should be
   included in the labelling of the product. This information would assist
   the clinician to make decisions about the kind of formula to be used
   with different types and calibres of tube.}",NA,"{0212-1611}","{ISI:000268162800015}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000244170000006","Article","Andy S. Kydes","{Impacts of a renewable portfolio generation standard on US energy
   markets}","{ENERGY POLICY}","{2007}","{35}","{2}","{809-814}","{FEB}","{This paper analyzes the impacts of imposing a Federal 20 percent
   non-hydropower renewable generation portfolio standard (RPS) on US
   energy markets by 2020. The US currently has no RPS requirement although
   some state RPS regulations have been adopted but not uniformly enforced
   (see http://www.eia.doe.gov/oiaf/analysispaper/rps/index.html for a
   recent summary on RPSs in the US). The renewable portfolio standard
   (RPS) requires that 20 percent of the power sold must come from
   qualifying renewable facilities. The analysis of the 20 percent RPS was
   developed by using the December 2001 version of the National Energy
   Modeling System (NEMS) of the Energy Information Administration (EIA)
   and the assumptions and results of the Annual Energy Outlook 2002
   (AEO2002) reference case. 2 A policy that requires a 20 percent
   non-hydro-electric RPS by 2020 appears to be effective in promoting the
   adoption of renewable generation technologies while also reducing
   emissions of nitrogen oxides by 6 percent, mercury by 4 percent and
   carbon dioxide by about 16.5 percent relative to the reference case in
   2020. Electricity prices are expected to rise about 3 percent while the
   cost to the electric power industry could rise between 35 and 60 billion
   dollars (in year 2000 dollars in net present value terms). (c) 2006
   Elsevier Ltd. All rights reserved.}","{10.1016/j.enpol.2006.03.002}","{0301-4215}","{ISI:000244170000006}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000074737700004","Article","MC Moss and AB Scholey and K Wesnes","{Oxygen administration selectively enhances cognitive performance in
   healthy young adults: a placebo controlled double blind crossover study}","{PSYCHOPHARMACOLOGY}","{1998}","{138}","{1}","{27-33}","{JUL}","{It was recently demonstrated that oxygen administration can improve
   performance on a simple word recall task in healthy young adults. This
   study was aimed at determining the impact of various durations of oxygen
   administration on a wider range of cognitive measures. This was achieved
   using the Cognitive Drug Research computerised test battery, and
   employing a double-blind, placebo-controlled crossover design. Over a
   period of 7 weeks, 20 participants were trained and subsequently
   assessed on the test battery under several durations of oxygen
   inhalation; air administered in an identical fashion served as a
   control. The results provided support for our earlier work in that
   increases were found in both immediate and delayed word recall. In
   addition, oxygen administration significantly improved performance on
   several measures of attention and vigilance. Simple reaction time,
   choice reaction time, digit vigilance reaction time and picture
   recognition reaction time were improved in a manner which depended on
   the duration of oxygen inspired. With the exception of word recall, no
   significant improvements were found for any measure of accuracy, nor
   were word recognition, digit memory scanning, or spatial memory
   improved. These results are discussed in the context of stages of
   information processing and are consistent with the hypothesis that
   cognitive performance is ``fuel-limited{''} and can be differentially
   augmented by increasing the availability of the brain's metabolic
   resources.}","{10.1007/s002130050641}","{0033-3158}","{ISI:000074737700004}","{Scholey, Andrew/C-5940-2015}","{Scholey, Andrew/0000-0003-4484-5462}",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000335885000014","Article","Tanis R. Fenton and Shahirose S. Premji and Heidi Al-Wassia and Reg S. Sauve","{Higher versus lower protein intake in formula-fed low birth weight
   infants}","{COCHRANE DATABASE OF SYSTEMATIC REVIEWS}","{2014}",NA,"{4}",NA,NA,"{Background
   The ideal quantity of dietary protein for formula-fed low birth weight
   infants is still amatter of debate. Protein intake must be sufficient to
   achieve normal growth without negative effects such as acidosis, uremia,
   and elevated levels of circulating amino acids.
   Objectives
   To determine whether higher (>= 3.0 g/kg/d) versus lower (< 3.0 g/kg/d)
   protein intake during the initial hospital stay of formula-fed preterm
   infants or low birth weight infants (< 2.5 kilograms) results in
   improved growth and neurodevelopmental outcomes without evidence of
   short-and long-term morbidity.
   To examine the following distinctions in protein intake.
   1. Low protein intake if the amount was less than 3.0 g/kg/d.
   2. High protein intake if the amount was equal to or greater than 3.0
   g/kg/d but less than 4.0 g/kg/d.
   3. Very high protein intake if the amount was equal to or greater than
   4.0 g/kg/d.
   If the reviewed studies combined alterations of protein and energy,
   subgroup analyses were to be carried out for the planned categories of
   protein intake according to the following predefined energy intake
   categories.
   1. Low energy intake: less than 105 kcal/kg/d.
   2. Medium energy intake: greater than or equal to 105 kcal/kg/d and less
   than or equal to 135 kcal/kg/d.
   3. High energy intake: greater than 135 kcal/kg/d. As the Ziegler-Fomon
   reference fetus estimates different protein requirements for infants
   based on birth weight, subgroup analyses were to be undertaken for the
   following birth weight categories.
   1. < 800 grams.
   2. 800 to 1199 grams.
   3. 1200 to 1799 grams.
   4. 1800 to 2499 grams.
   Search methods
   The standard search methods of the Cochrane Neonatal Review Group were
   used. MEDLINE, CINAHL, PubMed, EMBASE, and the Cochrane Central Register
   of Controlled Trials (CENTRAL; The Cochrane Library) were searched.
   Selection criteria
   Randomized controlled trials contrasting levels of formula protein
   intake as low (< 3.0 g/kg/d), high (< 3.0 g/kg/d but < 4.0 g/kg/d), or
   very high (>= 4.0 g/kg/d) in formula-fed hospitalized neonates weighing
   less than 2.5 kilograms were included. Studies were excluded if infants
   received partial parenteral nutrition during the study period or were
   fed formula as a supplement to human milk. Studies in which nutrients
   other than protein also varied were added in a post-facto analysis.
   Data collection and analysis
   The standard methods of the Cochrane Neonatal Review Group were used.
   Main results
   Five studies compared low versus high protein intake. Improved weight
   gain and higher nitrogen accretion were demonstrated in infants
   receiving formula with higher protein content while other nutrients were
   kept constant. No significant differences were seen in rates of
   necrotizing enterocolitis, sepsis, or diarrhea.
   One study compared high versus very high protein intake during and after
   an initial hospital stay. Very high protein intake promoted improved
   gain in length at term, but differences did not remain significant at 12
   weeks corrected age. Three of the 24 infants receiving very high protein
   intake developed uremia.
   A post-facto analysis revealed further improvement in all growth
   parameters in infants receiving formula with higher protein content. No
   significant difference in the concentration of plasma phenylalanine was
   noted between high and low protein intake groups. However, one study
   (Goldman 1969) documented a significantly increased incidence of low
   intelligence quotient (IQ) scores among infants of birth weight less
   than 1300 grams who received a very high protein intake (6 to 7.2 g/kg).
   Authors' conclusions
   Higher protein intake (>= 3.0 g/kg/d but < 4.0 g/kg/d) from formula
   accelerates weight gain. However, limited information is available
   regarding the impact of higher formula protein intake on long-term
   outcomes such as neurodevelopmental abnormalities. Available evidence is
   not adequate to permit specific recommendations regarding the provision
   of very high protein intake (> 4.0 g/kg/d) from formula during the
   initial hospital stay or after discharge.}","{10.1002/14651858.CD003959.pub3}","{1469-493X}","{ISI:000335885000014}","{Al-Wassia, Heidi/C-8863-2015}",NA,"{CD003959}","{1361-6137}",NA,NA,NA,NA,NA,NA,NA
"ISI:000328434000017","Article","Mirjana Stevanov and Silvija Krajter Ostoic and Dijana Vuletic and Sasa Orlovic","{Consultation process on forest biomass and sustainable forest
   management: How knowledge mobilization in the cross-border region of
   Croatia and Serbia worked?}","{PERIODICUM BIOLOGORUM}","{2013}","{115}","{3}","{435-445}","{SEP}","{Background and purpose: The aim of the paper is to describe and analyse
   the consultation process on forest biomass and sustainable forest
   management in the context of renewable energy. Rather unique for the
   cross-border region of Croatian and Serbia the process was initiated
   within the EU project RoK-FOR {[}1] and based on a `triple helix'
   principle- taking into consideration perspectives of science,
   administration and stakeholders {[}2 in 3]. Achieved body of information
   provides insights into forest-related issues in the context of renewable
   energy in the Western Balkans.
   Materials and methods: The methods and analytical frame used for the
   purpose of this article was proposed by {[}3], focusing on: actors and
   their roles in the process; instruments and tools used in the process of
   gathering information and consultation; and assessing the level of
   interaction among actors during the consultation processes.
   Stakeholders' panel was the main instrument that generated ``body of
   information{''}, whereas structured interviews were used for better
   understanding of actors involved. For understanding administrative and
   legislative framework the whole set of documents and decisions from both
   countries was analysed while observational notes helped to critically
   reflect upon data obtained by stakeholder interviews.
   Results and conclusions: Use of stakeholders' panel as a platform for
   creating a rather robust ``body of information{''} proved to be valuable
   tool in the consultation processes, which resulted in a consensus of
   participating actors on strategic research topics and common recognition
   of major challenges related to forest biomass production and use. An
   overall level of interaction among participants can in both countries be
   classified as of a ``medium intensity{''}, although the ways of
   interaction were somewhat different. The results could serve as inputs
   to national research and/or energy strategies in context of achieving
   renewable energy goals and fulfilment of obligations according to the
   Kyoto Protocol.}",NA,"{0031-5362}","{ISI:000328434000017}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000359805300001","Article","Olufemi A. Omitaomu and Nagendra Singh and Budhendra L. Bhaduri","{Mapping suitability areas for concentrated solar power plants using
   remote sensing data}","{JOURNAL OF APPLIED REMOTE SENSING}","{2015}","{9}",NA,NA,"{JUL 27}","{The political push to increase power generation from renewable sources,
   such as solar energy, requires knowing the best places to site new solar
   power plants with respect to the applicable regulatory, operational,
   engineering, environmental, and socioeconomic criteria. Therefore, we
   present applications of remote sensing data for mapping suitable areas
   for concentrated solar power (CSP) plants. Our approach uses satellite
   data from National Aeronautical and Space Administration's Global Energy
   and Water Cycle Surface Radiation Budget project at a resolution of 1
   deg for estimating global solar radiation for the study area. Then we
   develop a computational model built on a geographic information system
   (GIS) platform that divides the study area into a grid of cells and
   estimates the site suitability value for each cell by computing a list
   of metrics based on applicable site requirements using GIS data. The
   computed metrics include population density, solar energy potential,
   federal lands, and hazardous facilities. Overall, some 30 GIS datasets
   are used to compute eight metrics. The site suitability value for each
   cell is computed as an algebraic sum of all metrics for the cell with
   the assumption that all metrics have equal weight. Finally, we color
   each cell according to its suitability value. We present results for CSP
   that drives a stream turbine and parabolic mirror connected to a
   Stirling engine. (C) The Authors. Published by SPIE under a Creative
   Commons Attribution 3.0 Unported License.}","{10.1117/1.JRS.9.097697}","{1931-3195}","{ISI:000359805300001}",NA,NA,"{097697}",NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000357980300056","InProceedings","A. Loukas and J. Tzabiras and M. Spiliotopoulos and K. Kokkinos and C. Fafoutis and N. Mylopoulos","{Development of a district information system for water management
   planning and strategic decision making}",NA,"{2015}","{9535}",NA,NA,NA,"{The overall objective of this work is the development of a District
   Information System (DIS) which could be used by stakeholders for the
   purposes of a district day-to-day water management as well as for
   planning and strategic decision-making The DIS was developed from a
   GIS-based modeling approach, which integrates a generic crop model and a
   hydraulic model of the transport/distribution system, using land use
   maps generated by Landsat TM imagery. The main sub-objectives are: (i)
   the development of an operational algorithm to retrieve crop
   evapotranspiration from remote sensing data, (ii) the development of an
   information system with friendly user interface for the data base, the
   crop module and the hydraulic module and (iii) the analysis and
   validation of management scenarios from model simulations predicting the
   respective behavior. The Lake Karla watershed is used in this study, but
   the overall methodology could be used as a basis for future analysis
   elsewhere. Surface Energy Balance Algorithm for Land (SEBAL) was used to
   derive monthly actual evapotranspiration (ET) values from Landsat TM
   imagery. Meteorological data from the archives of the Institute for
   Research and Technology, Thessaly (I.RE.TE.TH) has also been used. The
   methodology was developed using high quality Landsat TM images during
   2007 growing season. Monthly ET values are used as an input to CROPWAT
   model. Outputs of CROPWAT model are then used as input for WEAP model.
   The developed scenario is based on the actual situation of the surface
   irrigation network of the Local Administration of Land Reclamation
   (LALR) of Pinios for the year of 2007. The DIS is calibrated with
   observed data of this year and the district parameterization is
   conducted based on the actual operation of the network. The operation of
   the surface irrigation network of Pinios LALR is simulated using
   Technologismiki Works, while the operation of closed pipe irrigation
   network of Lake Karla LALR is simulated using Watercad.Your alternative
   scenarios have been tested with the DIS:
   .Reduction of channel losses
   .Alteration of irrigation methods
   .Introduction of greenhouse cultivation
   .Operation of the future Lake Karla network The results of the
   simulation for the historical period indicate that the water pumped from
   Pinios LALR is not enough to serve irrigation requirements. The spatial
   and temporal variation of the unmet and unsatisfied water demand has
   been estimated. Simulation of the four alternative scenarios indicated
   that the alteration of irrigation methods scenario mainly increases the
   efficiency of the irrigation network.}","{10.1117/12.2193892}","{0277-786X}","{ISI:000357980300056}",NA,NA,"{95351L}",NA,"DG Hadjimitsis and K Themistocleous and S Michaelides and {apadavid, G}","{THIRD INTERNATIONAL CONFERENCE ON REMOTE SENSING AND GEOINFORMATION OF
   THE ENVIRONMENT (RSCY2015)}","{978-1-62841-700-5}","{3rd International Conference on Remote Sensing and Geoinformation of the
   Environment (RSCy), Paphos, CYPRUS, MAR 16-19, 2015}","{Cyprus Univ Technol; Cyprus Remote Sensing Soc; European Space Agcy;
   Cyprus Sci \& Tech Chamber; Dept Meteorol; Minist Def; Minist Commun \&
   Works, Dept Elect Commun; Agr Res Inst; Grp Earth Observat; DLR; Hellas
   Sat; Neapolis Univ; Frederick Univ; Intergraph; GeoSystems Hellas; I
   BEC; Si Cluster; Spectra Vista Corp; Agisoft; QuestUAV; SPOLMHK; SODAP;
   Smart Events; Municipal Pafos; Municipal Geroskipou; Pegeia Municipal}","{Proceedings of SPIE}",NA
"ISI:000289428000003","Article","Nishikant Subhedar and Vikas G. Barsagade and Praful S. Singru and Lars Thim and Jes Thorn Clausen","{Cocaine- and Amphetamine-Regulated Transcript Peptide (CART) in the
   Telencephalon of the Catfish, Clarias gariepinus: Distribution and
   Response to Fasting, 2-Deoxy-D-glucose, Glucose, Insulin, and Leptin
   Treatments}","{JOURNAL OF COMPARATIVE NEUROLOGY}","{2011}","{519}","{7}","{1281-1300}","{MAY 1}","{The cocaine- and amphetamine-regulated transcript peptide
   (CART)-containing system in the forebrain of Clarias gariepinus was
   studied with immunocytochemistry. While the immunoreactivity was
   prominently seen in the neurons of the entopeduncular nucleus (EN)
   located in the ventral telencephalon, CART-immunoreactive fibers were
   widely distributed in the dorsal and ventral telencephalon. In view of
   the established role of CART in energy metabolism, we investigated the
   response of the CART immunoreactive system to positive and negative
   nutritional conditions. Neurons of the EN and fibers in the different
   areas of the telencephalon showed significant reduction in CART
   immunoreactivity following 48 hours food deprivation, or 2 hours
   following intracranial administration of 2-deoxy-D-glucose (2DG, 100
   ng/g body weight, a metabolic antagonist of glucose). However,
   intracranial injection of glucose (100 ng/g body weight) resulted in a
   distinct increase in CART immunoreactivity in these components. In
   mammals, insulin and leptin have been recognized as adiposity agents
   that convey peripheral energy status-related information to brain.
   Intracranial administration of insulin (3 mU/fish) and leptin (10 ng/g
   body weight) significantly increased CART immunoreactivity in the EN
   neurons and in the fiber network within 2 hours. Superfusion of the
   EN-containing tissue fragments in the medium enriched in glucose,
   insulin, or leptin evoked a significant increase in CART
   immunoreactivity in the EN neurons, but 2DG reduced the
   immunoreactivity. We suggest that CART-containing neurons of the EN, and
   fibers in the telencephalon, may process the energy status-related
   information and contribute to satiety. J. Comp. Neurol. 519: 1281-1300,
   2011. (C) 2010 Wiley-Liss, Inc.}","{10.1002/cne.22569}","{0021-9967}","{ISI:000289428000003}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000275350300004","Article","Thomas Frei","{Economic and social benefits of meteorology and climatology in
   Switzerland}","{METEOROLOGICAL APPLICATIONS}","{2010}","{17}","{1}","{39-44}","{MAR}","{National Meteorological Services provide meteorological data,
   information. forecasts and various related products, which are Important
   for the smooth functioning of many aspects ill economy, administration
   and society The merit of meteorological services cannot be deduced
   directly from the consumption of services. Rattler, it emerges front the
   improvement of decisions by economic Stakeholders thanks to weather and
   climate information These services are purchased by users in order to be
   able to offer optimally of demand a certain service or. with respect to
   security, these services aim at helping to prevent damage from extreme
   events.
   A rough estimate for a number of selected sectors shows that benefits
   froth weather services in Switzerland ale in the region of hundreds of
   millions Swiss Francs (1 Swiss Franc similar to (sic) 0.66. US\$0.83 as
   at 2008)
   This pilot study shows that it is not possible to estimate ogle single
   figure representing the overall benefit from weather services in a
   country. Concerning the economic sector, a benefit analysis should
   therefore concentrate on those sub-sectors where weather services are
   particularly relevant. i.e agriculture, construction. energy, insurance,
   telecommunication. tourism, transport. logistics and water availability
   Analysis of benefits from climate data is Of particular Interest to
   MeteoSwiss since the Federal Office Is the Main source for climate data
   in Switzerland. Climate data form the basis on which climate change and
   possible climate threats call be detected.
   This Study estimates for the first lime the socio-economic benefits of
   meteorological and climatic information in Switzerland as a small
   developed European country and gives all Outlook of how it further Study
   might be. designed. Copyright (C) 2009 Royal Meteorological Society.}","{10.1002/met.156}","{1350-4827}","{ISI:000275350300004}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000246655900009","Article","John M. Polimeni and Raluca Iorgulescu Polimeni","{Jevons' Paradox and the myth of technological liberation}","{ECOLOGICAL COMPLEXITY}","{2006}","{3}","{4}","{344-353}","{DEC}","{Natural resource consumption has increased considerably in the past 200
   years despite more efficient technology advancements. This correlation
   between increased natural resource consumption and increased efficiency
   is known as jevons' Paradox. Since all the inputs to economic production
   come from the environment, increased resource consumption and ecosystem
   destruction should be of concern. Furthermore, the expenditure of
   natural resources to provide energy and other consumer goods is an
   irreversible process, worsening the human condition instead of improving
   human welfare as neoclassical theory would have one to believe.
   Therefore, sustainable development policies need to be considered to end
   the continued excess consumption, beyond sustainable levels, of natural
   resources and the potential resulting conflicts. To design
   environmentally sustainable policies, the effect of economic activity,
   of resource utilization, and increased efficiency must be understood. In
   this paper, we attempt to illustrate how human consumption of natural
   resources alters the natural state of the economy and the environment.
   Further, using energy data from the Energy Information Administration we
   develop models that provide some empirical support that jevons' Paradox
   may exist on a macro level. Finally, we examine the resulting policy
   implications and the applications for an ecological economic approach.
   (c) 2007 Elsevier B.V. All rights reserved.}","{10.1016/j.ecocom.2007.02.008}","{1476-945X}","{ISI:000246655900009}",NA,NA,NA,NA,NA,NA,NA,"{Conference on Complexity and Ecological Economics, Liverpool, ENGLAND,
   SEP 11-14, 2005}",NA,NA,NA
