Title,RIN,Secondary RIN,Stage,Original Sheet,Unique ID,Release Date,Agency,Senate Committee,House Committee,Joint Committee,Number of Docket Comments from Regulations.gov,Number of Public Comments from regulations.gov,Number of Public Comments from Sunlight Foundation Docketwrench,"Number of Public Comments from Sunlight Foundation Docketwrench (after clicking ""View and Search Comments"")",Docket URL,Recognized Organization Commentators,Agency Code,Rule Summary,Bibliography,Comments,Double Check
Transparency Reports and Reporting of Physician Ownership of Investment Interests,0938-AR33,,Proposed Rule,RIAMetaRitika,8,"Dec 19, 2011",Department of Health and Human Services,Committee on Finance,Committee on Ways and Means; Committee on Energy and Commerce,,373,326,325,322,http://www.regulations.gov/#!docketBrowser;rpp=25;po=0;dct=PS;D=CMS-2011-0191,None,900,"This proposed rule would require applicable manufacturers of drugs, devices, biologicals, or medical supplies covered by Medicare, Medicaid or the Children’s Health Insurance Program (CHIP) to report annually to the Secretary certain payments or transfers of value provided to physicians or teaching hospitals (‘‘covered recipients’’).",No,"RIA in Proposed Rule, No citations","Yes, no citations found"
"Setting the Time and Place for a Hearing Before an Administrative Law Judge (3481P)
",0960-AG61,,Proposed Rule,RIAMetaRitika,7,"Nov 10, 2008",Social Security Administration,Committee on Homeland Security and Governmental Affairs,Committee on Ways and Means,,154,145,142,142,http://www.regulations.gov/#!docketDetail;D=SSA-2008-0033,"Association of Administrative Law Judges; Williams, Christopher; Hyatt",960,"We propose to amend our rules to clarify that the agency is responsible for setting the time and place for a hearing before an administrative law judge (ALJ). Consistent with our regulations at lower levels of the administrative process, we propose to use ‘‘we’’ or ‘‘us’’ in the rules setting the time and place for a hearing. These changes will ensure greater flexibility in scheduling hearings both in person and via video
teleconferencing and will aid us in our effort to increase efficiency in the hearing process and reduce the number of pending hearings. The number of cases awaiting a hearing has reached historic proportions, and efforts toward greater efficiency are critical to addressing this problem",No,"RIA in Proposed Rule, No citations","Yes, no citations found"
"Modifications to the HIPAA Privacy, Security, and Enforcement Rules",0991-AB57,,Proposed Rule,RIAMeta2010-2011,19,14-Jul-10,Department of Health and Human Services,N/A,N/A,,306,304,303,301,http://www.regulations.gov/#!docketDetail;D=HHS-OCR-2010-0016,"Vanderbilt University Medical Center; Indiana University; Emory University; American Bankers Association; University of Pittsburgh; Association of Organ Procurement Organization; Medical Group Management Association; Delta Dental Plans Association; Himss; California Hospital Association; Patton Boggs LLP; American Society of Nephrology; Providence Health & Services; Food Marketing Institute; Consortium of Independent Review Boards; SSM Health Care; AT&T Inc; State University of New York; Partners HealthCare; American Dental Association; Harris County, TX; UnitedHealth Group; University Hospitals Health System; Medical Imaging & Technology Alliance; American Ambulance Association; California Medical Association; National Association of School Nurses; Cerner Corp; National Community Pharmacists Association; American Public Health Association; American Medical Informatics Association; First Data Corp; Association of American Medical Colleges; Association of Clinical Research Organizations; American Psychological Association; National Funeral Directors Association; American Dietetic Association; Association of Academic Health Centers; Powers, Pyles et al; National Association of Dental Plans; Tennessee Hospital Association; Software & Information Industry Association; National Association of Chain Drug Stores; National Coalition of Cancer Survivorship; ERISA Industry Committee; Federation of American Hospitals; American Speech-Language-Hearing Association; American Psychiatric Association; Adheris; PRISM International; Childrens Hospital Los Angeles; Illinois Hospital Association; Novo Nordisk; Harris County Hospital District; Phelps Dunbar LLP; DMAA: The Care Continuum Alliance; Medco Health Solutions; Genetic Alliance; Mary Bird Perkins Cancer Center; Beth Israel Deaconess Medical Center; Leading Edge Policy & Strategy; Silverlink; CVS/Caremark Corp; Healthcare Leadership Council; Lahey Clinic; Health IT Now Coalition; Ascension Health; Archbold Medical Center; Catholic Health Initiatives; Alegent Health; TruHearing Inc; Cancer Leadership Council; Catalina Health Resource; Siemens Healthcare; DaVita Inc; America's Health Insurance Plans; Oregon Health & Science University; American Society of Clinical Oncology; Stanford University; Harvard University; American Heart Association; American Council of Life Insurers; Molina Healthcare; Planned Parenthood; University of Florida; American Dental Education Association; IMS Health; New York State Psychiatric; Ohio State University; Wellpoint Inc; American Academy of Pediatrics; Drexel University; International Pharmaceutical Privacy Consortium; Greater New York Hospital Association; University Medical Center; Catholic Healthcare West; Piedmont Healthcare; Kaiser Permanente; American Cancer Society; Marshfield Clinic; The Regence Group; University of California; Blue Cross/Blue Shield; Monongalia General Hospital; City Hospital; American Hospital Association; Yale University; Urac; Cardinal Health; Memorial Hospital; American College of Caridology; State of Arizona; American Nurses Association",900,"The Department of Health and Human Services (HHS or ‘‘the Department’’) is issuing this notice of proposed rulemaking to modify the Standards for Privacy of Individually Identifiable Health Information (Privacy Rule), the Security Standards for the Protection of Electronic Protected Health Information (Security Rule), and the rules pertaining to Compliance and Investigations, Imposition of Civil Money Penalties, and Procedures for Hearings (Enforcement Rule) issued under the Health Insurance Portability and Accountability Act of 1996 (HIPAA). The purpose of these modifications is to implement recent statutory amendments under the Health Information Technology for Economic and Clinical Health Act (‘‘the HITECH Act’’ or ‘‘the Act’’), to strengthen the privacy and security protection of health information, and to improve the workability and effectiveness of these HIPAA Rules.",No,RIA within the Federal Register,
"
Oil Shale Management - General",1004-AD90,,Final Rule,RIAMetaConnor,11,23-Jul-08,Department of Interior ,Committee on Energy and Natural Resources,Committee on Natural Resources,,736,695,694,690,http://www.regulations.gov/#!docketDetail;D=BLM-2008-0004,Consumer Energy Alliance; National Wildlife Federation; CONSOL Energy; State of Colorado; Anadarko Petroleum; National Association of Manufacturers; Exploration Co; Utah Republican Party; Strongwell Corp; BP America; Western Business Roundtable; Colorado Mountain College; Ceramatec; Taxpayers for Common Sens; 60 Plus Association; Oil Shale Exploration; Western Resources Advocates; Brigham Young University; Trout Unlimited; North Carolina Farm Bureau; Center for Regulatory Effectiveness; Greater Houston Partnership; Shell Oil; Bushnell; Exxon Mobil; American Petroleum Institute,1000,"This rule sets out the policies and procedures for the implementation of a commercial leasing program for the management of federally-owned oil shale and associated minerals by incorporating specific provisions of the Mineral Leasing Act of 1920 and the Energy Policy Act of 2005 relating to oil shale lease size, acreage limitations, rental, and lease diligence. The rule also establishes work requirements and milestones for the development of leases and provides for other standard components of a BLM mineral leasing program, including lease administration and operations.",No,,
Alternative Energy Production and Alternate Uses of Existing Facilities on the Outer Continental Shelf,1010-AD30,,Proposed Rule,RIAMetaRitika,1,"Jul 9, 2008",Department of Interior,Committee on Energy and Natural Resources,Committee on Natural Resources,,287,285,285,285,http://www.regulations.gov/#!docketDetail;D=MMS-2008-OMM-0012,Food & Water Watch; Alliance to Protect Nantucket Sound; Florida Department of Environmental Protection; Natural Resources Defense Council; Nature Conservancy; Ocean Conservancy; Southern Co; Lockheed Martin; Alaska Trollers Association; National Ocean Industries Association; National Hydropower Association; Thomson-CSF; American Soybean Association; Ocean Renewable Energy Coalition; Port of Garibaldi; Recreational Fishing Alliance; Ocean Stewards Institute; PNGC Power; Bluewater Wind; National Fisheries Institute; National Park Service; State of Alaska; Humane Society of the US; Trout Unlimited; World Wildlife Fund; Quinault Indian Nation; K&E; Florida Power & Ligh,1000,"Establishes mechanisms to lease the outer continental shelf for alternative energy development and regulations to govern such projects.
",Yes,,
Migratory Bird Hunting; 2008 to 2009 Migratory Game Bird Hunting Regulations,1018-AV62,,Final Rule,RIAMeta2008,16,28-May-08,Department of Interior,Committee on Environment and Public Works,Committee on Natural Resources,,47,47,43,42,http://www.regulations.gov/#!docketDetail;D=FWS-R9-MB-2008-0032,Delta Waterfowl; Shoshone-Bannock Tribes,1000,"The U.S. Fish and Wildlife Service (hereinafter the Service or we) proposes to establish annual hunting regulations for certain migratory game birds for the 2008–09 hunting season. We annually prescribe outside limits (frameworks) within which states may select hunting seasons. This proposed rule provides the regulatory schedule, describes the proposed regulatory alternatives for the 2008–09 duck hunting seasons, requests proposals from Indian tribes that wish to establish special migratory game bird hunting regulations on federal Indian reservations and ceded lands, and requests proposals for the 2009 spring/ summer migratory bird subsistence season in Alaska. Migratory game bird hunting seasons provide hunting opportunities for recreation and sustenance; aid federal, state, and tribal governments in the management of migratory game birds; and permit harvests at levels compatible with migratory game bird population status and habitat conditions.",Yes,,
Migratory Bird Hunting; 2009 to 2010 Migratory Game Bird Hunting Regulations,1018-AW31,,Final Rule,RIAMeta2009,5,10-Apr-09,Department of the Interior,Committee on Environment and Public Works,Committee on Natural Resources,,6,6,6,6,http://www.regulations.gov/#!docketDetail;D=FWS-R9-MB-2008-0124,Safari Club International; State of Wisconsin; North Slope Borough,1000,"The Fish and Wildlife Service is proposing to establish the 2009–10 late-season hunting regulations for certain migratory game birds. It annually prescribes frameworks, or outer limits, for dates and times when hunting may occur and the number of birds that may be taken and possessed in late seasons. These frameworks are necessary to allow state selections of seasons and limits and to allow recreational harvest at levels compatible with population and habitat conditions.",,,
Migratory Bird Hunting; 2010 to 2011 Migratory Game Bird Hunting Regulations,1018-AX06,,Final Rule,RIAMeta2010-2011,5,13-May-10,Department of Interior,N/A,N/A,,17,15,15,15,http://www.regulations.gov/#!docketDetail;D=FWS-R9-MB-2010-0040,Animal Legal Defense Fund; State of Wisconsin,1000,"The U.S. Fish and Wildlife Service (hereinafter the Service or we) proposes to establish annual hunting regulations for certain migratory game birds for the 2010–11 hunting season. We annually prescribe outside limits (frameworks) within which States may select hunting seasons. This proposed rule provides the regulatory schedule, describes the proposed regulatory alternatives for the 2010–11 duck hunting seasons, requests proposals from Indian tribes that wish to establish special migratory game bird hunting regulations on Federal Indian reservations and ceded lands, and requests proposals for the 2011 spring and summer migratory bird subsistence season in Alaska. Migratory game bird hunting seasons provide opportunities for recreation and sustenance; aid Federal, State, and tribal governments in the management of migratory game birds; and permit harvests at levels compatible with migratory game bird population status and habitat conditions.",Yes ,,
"Migratory Bird Hunting, 2011 to 2012 Migratory Game Bird Hunting Regulations",1018-AX34,,Final Rule,RIAMetaRussell,4,8-Apr-11,Department of Interior,Committee on Environment and Public Works,Committee on Natural Resources,,3232,273,273,273,http://www.regulations.gov/#!docketDetail;D=FWS-R9-MB-2011-0014,"Delta Waterfowl; Ducks Unlimited; Dewitt, Ross & Stevens; Lehigh University; State of Wisconsin; Sierra Club; North Slope Borough",1000,"The U.S. Fish and Wildlife Service proposes to establish annual hunting regulations for certain migratory game birds for the 2011-12 hunting season. We annually prescribe outside limits (frameworks) within which states may select hunting seasons. This proposed rule provides the regulatory schedule, describes the proposed regulatory alternatives for the 2011-12 duck hunting season, requests proposals from Indian tribes wishing to establish special migratory game-bird hunting regulations on federal Indian reservations and ceded lands, and requests proposals for the 2013 spring and summer migratory-bird subsistence season in Alaska.",Yes ,Proposed Rule,
Migratory Bird Hunting; Proposed 2012-13 Migratory Game Bird Hunting Regulations,1018-AX97,,Final Rule,RIAMetaNick,3,17-Apr-12,Department of Interior,Committee on Environment and Public Works,Committee on Natural Resources,,12,12,11,11,http://www.regulations.gov/#!docketDetail;D=FWS-R9-MB-2012-0005,Tulalip Tribes,1000,"The U.S. Fish and Wildlife Service (hereinafter the Service or we) proposes to establish annual hunting regulations for certain migratory game birds for the 2012–13 hunting season. We annually prescribe outside limits(frameworks) within which States may select hunting seasons. This proposed rule provides the regulatory schedule, describes the proposed regulatory alternatives for the 2012–13 duck hunting seasons, requests proposals from Indian tribes that wish to establish special migratory game bird hunting regulations on Federal Indian reservations and ceded lands, and requests proposals for the 2014 spring and summer migratory bird subsistence season in Alaska. Migratory game bird hunting seasons provide opportunities for recreation and sustenance; aid Federal, State, and tribal governments in the management of migratory game birds; and permit harvests at levels compatible with migratory game bird population status and habitat conditions.",yes,,
Abandoned Mine Land Program,1029-AC56,,Final Rule,RIAMeta2008,5,20-Jun-08,Department of Interior,Committee on Energy and Natural Resources,Committee on Natural Resources,,64,64,64,63,http://www.regulations.gov/#!docketDetail;D=OSM-2008-0003,Interstate Mining Compact Commission; Navajo Nation; Trout Unlimited,1000,"The Office of Surface Mining Reclamation and Enforcement (OSM) proposed regulation changes to the Abandoned Mine Reclamation Fund (Fund) and the Abandoned Mine Land (AML) program. This proposed rule revises regulations to be consistent with the Tax Relief and Health Care Act of 2006, which included the Surface Mining Control and Reclamation Act Amendments of 2006 (the 2006 amendments). The proposed rule reflects the extension of OSM’s statutory authority to collect reclamation fees for an additional fourteen years and to reduce the fee rates. This proposal also updates the regulations in light of the statutory amendments that change the activities State and Tribal reclamation programs may perform under the AML program, funding for reclamation grants to States and Indian tribes, and transfers to the United Mine Workers of America (UMWA) Combined Benefit Fund (CBF), the UMWA 1992 Benefit Plan, and the UMWA Multiemployer Health Benefit Plan (1993 Benefit Plan). Finally, the proposed rule extends incentives reauthorized by the 2006 amendments pertaining to the remaining of certain lands and water adversely affected by past mining.",No,,
"National Standards to Prevent, Detect, and Respond to Prison Rape",1105-AB34,,Final Rule,RIAMeta2010-2011,21,3-Feb-11,Department of Justice ,Committee on the Judiciary,Committee on the Judiciary,,1321,1311,1310,1303,http://www.regulations.gov/#!docketDetail;D=DOJ-OAG-2011-0002,"Just Detention International; Legal Aid Society; Catholic Charities; Georgetown University; UCLA; National Alliance on Mental Illness; Bloomberg School of Public Health; San Diego County; Nestor; Foss; Center for Constitutional Rights; Polk County, FL; US Senate; American Bar Association; American Correctional Association; Clark County; Pennsylvania Coalition Against Rape; Physicians for Human Rights; National Education Association; United Church of Christ; University of Tulsa; Corrections Corp of America; National Network to End Domestic Violence; Tahirih Justice Center; Vanderbilt University; National Association of Criminal Defense Lawyers; Equality Federation; International Community Corrections Association; Immigration Equality; University of the Pacific; Rights Working Group; Women's Center; National Women's Law Center; Advocare; National Center for Lesbian Rights; National Organization for women; National Alliance to End Sexual Violence; Campaign for Youth Justice; Arizona Employers for Immigration Reform; Bazelon Center for Mental Health Law; State of Washington; California Rural Legal Assistance; Alameda County; Indiana University; Monroe County; Google Inc; American Civil Liberties Union; University of Texas; Hyatt; National Disability Rights Network; University of Minnesota; YWCA; University of San Diego; Human Rights Watch; University of California; Justice Project; University of Wisconsin-Milwaukee; Commonwealth of Massachusetts; United Methodist Church; University of Mississippi; Hennepin County; Sierra Club",1100,"The Department of Justice has under review national standards for combating sexual abuse in confinement settings that were prepared by the National Prison Rape Elimination Commission pursuant to the Prison Rape Elimination Act of 2003 (PREA) and recommended by the Commission to the Attorney General. On March 10, 2010, the department published an Advance Notice of Proposed Rulemaking (ANPRM) to solicit public input on the commission’s proposed national standards and to receive information useful to the Department in publishing a final rule adopting national standards for the detection, prevention, reduction, and punishment of prison rape, as mandated by PREA. The department is now publishing this Notice of Proposed Rulemaking to propose such national standards for comment and to respond to the public comments received on the ANPRM.",No,,
Electronic Prescriptions for Controlled Substances,1117-AA61,,Final Rule,RIAMeta2008,15,27-Jun-08,Department of Justice,Committee on the Judiciary,Committee on Energy and Commerce,,233,233,228,225,http://www.regulations.gov/#!docketDetail;D=DEA-2008-0009,Walgreen Co; Cleveland Clinic; Kaiser Permanente; National Association of Chain Drug Stores; American Psychiatric Association; University of Washington; American Optometric Association; RxHub; Illinois State Medical Society; American Society of Anesthesiologists; Mha; Providence Health & Services; Food Marketing Institute; American Academy of Family Physicians; Partners HealthCare; American Dental Association; Medical Imaging & Technology Alliance; American Veterinary Medical Association; Cerner Corp; National Community Pharmacists Association; American Pharmacists Association; Thomson-CSF; Medical Group Management Association; American Medical Directors Association; Texas Medical Association; McKesson Corp; Federation of American Hospitals; American Gastroenterological Association; American Medical Group Association; Sutter Health; ID Analytics; Blue Cross Blue Shield of Massachusetts; National Alliance of State Pharmacy; Dean Health System; Tufts Health Plan; American College of Physicians; Medco Health Solutions; Express Scripts; Beth Israel Deaconess Medical Center; Excellerx; St Agnes Hospital; CVS/Caremark Corp; Epic Systems; American College of Clinical Pharmacy; American Academy of Physician Assistants; Group Health Cooperative; National Patient Advocate Foundation; Rite Aid Corp; Ehealth Initiative; Himss; Resurgens Orthopaedics; Georgetown University Hospital; America's Health Insurance Plans; American Medical Association; University of Michigan; American Osteopathic Association; Bjc Healthcare; Massachusetts Medical Society; Blue Cross/Blue Shield; University of Wisconsin; American Hospital Association; American Nurses Association,1100,"DEA is proposing to revise its regulations to provide practitioners with the option of writing prescriptions for controlled substances electronically. These regulations would also permit pharmacies to receive, dispense, and archive these electronic prescriptions. These proposed regulations would be an addition to, not a replacement of, the existing rules.",Yes,,
Nondiscrimination on the Basis of Disability by Public Accommodations and in Commercial Facilities,1190-AA44,,Final Rule,RIAMeta2008,18,17-Jun-08,Department of Justice,N/A,N/A,,2987,2839,2797,2783,http://www.regulations.gov/#!docketDetail;D=DOJ-CRT-2008-0015,"US Army; American Council of the Blind; National Multiple Sclerosis Society; Paralyzed Veterans of America; Baker & Hostetler; Cleveland-Cliffs; Retail Industry Leaders Association; American Public Transportation Association; International Association of Assembly Managers; Manatt, Phelps & Phillips; AARP; University of Utah; Polaris; National Federation of the Blind; Home Depot; National Restaurant Association; American Bankers Association; YMCA; College Board; Foss; National Center for Learning Disabilities; District of Columbia; Wildlands; Food Marketing Institute; Commonwealth of Pennsylvania; Nova Southeastern University; American Institute of Architects; American Society of Travel Agents; Southwest Airlines; National Federation of Independent Business; Lamar University; American Board of Internal Medicine; Small Business Administration; DHS; International Franchise Association; Health Department; North American Equipment Dealers Association; American Academy of Dermatology Association; Silverman-Santucci; Association of Marina Industries; National Apartment Association; National Automatic Merchandising Association; Washington State Department of Transportation; Interactive Travel Services Association; United Spinal Association; Learning Disabilities Association; Asian American Hotel Owners Association; International Health, Racquet & Sportsclub Association; American Gaming Association; Medical Group Management Association; US Olympic Committee; National Association of Theatre Owners; Texas Medical Association; National Fire Protection Association; National Small Business Association; National Golf Course Owners Association; State of New Mexico; American Horse Council; Minnesota State University; National Association of Convenience Stores; Chadbourne & Parke; Passenger Vessel Association; Quiktrip; Chicago Zoologcial Society; Jacksonville Jaguars; Metropolitan Community College; Liberty Resources; Western Washington University; Graduate Management Admission Council; The Arc of the United State; Houston Texans; American Public Communications Council; Indiana State Medical Association; Association of Test Publishers; Kiwanis International; Lions Clubs International; National Multi Housing Council; Liberty Resources Inc; Council of Smaller Enterprises; National Retail Federation; Cinemark USA; Institutes of Real Estate Management; Hilton Hotels; Gallagher & Kennedy; Credit Union National Association; National Council of Chain Restaurants; America Outdoors; Davis Wright Tremaine LLP; Independence First; Veterans of Foreign Wars; American Medical Association; University of Michigan; Human Society of the US; National Association of Realtors; UCSF; ACT Inc; Salt Lake County; American Academy of Pediatrics; Emory University; American Osteopathic Association; Carolinas Medical Center; Navigant Consulting; Rowan University; Duke University; Massachusetts Medical Society; American Academy of Neurology; Community Transit; International Code Council; Asa; American Association for Justice; University of California; United Methodist Church; Office Depot; Sierra Club; American Foundry Society; Humboldt County; Fulbright & Jaworski; LPC",1100,"The Department of Justice (Department) is issuing this notice of proposed rulemaking (NPRM) in order to adopt enforceable accessibility standards under the Americans with Disabilities Act of 1990 (ADA) that are ‘‘consistent with the minimum guidelines and requirements issued by the Architectural and Transportation Barriers Compliance Board’’ (Access Board); and perform periodic reviews of any rule judged to have a significant economic impact on a substantial number of small entities and a regulatory assessment of the costs and benefits of any significant regulatory action as required by the Regulatory Flexibility Act, as amended by the Small Business Regulatory Enforcement Fairness Act of 1996 (SBREFA).",No,"Very similar to RIN1190-AA46, should we use both?",
"Nondiscrimination on the Basis of Disability in State and Local Government Services
",1190-AA46,,Final Rule,RIAMetaRitika,5,17-Jun-08,Department of Justice,Committee on the Judiciary,Committee on the Judiciary,,1754,1657,1600,1595,http://www.regulations.gov/#!docketDetail;D=DOJ-CRT-2008-0016,Florida Department of Environmental Protection; US Army; Appalachian Trail Conservancy; American Council of the Blind; Sierra Club; Los Angeles World Airports; American Public Transportation Association; US Navy; State of New Mexico; New York State Education Department; State of Wisconsin; State of Hawaii; Lee & Smith; National Multiple Sclerosis Society; American Institute of Architects; Nature Conservancy; Baker & Hostetler; Regional Planning Commission; US Department of the Interior; National Emergency Number Association; Silverman-Santucci; Transportation Alternatives; National Automatic Merchandising Association; National Association of Counties; United Spinal Association; International Association of Fire Chiefs; Association of Fish & Wildlife Agencies; Minnesota Department of Natural Resources; American Psychiatric Association; Federal Advocates; American Horse Council; Harvard Vanguard Medical Association; Western Washington University; The Arc of the United States; Howard County; San Juan County Commission; Minot State University; Pierce Transit; American Council on Education; Paralyzed Veterans of America; National League of Cities; Compass Bank; GE Security; Veterans of Foreign Wars; Jefferson County; Bazelon Center for Mental Health Law; AARP; Dade County; Alameda County; Indiana University; National Association of Home Builders; Temple University; University of Miami; National Disability Rights Network; Society for Human Resource Management; Amvets; City of Phoenix; Wilderness Society; National Alliance on Mental Illness; American Foundation for the Blind; Community Transit; University of Maine; International Code Council; National Council on Independent Living; United Methodist Church; Metropolitan Transportation Authority; State of Kansas; Ventura County; State of West Virginia; State of Connecticut,1100,"The Department of Justice (Department) is issuing this notice of proposed rulemaking (NPRM) in order to: Adopt enforceable accessibility standards under the Americans with Disabilities Act of 1990 (ADA) that are ‘‘consistent with the minimum guidelines and requirements issued by the Architectural and Transportation Barriers Compliance Board’’ (Access Board); and perform periodic reviews of any rule judged to have a significant economic impact on a substantial number of small entities, and a regulatory assessment of the costs and benefits of any significant regulatory action as required by the Regulatory Flexibility Act, as amended by the Small Business Regulatory Enforcement Fairness Act of 1996 (SBREFA)",No,No Citations in the RIA,"Found citations and entered, I already did this one.  "
Nondiscrimination on the Basis of Disability in State and Local Government Services,1190-AA46,,Final Rule,RIAMeta2008,17,17-Jun-08,Department of Justice,Committee on the Judiciary,Committee on the Judiciary,,1754,1657,1600,1595,http://www.regulations.gov/#!docketDetail;D=DOJ-CRT-2008-0016,Florida Department of Environmental Protection; US Army; Appalachian Trail Conservancy; American Council of the Blind; Sierra Club; Los Angeles World Airports; American Public Transportation Association; US Navy; State of New Mexico; New York State Education Department; State of Wisconsin; State of Hawaii; Lee & Smith; National Multiple Sclerosis Society; American Institute of Architects; Nature Conservancy; Baker & Hostetler; Regional Planning Commission; US Department of the Interior; National Emergency Number Association; Silverman-Santucci; Transportation Alternatives; National Automatic Merchandising Association; National Association of Counties; United Spinal Association; International Association of Fire Chiefs; Association of Fish & Wildlife Agencies; Minnesota Department of Natural Resources; American Psychiatric Association; Federal Advocates; American Horse Council; Harvard Vanguard Medical Association; Western Washington University; The Arc of the United States; Howard County; San Juan County Commission; Minot State University; Pierce Transit; American Council on Education; Paralyzed Veterans of America; National League of Cities; Compass Bank; GE Security; Veterans of Foreign Wars; Jefferson County; Bazelon Center for Mental Health Law; AARP; Dade County; Alameda County; Indiana University; National Association of Home Builders; Temple University; University of Miami; National Disability Rights Network; Society for Human Resource Management; Amvets; City of Phoenix; Wilderness Society; National Alliance on Mental Illness; American Foundation for the Blind; Community Transit; University of Maine; International Code Council; National Council on Independent Living; United Methodist Church; Metropolitan Transportation Authority; State of Kansas; Ventura County; State of West Virginia; State of Connecticut,1100,"The Department of Justice (Department) is issuing this notice of proposed rulemaking (NPRM) in order to: Adopt enforceable accessibility standards under the Americans with Disabilities Act of 1990 (ADA) that are ‘‘consistent with the minimum guidelines and requirements issued by the Architectural and Transportation Barriers Compliance Board’’ (Access Board); and perform periodic reviews of any rule judged to have a significant economic impact on a substantial number of small entities, and a regulatory assessment of the costs and benefits of any significant regulatory action as required by the Regulatory Flexibility Act, as amended by the Small Business Regulatory Enforcement Fairness Act of 1996 (SBREFA).",No,"Very similar to RIN1190-AA44, should we use both?",
Wage Methodology for the Temporary Non-Agricultural Employment H2-B Program,1205-AB61,,Final Rule,RIAMeta2010-2011,16,5-Oct-10,Department of Labor ,"Committee on Health, Education, Labor, and Pensions",Committee on the Judiciary,,283,268,258,256,http://www.regulations.gov/#!docketDetail;D=ETA-2010-0004,Progressive Solutions; AFL-CIO; US Navy; Campbell Group; Economic Policy Institute; @Properties LLC; Duke Energy; American Hotel & Lodging Association; American Immigration Lawyers Association; Oregon Association of Nurseries; Weyerhaeuser Co; ImmigrationWorks USA; Florida Forestry Association; National Employment Law Project; Oncor Electric Delivery; Chesapeake Bay Seafood Industries Association; Roy O Martin Lumber; Vail Resorts Management; National Alliance of Forest Owners; Small Business Workforce Alliance; Service Employees International Union; Texas Nursery & Landscape Association; Akorn; Cdm; Mississippi Power; Sanborn; Legal Aid Society,1200,"The Department of Labor (the Department or DOL) proposes to amend its regulations governing the certification of the employment of nonimmigrant workers in temporary or seasonal nonagricultural employment and the enforcement of the obligations applicable to employers of such nonimmigrant workers. This Notice of Proposed Rulemaking (NPRM or proposed rule) proposes to revise, and solicits comments on, the methodology by which the Department calculates the prevailing wages to be paid to H–2B workers and U.S. workers recruited in connection with a temporary labor certification for use in petitioning the Department of Homeland Security (DHS) to employ a nonimmigrant worker in H–2B status.",No,RIA within the Federal Register,
Fiduciary Requirements for Disclosure in Participant-Directed Individual Account Plans,1210-AB07,,Final Rule,RIAMeta2008,13,23-Jul-08,Department of Labor,"Committee on Health, Education, Labor, and Pensions",Committee on Education and Labor,,97,97,97,97,http://www.regulations.gov/#!docketDetail;D=EBSA-2008-0010,None,1200,"This document contains a proposed regulation under the Employee Retirement Income Security Act of 1974 (ERISA) that, upon adoption, would require the disclosure of certain plan and investment-related information, including fee and expense information, to participants and beneficiaries in participant-directed individual account plans (e.g., 401(k) plans).",No,,
Investment Advice - Participants and Beneficiaries,1210-AB13,1210-AB35,Final Rule,RIAMeta2008,10,22-Aug-08,Department of Labor,"Committee on Health, Education, Labor, and Pensions",Committee on Education and Labor,,128,112,112,112,http://www.regulations.gov/#!docketDetail;D=EBSA-2008-0011,None,1200,"This document contains proposed regulations implementing the provisions of the statutory exemption set forth in sections 408(b)(14) and 408(g) of the Employee Retirement Income Security Act, as amended (ERISA or the Act), and parallel provisions in the Internal Revenue Code of 1986, as amended (Code), relating to the provision of investment advice described in the Act by a fiduciary adviser to participants and beneficiaries in participant-directed individual account plans, such as 401(k) plans, and beneficiaries of individual retirement accounts (and certain similar plans). Section 408(b)(14) provides an exemption from certain prohibited transaction provisions in ERISA with respect to the provision of investment advice, the investment transaction entered into pursuant to the advice, and the direct or indirect receipt of fees or other compensation by the fiduciary adviser or an affiliate in connection with the provision of advice or the transaction pursuant to the advice. Section 408(g) describes the conditions under which the investment advice related transactions are exempt.",No,,
Definition of Fiduciary,1210-AB32,,Proposed Rule,RIAMeta2010-2011,18,22-Oct-10,Department of Labor ,N/A,N/A,,35,0,0,0,http://www.regulations.gov/#!docketDetail;D=EBSA-2010-0050,None,1200,"This document contains a proposed rule under the Employee Retirement Income Security Act (ERISA) that, upon adoption, would protect beneficiaries of pension plans and individual retirement accounts by more broadly defining the circumstances under which a person is considered to be a ‘‘fiduciary’’ by reason of giving investment advice to an employee benefit plan or a plan’s participants. The proposal amends a 35-year-old rule that may inappropriately limit the types of investment advice relationships that give rise to fiduciary duties on the part of the investment advisor.",No,RIA within the Federal Register,
Investment Advice - Participants and Beneficiaries,1210-AB35,1210-AB13,Final Rule,RIAMeta2010-2011,9,2-Mar-10,Department of Labor,"Committee on Health, Education, Labor, and Pensions",Committee on Education and the Workforce,,128,112,112,112,http://www.regulations.gov/#!docketDetail;D=EBSA-2008-0011,None,1200,"This document contains a proposed rule under the Employee Retirement Income Security Act, and parallel provisions of the Internal Revenue Code of 1986, relating to the provision of investment advice to participants and beneficiaries in individual account plans, such as 401(k) plans, and beneficiaries of individual retirement accounts (and certain similar plans). Upon adoption, the proposed rule would implement provisions of a statutory prohibited transaction exemption, and would replace guidance contained in a final rule, published in the Federal Register on January 21, 2009, that was withdrawn by the Department pursuant to a Notice published in the Federal Register on November 20, 2009. Upon adoption, the proposed rule affects sponsors, fiduciaries, participants and beneficiaries of participant-directed individual account plans, as well as providers of investment and investment advice related services to such plans",No,RIA within the Federal Register,
