	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
Proposed National Ambient Air Quality Standards for Lead	0.3076923076923077	0.34782608695652173	0.37037037037037035	0.2727272727272727	0.33333333333333337	0.3220338983050848	0.29824561403508776	0.23076923076923073	0.29166666666666663	0.31999999999999995	0.31999999999999995	0.31707317073170727	0.3207547169811321	0.33333333333333337	0.3207547169811321	0.26530612244897955	0.34693877551020413	0.2962962962962963	0.29824561403508776	0.3090909090909091	0.28888888888888886	0.36363636363636365	0.3090909090909091	0.35	0.24	0.26530612244897955	0.2962962962962963	0.34693877551020413	0.19999999999999996	0.3076923076923077	0.288135593220339	0.1636363636363637	0.33333333333333337	0.2692307692307693	0.2272727272727273	0.4871794871794872
Economic Analysis for the Renovation Repair and Painting Program Proposed Rule	0.2075471698113207	0.276595744680851	0.34545454545454546	0.19999999999999996	0.2558139534883721	0.19999999999999996	0.2068965517241379	0.2075471698113207	0.18367346938775508	0.17647058823529416	0.2549019607843137	0.23809523809523814	0.2222222222222222	0.22448979591836737	0.18518518518518523	0.19999999999999996	0.16000000000000003	0.19999999999999996	0.24137931034482762	0.2857142857142857	0.21739130434782605	0.4222222222222223	0.2142857142857143	0.1707317073170732	0.13725490196078427	0.19999999999999996	0.12727272727272732	0.16000000000000003	0.1785714285714286	0.16981132075471694	0.19999999999999996	0.1785714285714286	0.21311475409836067	0.2075471698113207	0.28888888888888886	0.4
Final Ozone NAAQS Regulatory Impact Analysis 	0.2592592592592593	0.41666666666666663	0.3928571428571429	0.3913043478260869	0.4545454545454546	0.3114754098360656	0.3220338983050848	0.40740740740740744	0.31999999999999995	0.23076923076923073	0.46153846153846156	0.3023255813953488	0.34545454545454546	0.4	0.3090909090909091	0.2941176470588235	0.37254901960784315	0.3571428571428571	0.35593220338983056	0.368421052631579	0.3191489361702128	0.4782608695652174	0.368421052631579	0.33333333333333337	0.34615384615384615	0.37254901960784315	0.3214285714285714	0.21568627450980393	0.29824561403508776	0.37037037037037035	0.180327868852459	0.22807017543859653	0.32258064516129037	0.37037037037037035	0.34782608695652173	0.41463414634146345
Final Regulatory Impact Analysis PM 25 NAAQS	0.2857142857142857	0.43999999999999995	0.4137931034482759	0.375	0.4347826086956522	0.3015873015873016	0.2786885245901639	0.3571428571428571	0.3076923076923077	0.2222222222222222	0.4444444444444444	0.24444444444444446	0.33333333333333337	0.42307692307692313	0.33333333333333337	0.24528301886792447	0.39622641509433965	0.3448275862068966	0.2786885245901639	0.35593220338983056	0.34693877551020413	0.5	0.35593220338983056	0.31818181818181823	0.33333333333333337	0.3207547169811321	0.31034482758620685	0.16981132075471694	0.2542372881355932	0.3214285714285714	0.2063492063492064	0.22033898305084743	0.3125	0.3571428571428571	0.33333333333333337	0.5348837209302326
PM 25 NAAQS	0.8421052631578947	0.875	0.9	0.8	0.8571428571428572	0.7777777777777778	0.7674418604651163	0.7894736842105263	0.8235294117647058	0.7777777777777778	0.8333333333333334	0.7037037037037037	0.8461538461538461	0.9411764705882353	0.8461538461538461	0.7714285714285715	0.9428571428571428	0.85	0.6744186046511628	0.7560975609756098	0.8709677419354839	0.8666666666666667	0.8536585365853658	0.7692307692307692	0.7777777777777778	0.7142857142857143	0.8	0.7714285714285715	0.6585365853658536	0.736842105263158	0.6888888888888889	0.6585365853658536	0.782608695652174	0.8421052631578947	0.7333333333333334	0.92
Regulatory Impact Analysis of the Clean Air Mercury Rule	0.2692307692307693	0.30434782608695654	0.33333333333333337	0.2727272727272727	0.33333333333333337	0.2542372881355932	0.22807017543859653	0.2692307692307693	0.29166666666666663	0.12	0.36	0.2682926829268293	0.28301886792452835	0.25	0.2075471698113207	0.22448979591836737	0.22448979591836737	0.2592592592592593	0.29824561403508776	0.2727272727272727	0.28888888888888886	0.4545454545454546	0.2727272727272727	0.30000000000000004	0.28	0.30612244897959184	0.2592592592592593	0.22448979591836737	0.3090909090909091	0.2692307692307693	0.288135593220339	0.3090909090909091	0.30000000000000004	0.2692307692307693	0.2727272727272727	0.4358974358974359
The Relationship Between Air Lead and Blood Lead in Children A Critical Review	0.2549019607843137	0.022222222222222254	0.28301886792452835	0.3023255813953488	0.2682926829268293	0.31034482758620685	0.2857142857142857	0.33333333333333337	0.276595744680851	0.34693877551020413	0.30612244897959184	0.35	0.2692307692307693	0.23404255319148937	0.23076923076923073	0.29166666666666663	0.20833333333333337	0.28301886792452835	0.3928571428571429	0.2592592592592593	0.2727272727272727	0.2093023255813954	0.37037037037037035	0.3846153846153846	0.30612244897959184	0.375	0.3207547169811321	0.375	0.33333333333333337	0.2941176470588235	0.3793103448275862	0.37037037037037035	0.288135593220339	0.2941176470588235	0.4418604651162791	0.42105263157894735
The Relationship between Gasoline Lead and Blood Lead in the United States	0.31999999999999995	0.18181818181818177	0.34615384615384615	0.38095238095238093	0.4	0.4736842105263158	0.4181818181818182	0.36	0.34782608695652173	0.45833333333333337	0.375	0.4871794871794872	0.4509803921568627	0.34782608695652173	0.37254901960784315	0.44680851063829785	0.3191489361702128	0.42307692307692313	0.49090909090909096	0.39622641509433965	0.3023255813953488	0.0	0.4716981132075472	0.5789473684210527	0.33333333333333337	0.574468085106383	0.42307692307692313	0.5319148936170213	0.39622641509433965	0.43999999999999995	0.4736842105263158	0.4339622641509434	0.4137931034482759	0.36	0.47619047619047616	0.45945945945945943
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.18518518518518523	0.33333333333333337	0.3214285714285714	0.21739130434782605	0.2727272727272727	0.2786885245901639	0.15254237288135597	0.18518518518518523	0.19999999999999996	0.2692307692307693	0.34615384615384615	0.2093023255813954	0.1636363636363637	0.19999999999999996	0.2727272727272727	0.019607843137254943	0.21568627450980393	0.2142857142857143	0.3220338983050848	0.26315789473684215	0.23404255319148937	0.4782608695652174	0.22807017543859653	0.23809523809523814	0.2692307692307693	0.21568627450980393	0.25	0.21568627450980393	0.29824561403508776	0.2592592592592593	0.3114754098360656	0.26315789473684215	0.22580645161290325	0.2222222222222222	0.30434782608695654	0.46341463414634143
Low Level Lead Exposure in the Prenatal and Early Preschool Periods Intelligence Prior to School Entry	0.11111111111111116	0.29166666666666663	0.2857142857142857	0.21739130434782605	0.2272727272727273	0.2786885245901639	0.15254237288135597	0.18518518518518523	0.0	0.2692307692307693	0.3076923076923077	0.34883720930232553	0.1636363636363637	0.19999999999999996	0.19999999999999996	0.21568627450980393	0.21568627450980393	0.1785714285714286	0.288135593220339	0.19298245614035092	0.19148936170212771	0.34782608695652173	0.1578947368421053	0.2857142857142857	0.1923076923076923	0.2941176470588235	0.25	0.2549019607843137	0.22807017543859653	0.2592592592592593	0.2786885245901639	0.26315789473684215	0.25806451612903225	0.11111111111111116	0.34782608695652173	0.41463414634146345
Blood lead levels and death from all causes cardiovascular disease and cancer results from the NHANES III Mortality Study	0.23636363636363633	0.34693877551020413	0.33333333333333337	0.276595744680851	0.37777777777777777	0.25806451612903225	0.23333333333333328	0.23636363636363633	0.2549019607843137	0.2075471698113207	0.28301886792452835	0.31818181818181823	0.2857142857142857	0.33333333333333337	0.25	0.3076923076923077	0.2692307692307693	0.22807017543859653	0.1333333333333333	0.24137931034482762	0.29166666666666663	0.44680851063829785	0.27586206896551724	0.3023255813953488	0.24528301886792447	0.3076923076923077	0.29824561403508776	0.3076923076923077	0.24137931034482762	0.23636363636363633	0.25806451612903225	0.27586206896551724	0.2698412698412699	0.2727272727272727	0.4042553191489362	0.4285714285714286
LowLevel Lead Exposure intelligence and academic achievement a longterm followup study	0.13207547169811318	0.276595744680851	0.2727272727272727	0.19999999999999996	0.2558139534883721	0.2666666666666667	0.1724137931034483	0.16981132075471694	0.10204081632653061	0.21568627450980393	0.2941176470588235	0.38095238095238093	0.18518518518518523	0.10204081632653061	0.18518518518518523	0.19999999999999996	0.12	0.1636363636363637	0.31034482758620685	0.2142857142857143	0.17391304347826086	0.37777777777777777	0.1785714285714286	0.2682926829268293	0.17647058823529416	0.24	0.19999999999999996	0.28	0.2142857142857143	0.24528301886792447	0.30000000000000004	0.25	0.24590163934426235	0.16981132075471694	0.37777777777777777	0.4
LowLevel Environmental Lead Exposure and ChildrenÕs Intellectual Function An International Pooled Analysis	0.1228070175438597	0.2549019607843137	0.288135593220339	0.26530612244897955	0.276595744680851	0.25	0.12903225806451613	0.19298245614035092	0.13207547169811318	0.2727272727272727	0.3090909090909091	0.30434782608695654	0.06896551724137934	0.2075471698113207	0.2068965517241379	0.14814814814814814	0.2222222222222222	0.18644067796610164	0.29032258064516125	0.19999999999999996	0.31999999999999995	0.4285714285714286	0.19999999999999996	0.28888888888888886	0.23636363636363633	0.2592592592592593	0.2542372881355932	0.2222222222222222	0.2666666666666667	0.26315789473684215	0.28125	0.30000000000000004	0.23076923076923073	0.19298245614035092	0.3877551020408163	0.5
The Yugoslavia Prospective Lead Industry Study Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence	0.1724137931034483	0.2692307692307693	0.2666666666666667	0.19999999999999996	0.20833333333333337	0.23076923076923073	0.1428571428571429	0.13793103448275867	0.11111111111111116	0.3214285714285714	0.25	0.4042553191489362	0.22033898305084743	0.18518518518518523	0.22033898305084743	0.19999999999999996	0.19999999999999996	0.09999999999999998	0.3015873015873016	0.180327868852459	0.21568627450980393	0.36	0.14754098360655743	0.34782608695652173	0.2142857142857143	0.2727272727272727	0.19999999999999996	0.3090909090909091	0.24590163934426235	0.24137931034482762	0.2615384615384615	0.24590163934426235	0.21212121212121215	0.0	0.24	0.4666666666666667
Lead Exposure and Intelligence in 7YearOld Children the Yugoslavia Prospective Study	0.19298245614035092	0.33333333333333337	0.3220338983050848	0.22448979591836737	0.19148936170212771	0.1875	0.19354838709677424	0.19298245614035092	0.09433962264150941	0.34545454545454546	0.3090909090909091	0.3913043478260869	0.2068965517241379	0.24528301886792447	0.24137931034482762	0.2222222222222222	0.2222222222222222	0.15254237288135597	0.32258064516129037	0.23333333333333328	0.24	0.4285714285714286	0.16666666666666663	0.33333333333333337	0.2727272727272727	0.2962962962962963	0.2542372881355932	0.2962962962962963	0.2666666666666667	0.22807017543859653	0.28125	0.2666666666666667	0.23076923076923073	0.08771929824561409	0.30612244897959184	0.40909090909090906
Lifetime Exposure to Environmental Lead and ChildrenÕs Intelligence at 1113 years the Port Pirie Cohort Study	0.18644067796610164	0.3584905660377359	0.2786885245901639	0.17647058823529416	0.26530612244897955	0.18181818181818177	0.15625	0.15254237288135597	0.12727272727272732	0.29824561403508776	0.26315789473684215	0.41666666666666663	0.19999999999999996	0.19999999999999996	0.19999999999999996	0.2142857142857143	0.1785714285714286	0.14754098360655743	0.21875	0.22580645161290325	0.23076923076923073	0.4509803921568627	0.06451612903225812	0.3191489361702128	0.22807017543859653	0.25	0.24590163934426235	0.2857142857142857	0.25806451612903225	0.22033898305084743	0.2727272727272727	0.25806451612903225	0.22388059701492535	0.11864406779661019	0.33333333333333337	0.4782608695652174
Intellectual Impairment in Children with Blood Lead Concentrations below 10 micrograms per Deciliter	0.2727272727272727	0.22448979591836737	0.08771929824561409	0.276595744680851	0.28888888888888886	0.29032258064516125	0.2666666666666667	0.2727272727272727	0.2549019607843137	0.28301886792452835	0.3207547169811321	0.4545454545454546	0.2857142857142857	0.17647058823529416	0.2857142857142857	0.3076923076923077	0.23076923076923073	0.22807017543859653	0.33333333333333337	0.3448275862068966	0.29166666666666663	0.3191489361702128	0.27586206896551724	0.4418604651162791	0.3207547169811321	0.34615384615384615	0.33333333333333337	0.34615384615384615	0.31034482758620685	0.34545454545454546	0.3870967741935484	0.3448275862068966	0.3015873015873016	0.2727272727272727	0.36170212765957444	0.4285714285714286
Beyond LOELÕs p Values and Vote Counting Methods for Looking at the Shapes and Strengths of Associations	0.27586206896551724	0.3076923076923077	0.33333333333333337	0.24	0.33333333333333337	0.2615384615384615	0.23809523809523814	0.24137931034482762	0.2592592592592593	0.2857142857142857	0.3214285714285714	0.36170212765957444	0.3220338983050848	0.2592592592592593	0.2542372881355932	0.23636363636363633	0.23636363636363633	0.2666666666666667	0.3015873015873016	0.24590163934426235	0.21568627450980393	0.4	0.2786885245901639	0.3913043478260869	0.2857142857142857	0.3090909090909091	0.30000000000000004	0.38181818181818183	0.3114754098360656	0.27586206896551724	0.29230769230769227	0.2786885245901639	0.24242424242424243	0.24137931034482762	0.31999999999999995	0.4222222222222223
Lowlevel Lead Exposure and ChildrenÕs IQ A MetaAnalysis and Search for a Threshold	0.15254237288135597	0.24528301886792447	0.3114754098360656	0.2941176470588235	0.34693877551020413	0.2727272727272727	0.125	0.18644067796610164	0.1636363636363637	0.22807017543859653	0.33333333333333337	0.375	0.19999999999999996	0.19999999999999996	0.19999999999999996	0.2142857142857143	0.25	0.21311475409836067	0.28125	0.06451612903225812	0.2692307692307693	0.37254901960784315	0.22580645161290325	0.4042553191489362	0.26315789473684215	0.2857142857142857	0.2786885245901639	0.3571428571428571	0.25806451612903225	0.288135593220339	0.2727272727272727	0.29032258064516125	0.25373134328358204	0.15254237288135597	0.37254901960784315	0.5217391304347826
Reduction in Fine Particulate Air Pollution and Mortality	0.36170212765957444	0.36585365853658536	0.5102040816326531	0.3846153846153846	0.3513513513513513	0.40740740740740744	0.34615384615384615	0.36170212765957444	0.34883720930232553	0.33333333333333337	0.4222222222222223	0.0	0.33333333333333337	0.4418604651162791	0.41666666666666663	0.2272727272727273	0.40909090909090906	0.4285714285714286	0.3846153846153846	0.4	0.35	0.4871794871794872	0.43999999999999995	0.2571428571428571	0.37777777777777777	0.31818181818181823	0.34693877551020413	0.2727272727272727	0.36	0.36170212765957444	0.37037037037037035	0.36	0.38181818181818183	0.4042553191489362	0.33333333333333337	0.4117647058823529
Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead	0.19999999999999996	0.22448979591836737	0.26315789473684215	0.19148936170212771	0.24444444444444446	0.22580645161290325	0.23333333333333328	0.1636363636363637	0.21568627450980393	0.28301886792452835	0.2075471698113207	0.40909090909090906	0.25	0.13725490196078427	0.2142857142857143	0.23076923076923073	0.0	0.1578947368421053	0.33333333333333337	0.27586206896551724	0.125	0.3191489361702128	0.2068965517241379	0.34883720930232553	0.24528301886792447	0.2692307692307693	0.22807017543859653	0.3076923076923077	0.27586206896551724	0.23636363636363633	0.32258064516129037	0.27586206896551724	0.2063492063492064	0.19999999999999996	0.4042553191489362	0.4285714285714286
Environmental Lead and ChildrenÕs Intelligence A Systematic Review of the Epidemiological Evidence	0.1578947368421053	0.21568627450980393	0.288135593220339	0.18367346938775508	0.3191489361702128	0.21875	0.16129032258064513	0.22807017543859653	0.16981132075471694	0.19999999999999996	0.2727272727272727	0.3913043478260869	0.2068965517241379	0.2075471698113207	0.06896551724137934	0.2592592592592593	0.18518518518518523	0.22033898305084743	0.29032258064516125	0.19999999999999996	0.24	0.34693877551020413	0.19999999999999996	0.28888888888888886	0.1636363636363637	0.2592592592592593	0.2542372881355932	0.2592592592592593	0.19999999999999996	0.1578947368421053	0.25	0.23333333333333328	0.23076923076923073	0.19298245614035092	0.34693877551020413	0.4545454545454546
Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children	0.24137931034482762	0.2692307692307693	0.16666666666666663	0.19999999999999996	0.20833333333333337	0.19999999999999996	0.17460317460317465	0.2068965517241379	0.2222222222222222	0.2857142857142857	0.25	0.44680851063829785	0.2542372881355932	0.14814814814814814	0.2542372881355932	0.23636363636363633	0.1636363636363637	0.033333333333333326	0.2698412698412699	0.2786885245901639	0.2549019607843137	0.4	0.21311475409836067	0.34782608695652173	0.2857142857142857	0.2727272727272727	0.2666666666666667	0.3090909090909091	0.2786885245901639	0.27586206896551724	0.2615384615384615	0.2786885245901639	0.21212121212121215	0.13793103448275867	0.31999999999999995	0.4666666666666667
IQ and Blood Lead from 2 to 7 Years of Age Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2yearolds	0.30000000000000004	0.33333333333333337	0.32258064516129037	0.2692307692307693	0.31999999999999995	0.07462686567164178	0.29230769230769227	0.33333333333333337	0.3214285714285714	0.2068965517241379	0.31034482758620685	0.3877551020408163	0.3114754098360656	0.2857142857142857	0.24590163934426235	0.29824561403508776	0.22807017543859653	0.22580645161290325	0.29230769230769227	0.3015873015873016	0.28301886792452835	0.46153846153846156	0.3015873015873016	0.375	0.3448275862068966	0.22807017543859653	0.25806451612903225	0.29824561403508776	0.2063492063492064	0.16666666666666663	0.25373134328358204	0.23809523809523814	0.20588235294117652	0.2666666666666667	0.3846153846153846	0.4042553191489362
Effect of Smelter Emissions Reductions on Childrens Blood Levels	0.2941176470588235	0.24444444444444446	0.3207547169811321	0.16279069767441856	0.2682926829268293	0.27586206896551724	0.2857142857142857	0.21568627450980393	0.276595744680851	0.34693877551020413	0.10204081632653061	0.4	0.3076923076923077	0.23404255319148937	0.23076923076923073	0.33333333333333337	0.125	0.24528301886792447	0.3214285714285714	0.2962962962962963	0.18181818181818177	0.34883720930232553	0.2592592592592593	0.3846153846153846	0.30612244897959184	0.29166666666666663	0.3207547169811321	0.375	0.2592592592592593	0.21568627450980393	0.3448275862068966	0.2962962962962963	0.2542372881355932	0.2549019607843137	0.4418604651162791	0.4736842105263158
Societal Benefits of Reducing Lead Exposure	0.2549019607843137	0.28888888888888886	0.3207547169811321	0.2093023255813954	0.31707317073170727	0.31034482758620685	0.2857142857142857	0.2549019607843137	0.19148936170212771	0.30612244897959184	0.26530612244897955	0.35	0.34615384615384615	0.19148936170212771	0.2692307692307693	0.25	0.125	0.24528301886792447	0.3571428571428571	0.2962962962962963	0.0	0.3023255813953488	0.2592592592592593	0.3846153846153846	0.30612244897959184	0.33333333333333337	0.28301886792452835	0.33333333333333337	0.2962962962962963	0.2941176470588235	0.3448275862068966	0.2592592592592593	0.2542372881355932	0.21568627450980393	0.34883720930232553	0.42105263157894735
Assessment of Deaths Attributable to Air Pollution Should We Use Risk Estimates Based on Time Series or Cohort Studies	0.33333333333333337	0.2941176470588235	0.3220338983050848	0.26530612244897955	0.36170212765957444	0.34375	0.29032258064516125	0.22807017543859653	0.39622641509433965	0.34545454545454546	0.23636363636363633	0.3913043478260869	0.3793103448275862	0.28301886792452835	0.3448275862068966	0.33333333333333337	0.2592592592592593	0.288135593220339	0.3548387096774194	0.3666666666666667	0.31999999999999995	0.30612244897959184	0.3666666666666667	0.4222222222222223	0.2727272727272727	0.37037037037037035	0.288135593220339	0.40740740740740744	0.30000000000000004	0.29824561403508776	0.3125	0.33333333333333337	0.2615384615384615	0.29824561403508776	0.30612244897959184	0.4545454545454546
The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry	0.11111111111111116	0.29824561403508776	0.2615384615384615	0.23636363636363633	0.3207547169811321	0.2571428571428571	0.0	0.1428571428571429	0.15254237288135597	0.21311475409836067	0.3114754098360656	0.34615384615384615	0.15625	0.15254237288135597	0.1875	0.1333333333333333	0.23333333333333328	0.1384615384615384	0.2647058823529411	0.1515151515151515	0.2857142857142857	0.4181818181818182	0.18181818181818177	0.33333333333333337	0.180327868852459	0.2666666666666667	0.23076923076923073	0.2666666666666667	0.24242424242424243	0.23809523809523814	0.22857142857142854	0.2727272727272727	0.15492957746478875	0.1428571428571429	0.3090909090909091	0.52
The LongTerm Effects of Exposure to Low Doses of Lead in Children  Reply	0.1785714285714286	0.24	0.2068965517241379	0.20833333333333337	0.30434782608695654	0.2698412698412699	0.14754098360655743	0.1785714285714286	0.1923076923076923	0.18518518518518523	0.2962962962962963	0.37777777777777777	0.22807017543859653	0.038461538461538436	0.19298245614035092	0.16981132075471694	0.13207547169811318	0.13793103448275867	0.3770491803278688	0.22033898305084743	0.18367346938775508	0.33333333333333337	0.22033898305084743	0.36363636363636365	0.2592592592592593	0.28301886792452835	0.2068965517241379	0.3207547169811321	0.2542372881355932	0.25	0.3015873015873016	0.288135593220339	0.1875	0.1785714285714286	0.33333333333333337	0.4418604651162791
