	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.‚Äù	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age‚Äù, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‚ÄëChair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)‚ÄîNational Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.‚Äù Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA‚Äôs 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Summary of Expert Opinions on the Existence of a Threshold in the ConcentrationResponse Function for PM25related Mortality Technical Support Document	0.53	0.5900000000000001	0.6599999999999999	0.64	0.5900000000000001	0.63	0.62	0.6	0.5800000000000001	0.5900000000000001	0.61	0.62	0.6	0.53	0.5900000000000001	0.77	0.64	0.0	0.5900000000000001	0.5900000000000001	0.62	0.6	0.5700000000000001	0.5800000000000001	0.5700000000000001	0.64	0.55	0.62	0.6	0.56	0.55	0.5900000000000001	0.6	0.5800000000000001	0.63	0.6599999999999999	0.64	0.6699999999999999	0.5900000000000001	0.64
Targeted National Sewage Sludge Survey Report	0.63	0.6	0.63	0.6599999999999999	0.65	0.65	0.69	0.44999999999999996	0.63	0.69	0.61	0.64	0.63	0.72	0.6	0.77	0.56	0.56	0.6	0.63	0.5800000000000001	0.6	0.63	0.7	0.5800000000000001	0.56	0.63	0.5800000000000001	0.65	0.72	0.54	0.65	0.54	0.65	0.63	0.56	0.6	0.78	0.5800000000000001	0.65
Technical Support Document Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order  Docket ID EPAHQOAR20090472114577 12866	0.64	0.6699999999999999	0.62	0.61	0.5900000000000001	0.6699999999999999	0.62	0.65	0.6599999999999999	0.62	0.61	0.64	0.6	0.53	0.65	0.53	0.52	0.5900000000000001	0.61	0.63	0.6699999999999999	0.6	0.61	0.0	0.6599999999999999	0.64	0.48	0.5900000000000001	0.62	0.62	0.6	0.62	0.6599999999999999	0.5800000000000001	0.65	0.6699999999999999	0.6699999999999999	0.73	0.64	0.69
ToxFAQs for Chlorinated Dibenzopdioxins	0.65	0.62	0.7	0.72	0.71	0.6699999999999999	0.6699999999999999	0.65	0.62	0.6699999999999999	0.7	0.56	0.6699999999999999	0.62	0.62	0.81	0.62	0.5900000000000001	0.65	0.62	0.7	0.5900000000000001	0.65	0.6599999999999999	0.62	0.62	0.5900000000000001	0.65	0.6699999999999999	0.64	0.6699999999999999	0.62	0.62	0.62	0.75	0.7	0.5900000000000001	0.78	0.62	0.6699999999999999
ToxFAQs for Chlorodibenzofurans	0.6799999999999999	0.62	0.5900000000000001	0.6799999999999999	0.78	0.71	0.71	0.5900000000000001	0.5900000000000001	0.6799999999999999	0.74	0.71	0.6799999999999999	0.65	0.71	0.86	0.6799999999999999	0.62	0.65	0.5900000000000001	0.65	0.65	0.6799999999999999	0.77	0.5900000000000001	0.6799999999999999	0.5900000000000001	0.62	0.6799999999999999	0.62	0.71	0.65	0.65	0.71	0.75	0.6799999999999999	0.6799999999999999	0.78	0.62	0.65
Dust Disposal Cost 2005 Tip Fee Survey	0.69	0.69	0.64	0.65	0.6799999999999999	0.64	0.69	0.61	0.6599999999999999	0.6599999999999999	0.64	0.69	0.69	0.76	0.61	0.6699999999999999	0.6599999999999999	0.64	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.64	0.77	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.72	0.74	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.76	0.6599999999999999	0.35	0.64	0.73	0.64	0.6599999999999999
Expanded Expert Judgement Assessment of the ConcentrationResponse Relationship between PM25 Exposure and Mortality	0.5900000000000001	0.63	0.65	0.69	0.5900000000000001	0.63	0.63	0.6	0.5800000000000001	0.62	0.61	0.62	0.64	0.62	0.6699999999999999	0.81	0.64	0.42000000000000004	0.62	0.64	0.63	0.61	0.48	0.6599999999999999	0.5800000000000001	0.63	0.6	0.61	0.6	0.5800000000000001	0.5700000000000001	0.5800000000000001	0.61	0.53	0.63	0.6699999999999999	0.6699999999999999	0.73	0.5700000000000001	0.65
Extended followup and spatial analysis of the American Cancer Society study linking particulate air pollution and mortality	0.5900000000000001	0.5700000000000001	0.61	0.5800000000000001	0.62	0.65	0.62	0.5800000000000001	0.5	0.5900000000000001	0.61	0.5900000000000001	0.5700000000000001	0.5800000000000001	0.6	0.81	0.5900000000000001	0.5700000000000001	0.61	0.55	0.64	0.45999999999999996	0.5700000000000001	0.47	0.5700000000000001	0.5700000000000001	0.52	0.61	0.5800000000000001	0.62	0.61	0.53	0.64	0.6	0.6	0.64	0.62	0.6699999999999999	0.5700000000000001	0.62
Revised Secondary Environmental and Energy Impacts for New HMIWI EPA Contract No EPD06118 Work Assignment No 309 SPPD No 0230 RTI Project No 0210426003009	0.6599999999999999	0.71	0.65	0.6599999999999999	0.42000000000000004	0.6699999999999999	0.65	0.6599999999999999	0.6799999999999999	0.44999999999999996	0.6699999999999999	0.7	0.6	0.62	0.6699999999999999	0.5800000000000001	0.6	0.6599999999999999	0.7	0.65	0.62	0.61	0.64	0.5	0.69	0.69	0.6	0.65	0.55	0.5800000000000001	0.65	0.5900000000000001	0.65	0.55	0.63	0.71	0.71	0.6699999999999999	0.65	0.7
A Comparison of Fluid Bed and Multiple Hearth Biosolids Incineration	0.53	0.52	0.63	0.6599999999999999	0.6799999999999999	0.61	0.64	0.53	0.5800000000000001	0.62	0.64	0.5900000000000001	0.64	0.62	0.56	0.77	0.65	0.53	0.64	0.61	0.65	0.56	0.5900000000000001	0.62	0.5900000000000001	0.64	0.61	0.56	0.65	0.62	0.62	0.63	0.62	0.6	0.6	0.7	0.64	0.62	0.61	0.53
Analysis of beyond the Maximum Achievable Control Technology MACT Floor Controls for Existing SSI Units	0.61	0.6	0.6599999999999999	0.64	0.62	0.6799999999999999	0.65	0.6	0.5800000000000001	0.5	0.61	0.6699999999999999	0.65	0.62	0.6599999999999999	0.81	0.65	0.5900000000000001	0.5900000000000001	0.6	0.62	0.6599999999999999	0.63	0.6599999999999999	0.5700000000000001	0.5800000000000001	0.64	0.6	0.62	0.6	0.65	0.62	0.65	0.65	0.65	0.6799999999999999	0.6599999999999999	0.6699999999999999	0.5900000000000001	0.63
Cost and Emissions Reduction of Complying with the MACT Floor for Existing SSI Units	0.63	0.61	0.7	0.6599999999999999	0.5900000000000001	0.63	0.6599999999999999	0.5900000000000001	0.55	0.5	0.61	0.7	0.61	0.65	0.5900000000000001	0.81	0.65	0.61	0.64	0.64	0.61	0.6599999999999999	0.64	0.5800000000000001	0.6	0.65	0.63	0.5900000000000001	0.62	0.6	0.65	0.5900000000000001	0.5900000000000001	0.65	0.65	0.71	0.64	0.6699999999999999	0.61	0.64
Costs of CO CEMS	0.63	0.69	0.5700000000000001	0.5700000000000001	0.75	0.69	0.69	0.5700000000000001	0.5700000000000001	0.5	0.75	0.69	0.69	0.75	0.5700000000000001	0.75	0.69	0.5700000000000001	0.69	0.63	0.63	0.63	0.5700000000000001	0.75	0.5700000000000001	0.69	0.63	0.31999999999999995	0.63	0.5700000000000001	0.5700000000000001	0.63	0.5700000000000001	0.69	0.69	0.75	0.69	0.6699999999999999	0.5700000000000001	0.69
Development of the Inventory Database for the Sewage Sludge Incinerator Source Category	0.62	0.64	0.64	0.6599999999999999	0.55	0.7	0.65	0.27	0.5800000000000001	0.61	0.55	0.64	0.61	0.65	0.63	0.81	0.63	0.5800000000000001	0.64	0.61	0.64	0.64	0.52	0.62	0.5700000000000001	0.63	0.5800000000000001	0.5700000000000001	0.62	0.6	0.65	0.61	0.63	0.62	0.5800000000000001	0.63	0.63	0.6699999999999999	0.5700000000000001	0.6599999999999999
Facility Unit and Emissions Test Database for the Sewage Sludge Incineration Source Category	0.64	0.62	0.65	0.6599999999999999	0.62	0.65	0.64	0.16000000000000003	0.53	0.62	0.55	0.62	0.65	0.62	0.6	0.81	0.64	0.5900000000000001	0.64	0.61	0.64	0.62	0.56	0.6599999999999999	0.5900000000000001	0.61	0.62	0.5700000000000001	0.63	0.64	0.63	0.5700000000000001	0.56	0.6	0.5800000000000001	0.65	0.64	0.56	0.5900000000000001	0.61
Letter from Dr Daniel Krewski to HEI’s Dr Kate Adams dated July 7 2009 regarding “EPA queries regarding HEI Report 140” Dr Adams then forwarded the letter on July 10 2009 to EPA’s Beth HassettSipple	0.64	0.64	0.64	0.6599999999999999	0.65	0.6699999999999999	0.63	0.64	0.62	0.6599999999999999	0.55	0.62	0.6799999999999999	0.55	0.65	0.6699999999999999	0.62	0.65	0.6699999999999999	0.63	0.6699999999999999	0.63	0.65	0.62	0.64	0.6599999999999999	0.6	0.65	0.62	0.6599999999999999	0.63	0.65	0.63	0.5800000000000001	0.63	0.5900000000000001	0.64	0.62	0.6	0.6699999999999999
MACT Floor Analysis for the Sewage Sludge Incinerator Source Category	0.64	0.63	0.61	0.6599999999999999	0.65	0.6699999999999999	0.6599999999999999	0.24	0.6	0.6699999999999999	0.5800000000000001	0.64	0.6699999999999999	0.62	0.63	0.81	0.54	0.5800000000000001	0.63	0.51	0.64	0.61	0.6	0.54	0.56	0.53	0.51	0.5800000000000001	0.6699999999999999	0.6	0.65	0.5800000000000001	0.63	0.65	0.5800000000000001	0.64	0.61	0.6699999999999999	0.56	0.64
Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring IIB89	0.65	0.5800000000000001	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.5900000000000001	0.61	0.55	0.5800000000000001	0.53	0.61	0.6699999999999999	0.65	0.62	0.62	0.77	0.65	0.5900000000000001	0.62	0.62	0.5900000000000001	0.61	0.62	0.62	0.62	0.65	0.64	0.47	0.62	0.54	0.6	0.0	0.61	0.48	0.5800000000000001	0.6599999999999999	0.65	0.6699999999999999	0.61	0.65
Monitoring Options for SNCR  Test Cost Questions	0.63	0.63	0.63	0.69	0.65	0.63	0.61	0.61	0.55	0.63	0.64	0.6699999999999999	0.65	0.65	0.53	0.77	0.5900000000000001	0.5900000000000001	0.63	0.5700000000000001	0.63	0.61	0.61	0.6599999999999999	0.55	0.5900000000000001	0.5700000000000001	0.43999999999999995	0.65	0.6599999999999999	0.55	0.61	0.53	0.5	0.63	0.71	0.61	0.62	0.63	0.61
Monitoring Options for SNCR on Medical Waste Incinerators	0.64	0.5800000000000001	0.64	0.6599999999999999	0.62	0.6699999999999999	0.64	0.53	0.55	0.65	0.64	0.5900000000000001	0.62	0.6	0.62	0.77	0.5800000000000001	0.55	0.62	0.6	0.62	0.5800000000000001	0.6	0.62	0.6	0.5800000000000001	0.6	0.43000000000000005	0.64	0.62	0.64	0.55	0.6	0.6	0.6	0.69	0.64	0.62	0.5700000000000001	0.64
Revised Compliance Costs and Economic Inputs for Existing HMIWI	0.6699999999999999	0.62	0.6699999999999999	0.6599999999999999	0.65	0.65	0.62	0.61	0.61	0.0	0.64	0.6699999999999999	0.62	0.45999999999999996	0.62	0.77	0.6599999999999999	0.5900000000000001	0.64	0.64	0.64	0.5800000000000001	0.61	0.62	0.61	0.64	0.6599999999999999	0.56	0.63	0.5800000000000001	0.62	0.56	0.5900000000000001	0.62	0.65	0.7	0.61	0.6699999999999999	0.5800000000000001	0.62
Sewage Sludge Incinerator Informational Meeting with the National Association of Clean Water Agencies	0.61	0.5800000000000001	0.64	0.61	0.55	0.5900000000000001	0.6	0.51	0.54	0.6599999999999999	0.55	0.62	0.5800000000000001	0.5800000000000001	0.6	0.81	0.54	0.5800000000000001	0.63	0.5900000000000001	0.56	0.5900000000000001	0.5800000000000001	0.47	0.54	0.55	0.5700000000000001	0.5800000000000001	0.6	0.6	0.6	0.52	0.5800000000000001	0.55	0.5800000000000001	0.63	0.62	0.73	0.5800000000000001	0.64
Some Preliminary Thoughts on HWI Monitoring	0.63	0.63	0.6599999999999999	0.69	0.65	0.7	0.63	0.63	0.61	0.61	0.6699999999999999	0.7	0.61	0.6699999999999999	0.63	0.77	0.6599999999999999	0.5900000000000001	0.63	0.6599999999999999	0.63	0.56	0.61	0.6599999999999999	0.61	0.6599999999999999	0.6599999999999999	0.54	0.5900000000000001	0.09999999999999998	0.6799999999999999	0.49	0.63	0.61	0.63	0.7	0.63	0.73	0.61	0.6799999999999999
Table on state average tipping fees	0.63	0.6	0.63	0.69	0.62	0.6599999999999999	0.63	0.52	0.55	0.63	0.61	0.6599999999999999	0.63	0.63	0.63	0.81	0.6599999999999999	0.5800000000000001	0.6599999999999999	0.63	0.6	0.5800000000000001	0.52	0.7	0.5800000000000001	0.63	0.63	0.5800000000000001	0.5800000000000001	0.63	0.5800000000000001	0.5800000000000001	0.55	0.6599999999999999	0.29000000000000004	0.52	0.45999999999999996	0.6699999999999999	0.55	0.63
Biosolids Frequently Asked Questions	0.5900000000000001	0.5900000000000001	0.62	0.7	0.61	0.48	0.64	0.64	0.56	0.6699999999999999	0.7	0.69	0.6699999999999999	0.6699999999999999	0.5900000000000001	0.86	0.5900000000000001	0.5900000000000001	0.6699999999999999	0.64	0.64	0.61	0.64	0.6599999999999999	0.56	0.62	0.64	0.62	0.62	0.7	0.56	0.5900000000000001	0.5900000000000001	0.5	0.73	0.64	0.64	0.73	0.56	0.53
cost and emission reduction of the MACT floor level of control	0.63	0.5700000000000001	0.65	0.64	0.55	0.6799999999999999	0.62	0.52	0.47	0.6599999999999999	0.5800000000000001	0.6699999999999999	0.63	0.62	0.5700000000000001	0.81	0.65	0.55	0.5900000000000001	0.5900000000000001	0.5700000000000001	0.6	0.5900000000000001	0.6599999999999999	0.5900000000000001	0.63	0.5900000000000001	0.5900000000000001	0.62	0.5800000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.62	0.6	0.6799999999999999	0.6	0.6699999999999999	0.55	0.62
Estimation of Baseline Emissions from Existing Sewage Sludge Incineration Units	0.61	0.5900000000000001	0.6599999999999999	0.69	0.62	0.63	0.61	0.44999999999999996	0.52	0.54	0.61	0.64	0.64	0.6	0.5700000000000001	0.81	0.65	0.55	0.65	0.63	0.6	0.5800000000000001	0.5700000000000001	0.6599999999999999	0.5900000000000001	0.61	0.64	0.6	0.62	0.62	0.61	0.56	0.6	0.5800000000000001	0.53	0.64	0.61	0.56	0.5900000000000001	0.61
SSI Inventory Updated Information	0.61	0.61	0.64	0.76	0.62	0.61	0.5800000000000001	0.5800000000000001	0.61	0.5800000000000001	0.7	0.6699999999999999	0.64	0.61	0.5800000000000001	0.86	0.5800000000000001	0.5800000000000001	0.6699999999999999	0.61	0.5800000000000001	0.61	0.61	0.5	0.5800000000000001	0.61	0.61	0.52	0.6699999999999999	0.61	0.6699999999999999	0.55	0.64	0.5800000000000001	0.61	0.7	0.64	0.78	0.61	0.61
Land Applications for biosolides Process Design Manual 	0.6	0.5700000000000001	0.6599999999999999	0.6599999999999999	0.62	0.64	0.6599999999999999	0.5900000000000001	0.55	0.6	0.64	0.64	0.62	0.5800000000000001	0.62	0.81	0.6	0.5900000000000001	0.6	0.5700000000000001	0.5900000000000001	0.6	0.6	0.6599999999999999	0.55	0.6	0.5700000000000001	0.64	0.5900000000000001	0.69	0.6	0.6	0.5900000000000001	0.6699999999999999	0.63	0.6599999999999999	0.5900000000000001	0.6699999999999999	0.6	0.14
Pocket Ref	0.6	0.7	0.6	0.6	0.6	0.7	0.6	0.6	0.6	0.6	0.6	0.8	0.6	0.7	0.6	0.7	0.7	0.5	0.6	0.5	0.6	0.6	0.6	0.7	0.7	0.7	0.5	0.6	0.5	0.7	0.6	0.7	0.6	0.5	0.7	0.7	0.6	0.8	0.0	0.0
Final Regulatory Impact Analysis for SO2 National Ambient Air Quality Standards for Lead	0.61	0.5800000000000001	0.6	0.69	0.5900000000000001	0.63	0.64	0.5800000000000001	0.56	0.64	0.64	0.64	0.52	0.55	0.64	0.81	0.10999999999999999	0.52	0.52	0.36	0.6	0.64	0.56	0.0	0.30000000000000004	0.09999999999999998	0.33999999999999997	0.61	0.63	0.6599999999999999	0.63	0.61	0.61	0.6	0.65	0.63	0.64	0.6699999999999999	0.5800000000000001	0.64
Final Regulatory Impact Analysis for the NO2 National Ambient Air Quality Standards	0.6	0.61	0.61	0.6599999999999999	0.5900000000000001	0.63	0.6599999999999999	0.5700000000000001	0.56	0.6599999999999999	0.64	0.62	0.49	0.5800000000000001	0.63	0.81	0.050000000000000044	0.52	0.51	0.31999999999999995	0.6	0.63	0.55	0.0	0.31999999999999995	0.06999999999999995	0.29000000000000004	0.61	0.63	0.6	0.6	0.62	0.61	0.62	0.65	0.6599999999999999	0.64	0.6699999999999999	0.5700000000000001	0.64
National Ambient Air Quality Standards for Particulate Matter	0.64	0.56	0.6	0.6599999999999999	0.62	0.65	0.64	0.6	0.6	0.6599999999999999	0.64	0.6699999999999999	0.51	0.5800000000000001	0.61	0.77	0.26	0.45999999999999996	0.45999999999999996	0.45999999999999996	0.5800000000000001	0.5	0.44999999999999996	0.62	0.19999999999999996	0.27	0.5800000000000001	0.63	0.62	0.64	0.6	0.63	0.56	0.62	0.6	0.64	0.61	0.73	0.56	0.63
National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry	0.62	0.5900000000000001	0.6699999999999999	0.64	0.5900000000000001	0.65	0.62	0.55	0.56	0.61	0.61	0.6699999999999999	0.61	0.6	0.64	0.72	0.62	0.62	0.62	0.5900000000000001	0.61	0.61	0.64	0.6599999999999999	0.5	0.53	0.6	0.62	0.55	0.6	0.5700000000000001	0.5900000000000001	0.5700000000000001	0.53	0.63	0.69	0.64	0.6699999999999999	0.5900000000000001	0.65
Regulatory Impact Analysis for the Transport Rule	0.6599999999999999	0.62	0.62	0.6599999999999999	0.6799999999999999	0.72	0.64	0.5800000000000001	0.6	0.64	0.61	0.64	0.64	0.6	0.64	0.77	0.25	0.5800000000000001	0.5800000000000001	0.0	0.64	0.5800000000000001	0.54	0.0	0.20999999999999996	0.25	0.0	0.6	0.6599999999999999	0.62	0.62	0.62	0.6	0.65	0.65	0.6599999999999999	0.64	0.6699999999999999	0.56	0.64
Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead	0.5800000000000001	0.5800000000000001	0.61	0.64	0.49	0.63	0.63	0.61	0.55	0.61	0.5800000000000001	0.62	0.49	0.5800000000000001	0.61	0.77	0.27	0.54	0.54	0.37	0.62	0.5900000000000001	0.56	0.0	0.0	0.27	0.38	0.62	0.6	0.5800000000000001	0.56	0.62	0.61	0.6	0.6	0.62	0.62	0.6699999999999999	0.5800000000000001	0.65
Regulatory Impact Analysis National Ambient Air Quality Standards for Groundlevel Ozone Chapter 6	0.64	0.5800000000000001	0.64	0.72	0.62	0.61	0.6599999999999999	0.62	0.61	0.62	0.6699999999999999	0.64	0.53	0.62	0.64	0.77	0.30000000000000004	0.54	0.54	0.42000000000000004	0.62	0.6	0.5700000000000001	0.0	0.35	0.28	0.39	0.63	0.62	0.64	0.61	0.62	0.61	0.62	0.63	0.64	0.62	0.73	0.5800000000000001	0.65
Standards of Performance for New Stationary Sources and Emission Guidelines for Existing Sources Sewage Sludge Incinerators Draft Report	0.5900000000000001	0.5900000000000001	0.61	0.69	0.62	0.65	0.61	0.5700000000000001	0.54	0.5	0.61	0.64	0.64	0.43000000000000005	0.64	0.72	0.62	0.61	0.64	0.61	0.62	0.5700000000000001	0.62	0.5800000000000001	0.6	0.62	0.5900000000000001	0.56	0.62	0.56	0.6	0.54	0.61	0.53	0.5800000000000001	0.62	0.61	0.6699999999999999	0.6	0.65
Particulate Matter Air Pollution and Cardiovascular Disease An Update to the Scientific Statement From the American Heart Association 	0.64	0.56	0.53	0.5800000000000001	0.55	0.61	0.5800000000000001	0.5900000000000001	0.5800000000000001	0.61	0.5800000000000001	0.62	0.64	0.65	0.62	0.72	0.6	0.62	0.62	0.61	0.6	0.55	0.63	0.62	0.6	0.62	0.6	0.62	0.55	0.6	0.61	0.5800000000000001	0.6	0.5800000000000001	0.55	0.6599999999999999	0.61	0.6699999999999999	0.6	0.6599999999999999
The State of Garbage in America Table 4	0.6699999999999999	0.54	0.65	0.69	0.62	0.62	0.62	0.54	0.54	0.65	0.61	0.64	0.62	0.56	0.65	0.77	0.5700000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5700000000000001	0.5900000000000001	0.49	0.69	0.5700000000000001	0.54	0.5900000000000001	0.5900000000000001	0.62	0.6699999999999999	0.62	0.65	0.5700000000000001	0.72	0.49	0.54	0.52	0.78	0.5900000000000001	0.5700000000000001
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.62	0.55	0.62	0.69	0.5900000000000001	0.61	0.6	0.56	0.5900000000000001	0.5800000000000001	0.61	0.64	0.64	0.62	0.62	0.81	0.64	0.55	0.64	0.63	0.62	0.0	0.49	0.62	0.5700000000000001	0.62	0.5800000000000001	0.6	0.5800000000000001	0.6	0.62	0.5900000000000001	0.62	0.5700000000000001	0.6	0.6699999999999999	0.65	0.62	0.6	0.63
What determines the value of life A metaanalysis	0.63	0.61	0.63	0.6599999999999999	0.62	0.6699999999999999	0.63	0.61	0.5700000000000001	0.6699999999999999	0.09999999999999998	0.64	0.61	0.55	0.5900000000000001	0.81	0.63	0.61	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.61	0.5700000000000001	0.54	0.5700000000000001	0.63	0.5900000000000001	0.61	0.5900000000000001	0.6599999999999999	0.5900000000000001	0.61	0.53	0.6	0.63	0.63	0.5900000000000001	0.62	0.5700000000000001	0.61
Prenatal methylmercury exposure as a cardiovascular risk factor at seven years of age	0.6799999999999999	0.53	0.13	0.64	0.62	0.61	0.64	0.62	0.62	0.64	0.5700000000000001	0.64	0.62	0.6	0.6599999999999999	0.81	0.62	0.63	0.63	0.64	0.63	0.6	0.62	0.5800000000000001	0.5800000000000001	0.62	0.64	0.5800000000000001	0.65	0.6599999999999999	0.61	0.6599999999999999	0.5800000000000001	0.6	0.65	0.64	0.62	0.6699999999999999	0.5800000000000001	0.62
An empirical Bayes approach to combining and comparing estimates of the value of a statistical life for environmental policy analysis 	0.61	0.6	0.64	0.5800000000000001	0.42000000000000004	0.5900000000000001	0.53	0.5800000000000001	0.53	0.61	0.43000000000000005	0.5900000000000001	0.61	0.48	0.62	0.86	0.5700000000000001	0.5900000000000001	0.62	0.62	0.5900000000000001	0.5900000000000001	0.61	0.5	0.5900000000000001	0.62	0.5800000000000001	0.6	0.6	0.5800000000000001	0.5700000000000001	0.5900000000000001	0.5900000000000001	0.53	0.55	0.6	0.56	0.6699999999999999	0.5700000000000001	0.61
The value of a statistical life a critical review of market estimates throughout the world	0.65	0.5900000000000001	0.62	0.5800000000000001	0.62	0.65	0.63	0.62	0.52	0.62	0.55	0.64	0.65	0.62	0.64	0.77	0.65	0.6	0.63	0.63	0.63	0.63	0.5800000000000001	0.62	0.6	0.65	0.63	0.6	0.62	0.53	0.63	0.62	0.5900000000000001	0.6	0.6	0.63	0.56	0.78	0.5800000000000001	0.65
The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival	0.62	0.56	0.6699999999999999	0.61	0.5900000000000001	0.65	0.63	0.5900000000000001	0.53	0.62	0.61	0.64	0.6	0.62	0.61	0.81	0.6	0.5700000000000001	0.62	0.62	0.61	0.6	0.55	0.7	0.54	0.6	0.62	0.61	0.6	0.52	0.56	0.61	0.5800000000000001	0.62	0.5800000000000001	0.6699999999999999	0.63	0.62	0.5800000000000001	0.63
