	Regulatory Impact Analysis Heavy‐Duty Engine and Vehicle Standards and Highway Diesel Fuel Sulfur Control Requirements US Environmental Protection Agency Office of Transportation and Air Quality Assessment and Standards Division	Environmental Protection Agency EPA 2005a Clean Air Interstate Rule Emissions Inventory Technical Support Document US Environmental Protection Agency Office of Air Quality Planning and Standards	Emissions Inventory and Emissions Processing for the Clean Air Mercury Rule CAMR US Environmental Protection Agency Office of Air Quality Planning and Standards	Environmental Protection Agency EPA 2007b Proposed Emission Standards for New Nonroad Spark‐Ignition Engines Equipment and Vessels	Environmental Protection Agency EPA 2008a Air Quality Modeling Platform for the Ozone National Ambient Air Quality Standard Final Rule Regulatory Impact Analysis North Carolina	Environmental Protection Agency EPA 2008b Final Ozone NAAQS Regulatory Impact Analysis US Environmental Protection Agency Office of Air Quality Planning and Standards	Environmental Protection Agency EPA	Development and applications of a standard visual index	Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US Environ Sci Technol	Oxidants and Asthmatics in Los Angeles A Benefits Analysis  Executive Summary Prepared for US Environmental Protection Agency Office of Policy Analysis Prepared by Energy and Resource Consultants	Ambient air pollution and asthma exacerbations in children an eightcity analysis	Guidelines for Preparing Economic Analyses	Letter to Recipients of Third Draft EPA PM Criteria Document National Center for Environmental Assessment	Air Quality Criteria for Particulate Matter Volume I	Regulatory Impact Analysis for the Final Clean Air Interstate Rule	Regulatory Impact Analysis	Willingness to Pay for Environmental	Forest Inventory and Analysis National Program Forest Inventory Data Online Online database US Department of Agriculture Forest Service Forest Inventory and Analysis	Investigations and Monitoring of Mercury in Indiana by the US Geological Survey	Episodic acidification of small streams in the northeastern United States Fish mortality in field bioassays	Pricing Environmental Health Risks Survey Assessments of RiskRisk and RiskDollar TradeOffs for Chronic Bronchitis”	The Value of a Statistical Life A Critical Review of Market Estimates throughout the World”	Effect of shortterm exposure to low levels of gaseous pollutants on chronic obstructive pulmonary disease hospitalizations	Association between ozone and respiratory admissions among children and the elderly in Vancouver	Chapter 6 Cost Analysis Approach and Results Commercial and Institutional	Pechan and Associates and Industrial Economics Direct Cost Estimates for the Clean Air Act Second Section 812 Prospective Analysis Draft Report prepared for US EPA Office of Air and Radiation	Learning and Cost Reductions for Generating Technologies in the National Energy Modeling System NEMS	Proposed Approach for Expanding the Treatment of Learning Curve Impacts for the Second Section 812 Prospective Analysis Memorandum prepared for US EPA Office of Air and Radiation	Sulfur Dioxide Control by Electric Utilities What Are the Gains from Trade”	Ex Post Evaluation of Tradable Permits The US	Testimony of Jeffrey Holmstead Assistant Administrator Office of Air	Are the costs of proposed environmental regulations overestimated	The Clean Air Act Amendment Spurring Innovation and Growth While Cleaning the Air	Incorporating Technological Learning in the Coal Utility Environmental Cost CUECost Model Estimating the Future Cost Trends of SO2 NOx and Mercury Control Technologies” Prepared for ARCADIS Geraghty and Miller Research Triangle Park NC 27711 Available at httpstepsucdaviseduPeopleslyehsyeh‐ resourcesDrft20Fnl20Rpt20Lrng20for20CUECostv3pdf	Census Bureau	f No data on budget or revenues for this NAICS code is included
Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality	0.2727272727272727	0.24590163934426235	0.1428571428571429	0.3548387096774194	0.23809523809523814	0.3114754098360656	0.3023255813953488	0.24444444444444446	0.2592592592592593	0.18644067796610164	0.1724137931034483	0.23404255319148937	0.276595744680851	0.18518518518518523	0.26086956521739135	0.22448979591836737	0.28888888888888886	0.31818181818181823	0.2727272727272727	0.24	0.29166666666666663	0.19999999999999996	0.27586206896551724	0.2549019607843137	0.28	0.20833333333333337	0.2068965517241379	0.2075471698113207	0.19354838709677424	0.26315789473684215	0.22448979591836737	0.26086956521739135	0.21739130434782605	0.2941176470588235	0.32432432432432434	0.5428571428571429	0.22448979591836737
Spatial and seasonal patterns and longterm variability of the composition of the haze in the United States an analysis of data from the IMPROVE network	0.2222222222222222	0.22388059701492535	0.16129032258064513	0.23529411764705888	0.18840579710144922	0.19402985074626866	0.34693877551020413	0.37254901960784315	0.3666666666666667	0.19999999999999996	0.1875	0.3207547169811321	0.3207547169811321	0.30000000000000004	0.3846153846153846	0.3090909090909091	0.33333333333333337	0.31999999999999995	0.21311475409836067	0.2142857142857143	0.2222222222222222	0.2727272727272727	0.28125	0.19298245614035092	0.2142857142857143	0.33333333333333337	0.21875	0.288135593220339	0.20588235294117652	0.3650793650793651	0.2727272727272727	0.3846153846153846	0.3076923076923077	0.33333333333333337	0.275	0.7073170731707317	0.3090909090909091
The Social Costs of Chronic Heart and Lung Disease	0.32258064516129037	0.29824561403508776	0.3076923076923077	0.4482758620689655	0.38983050847457623	0.4385964912280702	0.4358974358974359	0.2682926829268293	0.36	0.3090909090909091	0.2962962962962963	0.3023255813953488	0.34883720930232553	0.24	0.4285714285714286	0.28888888888888886	0.36585365853658536	0.4	0.33333333333333337	0.26086956521739135	0.31818181818181823	0.25	0.2962962962962963	0.3191489361702128	0.34782608695652173	0.31818181818181823	0.33333333333333337	0.18367346938775508	0.31034482758620685	0.28301886792452835	0.28888888888888886	0.2857142857142857	0.23809523809523814	0.276595744680851	0.4	0.4838709677419355	0.19999999999999996
Trends in Asthma Morbidity and Mortality	0.4482758620689655	0.39622641509433965	0.33333333333333337	0.4444444444444444	0.38181818181818183	0.4339622641509434	0.3142857142857143	0.3513513513513513	0.34782608695652173	0.2941176470588235	0.36	0.17948717948717952	0.33333333333333337	0.30434782608695654	0.368421052631579	0.31707317073170727	0.29729729729729726	0.33333333333333337	0.36170212765957444	0.2857142857142857	0.25	0.3846153846153846	0.4	0.3023255813953488	0.23809523809523814	0.25	0.4	0.28888888888888886	0.37037037037037035	0.30612244897959184	0.2682926829268293	0.21052631578947367	0.26315789473684215	0.34883720930232553	0.4545454545454546	0.5555555555555556	0.31707317073170727
Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis�Draft Valuation Document	0.32432432432432434	0.33333333333333337	0.3125	0.2857142857142857	0.295774647887324	0.33333333333333337	0.4117647058823529	0.39622641509433965	0.3548387096774194	0.31343283582089554	0.2727272727272727	0.3090909090909091	0.34545454545454546	0.32258064516129037	0.40740740740740744	0.368421052631579	0.39622641509433965	0.42307692307692313	0.33333333333333337	0.31034482758620685	0.3214285714285714	0.2647058823529411	0.2727272727272727	0.288135593220339	0.27586206896551724	0.3928571428571429	0.2727272727272727	0.2786885245901639	0.2571428571428571	0.32307692307692304	0.368421052631579	0.37037037037037035	0.33333333333333337	0.38983050847457623	0.31707317073170727	0.627906976744186	0.33333333333333337
nan	0.9047619047619048	0.8918918918918919	0.875	0.8947368421052632	0.8974358974358975	0.8918918918918919	0.7894736842105263	0.8095238095238095	0.8666666666666667	0.8857142857142857	0.8823529411764706	0.8260869565217391	0.8260869565217391	0.8666666666666667	0.9090909090909091	0.84	0.8095238095238095	0.8	0.8709677419354839	0.8461538461538461	0.8333333333333334	0.8888888888888888	0.9411764705882353	0.8518518518518519	0.8461538461538461	0.8333333333333334	0.8823529411764706	0.8620689655172413	0.8947368421052632	0.8787878787878788	0.84	0.8181818181818181	0.8181818181818181	0.8518518518518519	0.92	0.6363636363636364	0.84
Regional Haze Regulations	0.5185185185185186	0.5102040816326531	0.4545454545454546	0.56	0.4901960784313726	0.4693877551020408	0.4193548387096774	0.3939393939393939	0.47619047619047616	0.5319148936170213	0.4782608695652174	0.37142857142857144	0.4285714285714286	0.47619047619047616	0.5294117647058824	0.3513513513513513	0.2727272727272727	0.375	0.4883720930232558	0.42105263157894735	0.5	0.45833333333333337	0.5217391304347826	0.3846153846153846	0.368421052631579	0.38888888888888884	0.5217391304347826	0.41463414634146345	0.52	0.5555555555555556	0.45945945945945943	0.4117647058823529	0.3529411764705882	0.4871794871794872	0.6129032258064516	0.4782608695652174	0.4054054054054054
Regulatory Impact Analysis for the Final Clean Air Interstate Rule	0.2698412698412699	0.24137931034482762	0.2075471698113207	0.35593220338983056	0.23333333333333328	0.27586206896551724	0.30000000000000004	0.2857142857142857	0.2549019607843137	0.2142857142857143	0.23636363636363633	0.18181818181818177	0.2272727272727273	0.2549019607843137	0.2558139534883721	0.0	0.09523809523809523	0.31707317073170727	0.23076923076923073	0.276595744680851	0.24444444444444446	0.29824561403508776	0.34545454545454546	0.25	0.23404255319148937	0.11111111111111116	0.23636363636363633	0.24	0.2542372881355932	0.33333333333333337	0.3913043478260869	0.3023255813953488	0.16279069767441856	0.25	0.352112676056338	0.5	0.21739130434782605
Regulatory Impact Analysis 2006 National Ambient Air Quality Standards for Particulate Matter Chapter 5	0.28767123287671237	0.1470588235294118	0.17460317460317465	0.24637681159420288	0.11428571428571432	0.17647058823529416	0.4	0.3846153846153846	0.3114754098360656	0.21212121212121215	0.23076923076923073	0.2592592592592593	0.2962962962962963	0.24590163934426235	0.28301886792452835	0.2142857142857143	0.2692307692307693	0.4117647058823529	0.22580645161290325	0.26315789473684215	0.3090909090909091	0.31343283582089554	0.3538461538461538	0.31034482758620685	0.29824561403508776	0.19999999999999996	0.23076923076923073	0.23333333333333328	0.21739130434782605	0.34375	0.3571428571428571	0.39622641509433965	0.28301886792452835	0.31034482758620685	0.2592592592592593	0.6190476190476191	0.2142857142857143
Regulatory Impact Analysis 2008 National Ambient Air Quality Standards for Groundlevel Ozone Chapter 6	0.28	0.17142857142857137	0.19999999999999996	0.2676056338028169	0.08333333333333337	0.11428571428571432	0.42307692307692313	0.37037037037037035	0.39682539682539686	0.2647058823529411	0.22388059701492535	0.2857142857142857	0.3214285714285714	0.3015873015873016	0.38181818181818183	0.24137931034482762	0.2962962962962963	0.4339622641509434	0.21875	0.2542372881355932	0.33333333333333337	0.30434782608695654	0.3731343283582089	0.2666666666666667	0.2542372881355932	0.22807017543859653	0.19402985074626866	0.25806451612903225	0.21126760563380287	0.33333333333333337	0.3793103448275862	0.38181818181818183	0.2727272727272727	0.2666666666666667	0.2530120481927711	0.6363636363636364	0.2068965517241379
Basic characteristics of the fall tourism market	0.5	0.4509803921568627	0.3913043478260869	0.46153846153846156	0.4716981132075472	0.4901960784313726	0.3939393939393939	0.2571428571428571	0.4545454545454546	0.4285714285714286	0.375	0.29729729729729726	0.3513513513513513	0.36363636363636365	0.33333333333333337	0.28205128205128205	0.3142857142857143	0.3529411764705882	0.4222222222222223	0.35	0.3157894736842105	0.36	0.375	0.31707317073170727	0.35	0.3157894736842105	0.41666666666666663	0.34883720930232553	0.46153846153846156	0.4042553191489362	0.33333333333333337	0.33333333333333337	0.2222222222222222	0.41463414634146345	0.53125	0.43999999999999995	0.33333333333333337
Acute respiratory health effects of air pollution on children with asthma in US inner cities	0.29032258064516125	0.26315789473684215	0.23076923076923073	0.31034482758620685	0.3220338983050848	0.29824561403508776	0.33333333333333337	0.2195121951219512	0.31999999999999995	0.23636363636363633	0.2222222222222222	0.16279069767441856	0.2093023255813954	0.28	0.33333333333333337	0.19999999999999996	0.2195121951219512	0.35	0.21568627450980393	0.21739130434782605	0.13636363636363635	0.3214285714285714	0.33333333333333337	0.19148936170212771	0.17391304347826086	0.18181818181818177	0.2222222222222222	0.26530612244897955	0.27586206896551724	0.24528301886792447	0.24444444444444446	0.23809523809523814	0.1428571428571429	0.23404255319148937	0.4	0.5483870967741935	0.24444444444444446
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.32307692307692304	0.30000000000000004	0.23636363636363633	0.34426229508196726	0.25806451612903225	0.30000000000000004	0.23809523809523814	0.2727272727272727	0.05660377358490565	0.1724137931034483	0.19298245614035092	0.17391304347826086	0.17391304347826086	0.2075471698113207	0.28888888888888886	0.20833333333333337	0.2272727272727273	0.3023255813953488	0.2592592592592593	0.34693877551020413	0.276595744680851	0.3220338983050848	0.33333333333333337	0.24	0.26530612244897955	0.23404255319148937	0.29824561403508776	0.23076923076923073	0.21311475409836067	0.3214285714285714	0.33333333333333337	0.33333333333333337	0.24444444444444446	0.31999999999999995	0.31506849315068497	0.5294117647058824	0.33333333333333337
Air pollution and exacerbation of asthma in AfricanAmerican children in Los Angeles	0.3870967741935484	0.33333333333333337	0.3076923076923077	0.3448275862068966	0.3220338983050848	0.33333333333333337	0.33333333333333337	0.1707317073170732	0.24	0.23636363636363633	0.18518518518518523	0.06976744186046513	0.2093023255813954	0.24	0.38095238095238093	0.19999999999999996	0.2195121951219512	0.35	0.2549019607843137	0.26086956521739135	0.2272727272727273	0.3571428571428571	0.33333333333333337	0.14893617021276595	0.17391304347826086	0.2272727272727273	0.33333333333333337	0.26530612244897955	0.27586206896551724	0.28301886792452835	0.24444444444444446	0.2857142857142857	0.09523809523809523	0.276595744680851	0.37142857142857144	0.5483870967741935	0.19999999999999996
Fish Consumption Patterns and Blood Mercury Levels in Wisconsin Chippewa Indians	0.31343283582089554	0.32258064516129037	0.26315789473684215	0.3650793650793651	0.28125	0.3548387096774194	0.36363636363636365	0.30434782608695654	0.23636363636363633	0.23333333333333328	0.2542372881355932	0.29166666666666663	0.33333333333333337	0.23636363636363633	0.3191489361702128	0.24	0.30434782608695654	0.33333333333333337	0.2857142857142857	0.2941176470588235	0.30612244897959184	0.34426229508196726	0.3220338983050848	0.2692307692307693	0.2549019607843137	0.22448979591836737	0.288135593220339	0.2962962962962963	0.2698412698412699	0.3793103448275862	0.36	0.4042553191489362	0.276595744680851	0.23076923076923073	0.36	0.5	0.31999999999999995
What Determines the Value of Life A MetaAnalysis	0.4098360655737705	0.3928571428571429	0.33333333333333337	0.4385964912280702	0.4137931034482759	0.4642857142857143	0.368421052631579	0.30000000000000004	0.34693877551020413	0.37037037037037035	0.3584905660377359	0.2857142857142857	0.33333333333333337	0.26530612244897955	0.2682926829268293	0.2727272727272727	0.30000000000000004	0.28205128205128205	0.36	0.33333333333333337	0.34883720930232553	0.38181818181818183	0.3207547169811321	0.34782608695652173	0.28888888888888886	0.3023255813953488	0.3584905660377359	0.29166666666666663	0.368421052631579	0.3076923076923077	0.36363636363636365	0.31707317073170727	0.2682926829268293	0.3913043478260869	0.4492753623188406	0.5333333333333333	0.36363636363636365
Ambient air pollution and respiratory emergency department visits	0.3666666666666667	0.3090909090909091	0.28	0.2857142857142857	0.29824561403508776	0.2727272727272727	0.18918918918918914	0.17948717948717952	0.25	0.24528301886792447	0.23076923076923073	0.07317073170731703	0.1707317073170732	0.29166666666666663	0.35	0.2093023255813954	0.1282051282051282	0.26315789473684215	0.18367346938775508	0.2272727272727273	0.23809523809523814	0.33333333333333337	0.3846153846153846	0.15555555555555556	0.09090909090909094	0.19047619047619047	0.3076923076923077	0.3191489361702128	0.3214285714285714	0.33333333333333337	0.3023255813953488	0.25	0.09999999999999998	0.24444444444444446	0.4117647058823529	0.5172413793103448	0.2093023255813954
Air Pollution and Hospital Admissions for Chronic Obstructive Pulmonary Disease in Three Metropolitan Areas in the United States	0.19999999999999996	0.16923076923076918	0.16666666666666663	0.33333333333333337	0.22388059701492535	0.2615384615384615	0.36170212765957444	0.26530612244897955	0.31034482758620685	0.1428571428571429	0.16129032258064513	0.2549019607843137	0.2941176470588235	0.1724137931034483	0.31999999999999995	0.28301886792452835	0.34693877551020413	0.375	0.15254237288135597	0.2222222222222222	0.23076923076923073	0.1875	0.32258064516129037	0.2727272727272727	0.2592592592592593	0.2692307692307693	0.16129032258064513	0.26315789473684215	0.18181818181818177	0.21311475409836067	0.2075471698113207	0.24	0.24	0.2727272727272727	0.2564102564102564	0.5897435897435898	0.24528301886792447
Air Pollution and Daily Mortality in Three US Counties	0.32258064516129037	0.26315789473684215	0.23076923076923073	0.4482758620689655	0.35593220338983056	0.4035087719298246	0.3846153846153846	0.36585365853658536	0.31999999999999995	0.23636363636363633	0.2962962962962963	0.3023255813953488	0.34883720930232553	0.24	0.33333333333333337	0.33333333333333337	0.36585365853658536	0.4	0.2941176470588235	0.26086956521739135	0.31818181818181823	0.2857142857142857	0.37037037037037035	0.4042553191489362	0.34782608695652173	0.2727272727272727	0.2592592592592593	0.26530612244897955	0.27586206896551724	0.24528301886792447	0.24444444444444446	0.33333333333333337	0.33333333333333337	0.3191489361702128	0.37142857142857144	0.4838709677419355	0.28888888888888886
The cost of asthma in the emergency department and hospital	0.35593220338983056	0.2962962962962963	0.30612244897959184	0.38181818181818183	0.3571428571428571	0.37037037037037035	0.2777777777777778	0.21052631578947367	0.3191489361702128	0.2692307692307693	0.2941176470588235	0.15000000000000002	0.19999999999999996	0.276595744680851	0.3846153846153846	0.19047619047619047	0.21052631578947367	0.2432432432432432	0.29166666666666663	0.2558139534883721	0.1707317073170732	0.3207547169811321	0.37254901960784315	0.18181818181818177	0.2093023255813954	0.2195121951219512	0.33333333333333337	0.21739130434782605	0.3090909090909091	0.31999999999999995	0.2857142857142857	0.17948717948717952	0.1282051282051282	0.2727272727272727	0.4328358208955224	0.5714285714285714	0.2857142857142857
Reduction in Fine Particulate Air Pollution and Mortality	0.4137931034482759	0.39622641509433965	0.29166666666666663	0.4444444444444444	0.34545454545454546	0.3584905660377359	0.2571428571428571	0.3513513513513513	0.26086956521739135	0.33333333333333337	0.36	0.28205128205128205	0.28205128205128205	0.30434782608695654	0.26315789473684215	0.2682926829268293	0.2432432432432432	0.38888888888888884	0.3191489361702128	0.33333333333333337	0.35	0.3846153846153846	0.43999999999999995	0.39534883720930236	0.33333333333333337	0.25	0.36	0.33333333333333337	0.37037037037037035	0.4285714285714286	0.41463414634146345	0.3157894736842105	0.3157894736842105	0.39534883720930236	0.4545454545454546	0.5555555555555556	0.36585365853658536
The effect of air pollution on innercity children with asthma	0.33333333333333337	0.3090909090909091	0.31999999999999995	0.3571428571428571	0.368421052631579	0.38181818181818183	0.3513513513513513	0.17948717948717952	0.33333333333333337	0.28301886792452835	0.3076923076923077	0.1707317073170732	0.2195121951219512	0.25	0.35	0.2093023255813954	0.23076923076923073	0.3157894736842105	0.30612244897959184	0.2727272727272727	0.19047619047619047	0.33333333333333337	0.34615384615384615	0.15555555555555556	0.18181818181818177	0.19047619047619047	0.3076923076923077	0.23404255319148937	0.3214285714285714	0.2941176470588235	0.2558139534883721	0.19999999999999996	0.15000000000000002	0.24444444444444446	0.4411764705882353	0.5172413793103448	0.3023255813953488
A Poisson process approach for recurrent event data with environmental covariates	0.3114754098360656	0.2857142857142857	0.2549019607843137	0.29824561403508776	0.31034482758620685	0.3214285714285714	0.26315789473684215	0.15000000000000002	0.30612244897959184	0.2592592592592593	0.24528301886792447	0.19047619047619047	0.19047619047619047	0.18367346938775508	0.31707317073170727	0.2272727272727273	0.25	0.28205128205128205	0.24	0.28888888888888886	0.2558139534883721	0.3090909090909091	0.3207547169811321	0.17391304347826086	0.15555555555555556	0.2093023255813954	0.24528301886792447	0.33333333333333337	0.29824561403508776	0.34615384615384615	0.2272727272727273	0.2682926829268293	0.07317073170731703	0.21739130434782605	0.42028985507246375	0.5333333333333333	0.2272727272727273
Choices of stratification in Poisson process analysis of recurrent event data with environmental covariates	0.29032258064516125	0.26315789473684215	0.23076923076923073	0.31034482758620685	0.288135593220339	0.33333333333333337	0.28205128205128205	0.1707317073170732	0.28	0.23636363636363633	0.2222222222222222	0.2093023255813954	0.2093023255813954	0.19999999999999996	0.2857142857142857	0.19999999999999996	0.2682926829268293	0.25	0.2549019607843137	0.26086956521739135	0.2272727272727273	0.2857142857142857	0.33333333333333337	0.14893617021276595	0.17391304347826086	0.18181818181818177	0.2222222222222222	0.26530612244897955	0.27586206896551724	0.3207547169811321	0.24444444444444446	0.2857142857142857	0.1428571428571429	0.23404255319148937	0.4	0.4838709677419355	0.24444444444444446
Direct Medical Costs of Coronary Artery Disease in the United States	0.34426229508196726	0.2857142857142857	0.21568627450980393	0.4385964912280702	0.3448275862068966	0.3928571428571429	0.368421052631579	0.30000000000000004	0.34693877551020413	0.2592592592592593	0.28301886792452835	0.2857142857142857	0.33333333333333337	0.26530612244897955	0.31707317073170727	0.2727272727272727	0.35	0.3846153846153846	0.28	0.19999999999999996	0.2093023255813954	0.3090909090909091	0.3584905660377359	0.34782608695652173	0.33333333333333337	0.2558139534883721	0.24528301886792447	0.25	0.29824561403508776	0.23076923076923073	0.31818181818181823	0.2682926829268293	0.2682926829268293	0.34782608695652173	0.3913043478260869	0.5333333333333333	0.2272727272727273
Development and applications of a standard visual index	0.38983050847457623	0.33333333333333337	0.34693877551020413	0.38181818181818183	0.3928571428571429	0.37037037037037035	0.33333333333333337	0.0	0.3191489361702128	0.3076923076923077	0.2941176470588235	0.19999999999999996	0.25	0.23404255319148937	0.3846153846153846	0.2857142857142857	0.26315789473684215	0.29729729729729726	0.25	0.3023255813953488	0.2682926829268293	0.3584905660377359	0.4117647058823529	0.18181818181818177	0.2558139534883721	0.2682926829268293	0.2941176470588235	0.34782608695652173	0.34545454545454546	0.31999999999999995	0.23809523809523814	0.28205128205128205	0.1282051282051282	0.31818181818181823	0.4328358208955224	0.5	0.2857142857142857
Characterization of PM25 gaseous pollutants and meteorological interactions in the context of timeseries health effects models	0.3846153846153846	0.2666666666666667	0.2727272727272727	0.3770491803278688	0.25806451612903225	0.33333333333333337	0.38095238095238093	0.2272727272727273	0.24528301886792447	0.24137931034482762	0.26315789473684215	0.21739130434782605	0.26086956521739135	0.24528301886792447	0.33333333333333337	0.25	0.31818181818181823	0.34883720930232553	0.33333333333333337	0.30612244897959184	0.3191489361702128	0.35593220338983056	0.368421052631579	0.19999999999999996	0.26530612244897955	0.276595744680851	0.29824561403508776	0.2692307692307693	0.24590163934426235	0.3571428571428571	0.29166666666666663	0.37777777777777777	0.19999999999999996	0.31999999999999995	0.36986301369863017	0.5294117647058824	0.29166666666666663
Soil chemistry and nutrition of North American sprucefir stands evidence for recent change	0.3015873015873016	0.24137931034482762	0.2075471698113207	0.2542372881355932	0.23333333333333328	0.24137931034482762	0.25	0.19047619047619047	0.2941176470588235	0.2142857142857143	0.19999999999999996	0.13636363636363635	0.18181818181818177	0.21568627450980393	0.34883720930232553	0.17391304347826086	0.19047619047619047	0.2682926829268293	0.15384615384615385	0.19148936170212771	0.19999999999999996	0.26315789473684215	0.3090909090909091	0.16666666666666663	0.14893617021276595	0.19999999999999996	0.23636363636363633	0.19999999999999996	0.2542372881355932	0.2962962962962963	0.26086956521739135	0.2558139534883721	0.06976744186046513	0.20833333333333337	0.352112676056338	0.5625	0.13043478260869568
Air pollution and daily hospital admissions in metropolitan Los Angeles	0.38983050847457623	0.33333333333333337	0.30612244897959184	0.38181818181818183	0.3571428571428571	0.37037037037037035	0.2777777777777778	0.26315789473684215	0.23404255319148937	0.3076923076923077	0.2549019607843137	0.09999999999999998	0.19999999999999996	0.276595744680851	0.3846153846153846	0.19047619047619047	0.1578947368421053	0.29729729729729726	0.29166666666666663	0.3023255813953488	0.2682926829268293	0.3584905660377359	0.37254901960784315	0.2272727272727273	0.16279069767441856	0.1707317073170732	0.33333333333333337	0.26086956521739135	0.3090909090909091	0.36	0.33333333333333337	0.28205128205128205	0.1282051282051282	0.2727272727272727	0.4328358208955224	0.5	0.2857142857142857
Association of asthma symptoms with peak particulate air pollution and effect modification by antiinflammatory medication use	0.3548387096774194	0.33333333333333337	0.3076923076923077	0.27586206896551724	0.3220338983050848	0.33333333333333337	0.33333333333333337	0.2195121951219512	0.31999999999999995	0.2727272727272727	0.2592592592592593	0.11627906976744184	0.2093023255813954	0.28	0.33333333333333337	0.19999999999999996	0.2195121951219512	0.35	0.2549019607843137	0.26086956521739135	0.18181818181818177	0.3214285714285714	0.33333333333333337	0.14893617021276595	0.13043478260869568	0.18181818181818177	0.2962962962962963	0.30612244897959184	0.3448275862068966	0.28301886792452835	0.28888888888888886	0.23809523809523814	0.1428571428571429	0.276595744680851	0.4	0.5483870967741935	0.24444444444444446
Asthma symptoms in Hispanic children and daily ambient exposures to toxic and criteria air pollutants	0.3770491803278688	0.3571428571428571	0.33333333333333337	0.368421052631579	0.3448275862068966	0.3571428571428571	0.3157894736842105	0.19999999999999996	0.26530612244897955	0.2592592592592593	0.24528301886792447	0.04761904761904767	0.23809523809523814	0.30612244897959184	0.36585365853658536	0.2272727272727273	0.19999999999999996	0.3846153846153846	0.28	0.28888888888888886	0.2093023255813954	0.34545454545454546	0.4339622641509434	0.17391304347826086	0.15555555555555556	0.16279069767441856	0.3207547169811321	0.33333333333333337	0.33333333333333337	0.2692307692307693	0.2727272727272727	0.2195121951219512	0.1707317073170732	0.30434782608695654	0.42028985507246375	0.5333333333333333	0.2727272727272727
Acid rain impacts on calcium nutrition and forest health	0.3793103448275862	0.3207547169811321	0.29166666666666663	0.37037037037037035	0.34545454545454546	0.3584905660377359	0.3142857142857143	0.1351351351351351	0.30434782608695654	0.2941176470588235	0.28	0.1282051282051282	0.17948717948717952	0.21739130434782605	0.3157894736842105	0.1707317073170732	0.18918918918918914	0.33333333333333337	0.276595744680851	0.2857142857142857	0.19999999999999996	0.34615384615384615	0.36	0.2093023255813954	0.19047619047619047	0.15000000000000002	0.28	0.28888888888888886	0.33333333333333337	0.30612244897959184	0.2682926829268293	0.21052631578947367	0.052631578947368474	0.2558139534883721	0.4545454545454546	0.4814814814814815	0.2195121951219512
A national estimate of the economic costs of asthma 	0.4814814814814815	0.4285714285714286	0.36363636363636365	0.48	0.4509803921568627	0.4693877551020408	0.29032258064516125	0.2727272727272727	0.4285714285714286	0.4042553191489362	0.3913043478260869	0.2571428571428571	0.3142857142857143	0.33333333333333337	0.3529411764705882	0.2432432432432432	0.2727272727272727	0.3125	0.39534883720930236	0.368421052631579	0.2777777777777778	0.41666666666666663	0.4347826086956522	0.33333333333333337	0.3157894736842105	0.2777777777777778	0.3913043478260869	0.36585365853658536	0.43999999999999995	0.37777777777777777	0.3513513513513513	0.23529411764705888	0.17647058823529416	0.3846153846153846	0.5483870967741935	0.5652173913043479	0.29729729729729726
Association of ambient air pollution with respiratory hospitalization in a governmentdesignated area of concern the case of Windsor	0.32307692307692304	0.30000000000000004	0.2727272727272727	0.2786885245901639	0.25806451612903225	0.2666666666666667	0.2857142857142857	0.2272727272727273	0.3207547169811321	0.24137931034482762	0.22807017543859653	0.13043478260869568	0.21739130434782605	0.28301886792452835	0.37777777777777777	0.20833333333333337	0.2272727272727273	0.2558139534883721	0.2222222222222222	0.22448979591836737	0.23404255319148937	0.3220338983050848	0.29824561403508776	0.07999999999999996	0.061224489795918324	0.23404255319148937	0.29824561403508776	0.3076923076923077	0.3114754098360656	0.2857142857142857	0.29166666666666663	0.28888888888888886	0.11111111111111116	0.19999999999999996	0.3972602739726028	0.5882352941176471	0.20833333333333337
Association between air pollution and multiple respiratory hospitalizations among the elderly in Vancouver Canada	0.29230769230769227	0.30000000000000004	0.2727272727272727	0.2786885245901639	0.25806451612903225	0.30000000000000004	0.2857142857142857	0.2727272727272727	0.28301886792452835	0.24137931034482762	0.22807017543859653	0.13043478260869568	0.26086956521739135	0.28301886792452835	0.33333333333333337	0.20833333333333337	0.2272727272727273	0.34883720930232553	0.2592592592592593	0.26530612244897955	0.276595744680851	0.3220338983050848	0.29824561403508776	0.12	0.020408163265306145	0.19148936170212771	0.29824561403508776	0.3076923076923077	0.3114754098360656	0.3214285714285714	0.33333333333333337	0.33333333333333337	0.15555555555555556	0.19999999999999996	0.3972602739726028	0.5294117647058824	0.20833333333333337
