	Comments submitted to OSHA docket S029 Exhibit 314 by	Institute of Electrical and Electronics Engineers IEEE Standard for Fall Protection for Utility Work IEEE Standard 13072004 httpstandardsieeeorgreadingieeestdnumericalhtml accessed	Occupational Safety and Health Administration 29 CFR Part	Occupational Safety and Health Administration Fixed Ladders Used on Outdoor Advertising StructuresBillboards in the Outdoor Advertising Industry	Occupational Safety and Health Administration Preliminary Regulatory Impact and Regulatory Flexibility Analysis of Draft Subparts D and I of 29 CFR Part	0030 Machine Shops Turned Product and Screw Nut	Electric Lighting Equipment Manufacturing	Household Appliance Manufacturing 279213 163 1712962 371 63608 2015 1236 0001 0019 Professional and Commercial Equipment and Supplies Merchant Wholesalers	Accessories	0024 Lawn and Garden Equipment and Supplies Stores	0039 Sporting Goods Hobby and Musical Instrument Stores	0050 Electronic Shopping and MailOrder Houses 12662263 13335 949551 396 	0095 Deep Sea Coastal and Great Lakes Water Transportation 1019668 645 1580880 417 	Rural Bus Transportation	Employee Bus Transportation	0102 Other Transit and Ground Passenger Transportation	Support Activities for Air Transportation	Motion Picture and Video Industries	Television Broadcasting	Other Subscription Programming	0263 Data Processing Hosting and Related Services	Monetary Authorities  Central Bank	0005 Securities and Commodity Contracts Intermediation and Brokerage	0000 Agencies Brokerages and Other Insurance Related Activities	Pools and Funds	Offices of Real Estate Agents and Brokers	Activities Related to Real Estate	Automotive Equipment Rental and Leasing	0040 Commercial and Industrial Machinery and Equipment Rental and Leasing	Legal Services 73138890 164606 444327 852  37841 657652 400 0001 0011 Accounting Tax Preparation Bookkeeping and Payroll Services	Specialized Design Services 12493910 29234 427376 623  26635 138628 474 0001 0018 Computer Systems Design and Related Services	Scientific Research and Development	Home Health Care Services	Health Care Services	General Medical and Surgical Hospitals	Psychiatric and Substance Abuse Hospitals 103678 48 2159950 508  109669 210 437 0000 0004 Specialty except Psychiatric and Substance Abuse Hospitals 140371 130 1079779 508 	0013 Residential Mental Retardation Mental Health and Substance Abuse Facilities 1155914 4046 285693 508 	Facilities for the Elderly	Care Facilities	Individual and Family Services 8057734 27310 295047 508  14981 86180 316 0001 0021 Community Food and Housing and Emergency and Other Relief Services 3126011 6774 461472 508 	Vocational Rehabilitation Services	Care Services	0006 Promoters of Performing Arts Sports and Similar Events 2931291	Boarding Houses	0091 Electronic and Precision Equipment Repair and	Death Care Services	Grantmaking and Giving Services	receipts and payroll data from US Census Bureau Statistics of US Businesses	1 Discussions with Outdoor Amusement Business Association OABA staff indicate that very few office and multifamily residential buildings use fixed ladders greater than 20 feet in height A5 Based on this data ERG estimated that all 28906 estimated fixed ladders on lift towers are infrequently climbed A4 Communications Towers Radio Television Cellular and Microwave Virtually all communication towers have fixed ladders The Federal Communications Commission FCC Antenna Structure Registration Database lists 93000 registered Albee	Economic Census Manufacturing As downloaded from httpfactfindercensusgovservletIQRTablebmydsnameEC0200A1NAICS20023133langen on	As downloaded from ftpftpeiadoegovpubconsumptionresidential2001hctableshousingunithouseholdpdf on August 24	United States Environmental Protection Agency	As downloaded from httpwwwepagovsafewatercwssvrhtml on August 23	Telephone conversation between Joe Shefchik and Ayesha Berlind	Telephone conversation between Wendell Kido Chief Policy and Planning Division Sacramento County Regional Sanitation District and Ayesha Berlind	Telephone conversation between
American National Standard for Ladders—Portable Reinforced Plastic–Safety Requirements	0.74	0.53	0.5700000000000001	0.6	0.6	0.6599999999999999	0.64	0.6599999999999999	0.64	0.6	0.64	0.71	0.6599999999999999	0.63	0.63	0.63	0.61	0.5800000000000001	0.5700000000000001	0.64	0.62	0.62	0.64	0.62	0.6699999999999999	0.5900000000000001	0.64	0.5700000000000001	0.61	0.69	0.73	0.5800000000000001	0.64	0.6	0.5800000000000001	0.71	0.62	0.5800000000000001	0.6	0.6699999999999999	0.56	0.54	0.6599999999999999	0.6	0.6	0.5800000000000001	0.5900000000000001	0.6	0.5700000000000001	0.63	0.63	0.63	0.63	0.62	0.6	0.64
American National Standard Safety Requirements for JobMade Wooden Ladders	0.7	0.5800000000000001	0.5800000000000001	0.5700000000000001	0.61	0.6599999999999999	0.61	0.5700000000000001	0.64	0.52	0.62	0.6799999999999999	0.65	0.6699999999999999	0.63	0.63	0.64	0.55	0.61	0.7	0.62	0.62	0.61	0.6599999999999999	0.54	0.5900000000000001	0.64	0.5900000000000001	0.53	0.65	0.72	0.6	0.64	0.6	0.5800000000000001	0.69	0.61	0.5800000000000001	0.6699999999999999	0.65	0.53	0.62	0.6599999999999999	0.6	0.54	0.5800000000000001	0.5900000000000001	0.62	0.5700000000000001	0.62	0.6599999999999999	0.56	0.69	0.63	0.61	0.64
Dual Use Tower Transmission and Generation Utility Automation  Engineering TD Online	0.6799999999999999	0.6	0.5800000000000001	0.6	0.6	0.64	0.61	0.62	0.73	0.6	0.6799999999999999	0.71	0.65	0.5	0.56	0.5	0.5700000000000001	0.5800000000000001	0.53	0.6	0.6	0.56	0.5900000000000001	0.5900000000000001	0.54	0.61	0.64	0.5700000000000001	0.5900000000000001	0.6599999999999999	0.7	0.63	0.64	0.65	0.64	0.71	0.64	0.62	0.6	0.6599999999999999	0.48	0.62	0.6599999999999999	0.6	0.6	0.64	0.49	0.63	0.5900000000000001	0.6599999999999999	0.6599999999999999	0.5800000000000001	0.6799999999999999	0.62	0.56	0.5700000000000001
Portable Dock Leveling Devices Safety Performance and Testing	0.72	0.6	0.65	0.63	0.6	0.6	0.61	0.6599999999999999	0.64	0.64	0.6799999999999999	0.73	0.64	0.63	0.63	0.65	0.61	0.6	0.53	0.64	0.6	0.62	0.63	0.61	0.54	0.5700000000000001	0.5800000000000001	0.54	0.6	0.64	0.69	0.5800000000000001	0.56	0.6	0.64	0.6599999999999999	0.63	0.62	0.6	0.6599999999999999	0.53	0.39	0.61	0.6	0.6	0.53	0.49	0.6599999999999999	0.56	0.6599999999999999	0.6799999999999999	0.5800000000000001	0.63	0.5800000000000001	0.56	0.6
Technical And Analytical Support And Docket Review For OSHA’s Preliminary Analysis Of Costs Benefits And Economic Impacts For OSHA’s Proposed Standard For Walking And Working Surfaces	0.63	0.63	0.64	0.64	0.61	0.62	0.6599999999999999	0.7	0.64	0.6	0.62	0.69	0.7	0.63	0.6	0.62	0.49	0.6	0.61	0.6	0.62	0.56	0.5800000000000001	0.6599999999999999	0.54	0.5900000000000001	0.6699999999999999	0.65	0.62	0.69	0.71	0.6	0.64	0.6	0.56	0.71	0.6799999999999999	0.62	0.6	0.69	0.62	0.54	0.63	0.4	0.62	0.5800000000000001	0.39	0.6	0.62	0.7	0.69	0.63	0.6799999999999999	0.62	0.63	0.64
101 Life Safety Code 2006 Edition 72223 Spiral stairs	0.6799999999999999	0.63	0.54	0.55	0.5700000000000001	0.6599999999999999	0.71	0.65	0.73	0.6	0.6699999999999999	0.6699999999999999	0.63	0.6699999999999999	0.63	0.63	0.6599999999999999	0.63	0.61	0.6699999999999999	0.6699999999999999	0.62	0.63	0.6799999999999999	0.74	0.69	0.64	0.6699999999999999	0.6699999999999999	0.65	0.6699999999999999	0.75	0.64	0.65	0.5900000000000001	0.65	0.61	0.6599999999999999	0.6	0.65	0.65	0.7	0.6699999999999999	0.74	0.62	0.64	0.6799999999999999	0.65	0.61	0.6799999999999999	0.7	0.65	0.74	0.6799999999999999	0.61	0.6699999999999999
American National Standard for Ladders—Portable Metal– Safety Requirements	0.7	0.56	0.5800000000000001	0.5900000000000001	0.5900000000000001	0.64	0.64	0.61	0.64	0.62	0.62	0.71	0.65	0.63	0.63	0.65	0.64	0.5800000000000001	0.61	0.7	0.64	0.5900000000000001	0.64	0.64	0.54	0.5900000000000001	0.64	0.5700000000000001	0.5800000000000001	0.6699999999999999	0.72	0.63	0.52	0.55	0.5800000000000001	0.69	0.5700000000000001	0.5800000000000001	0.6699999999999999	0.64	0.56	0.62	0.64	0.6	0.62	0.5800000000000001	0.5900000000000001	0.5900000000000001	0.5700000000000001	0.6	0.65	0.65	0.65	0.65	0.61	0.64
American National Standard for Ladders—Wood–Safety Requirements	0.72	0.54	0.5800000000000001	0.5800000000000001	0.61	0.64	0.64	0.62	0.64	0.6	0.64	0.69	0.61	0.6699999999999999	0.63	0.65	0.6599999999999999	0.5800000000000001	0.61	0.7	0.6599999999999999	0.65	0.64	0.64	0.54	0.5900000000000001	0.6699999999999999	0.5700000000000001	0.5800000000000001	0.6599999999999999	0.69	0.6599999999999999	0.64	0.65	0.5800000000000001	0.69	0.62	0.5800000000000001	0.6699999999999999	0.62	0.56	0.62	0.6599999999999999	0.6	0.6	0.64	0.5900000000000001	0.64	0.56	0.61	0.62	0.65	0.64	0.63	0.5800000000000001	0.64
American National Standard for Mobile Ladder Stands and Mobile Ladder Stand Platforms	0.6799999999999999	0.56	0.6	0.55	0.5800000000000001	0.62	0.64	0.5900000000000001	0.64	0.54	0.5900000000000001	0.6699999999999999	0.6599999999999999	0.6699999999999999	0.63	0.5800000000000001	0.61	0.5800000000000001	0.61	0.64	0.62	0.5900000000000001	0.5900000000000001	0.64	0.54	0.5900000000000001	0.64	0.62	0.5700000000000001	0.6599999999999999	0.73	0.63	0.64	0.6	0.56	0.7	0.6	0.62	0.6	0.6599999999999999	0.53	0.62	0.62	0.6	0.5800000000000001	0.69	0.5900000000000001	0.63	0.5800000000000001	0.63	0.6799999999999999	0.63	0.6599999999999999	0.62	0.6	0.64
American National Standard Safety Requirements for Workplace Floor and Wall Openings Stairs and Railing Systems	0.7	0.5800000000000001	0.5700000000000001	0.5800000000000001	0.5700000000000001	0.6599999999999999	0.61	0.6599999999999999	0.64	0.52	0.6	0.6699999999999999	0.6599999999999999	0.63	0.63	0.63	0.61	0.55	0.5700000000000001	0.6	0.56	0.62	0.62	0.5900000000000001	0.54	0.5900000000000001	0.55	0.5700000000000001	0.54	0.7	0.72	0.6	0.64	0.6	0.5800000000000001	0.72	0.65	0.5800000000000001	0.54	0.6799999999999999	0.53	0.62	0.6	0.47	0.56	0.5800000000000001	0.45999999999999996	0.6	0.55	0.6799999999999999	0.6699999999999999	0.6	0.6599999999999999	0.63	0.5900000000000001	0.64
Assessing Occupational Safety and Health Training A Literature Review	0.6699999999999999	0.63	0.30000000000000004	0.4	0.38	0.64	0.5900000000000001	0.5800000000000001	0.55	0.62	0.62	0.72	0.64	0.5900000000000001	0.6699999999999999	0.63	0.6599999999999999	0.5800000000000001	0.5700000000000001	0.64	0.55	0.5900000000000001	0.64	0.5900000000000001	0.54	0.5900000000000001	0.61	0.5700000000000001	0.5700000000000001	0.6	0.69	0.63	0.52	0.49	0.61	0.6599999999999999	0.56	0.62	0.6	0.61	0.5	0.39	0.6699999999999999	0.6	0.6	0.48	0.55	0.64	0.5800000000000001	0.64	0.6599999999999999	0.63	0.69	0.6	0.5700000000000001	0.6
Data on Fixed Ladders and Cost Analysis Update in Support of OSHA’s rulemaking on Walking and Working Surfaces Submitted to OSHA	0.63	0.63	0.5700000000000001	0.5900000000000001	0.61	0.62	0.6599999999999999	0.6799999999999999	0.73	0.5800000000000001	0.6	0.7	0.64	0.63	0.6	0.5800000000000001	0.5700000000000001	0.55	0.5700000000000001	0.6	0.56	0.65	0.61	0.61	0.54	0.61	0.64	0.5700000000000001	0.5900000000000001	0.71	0.72	0.6599999999999999	0.6	0.55	0.61	0.6799999999999999	0.65	0.62	0.6	0.6799999999999999	0.56	0.54	0.65	0.54	0.62	0.5800000000000001	0.36	0.62	0.5800000000000001	0.71	0.6599999999999999	0.56	0.6599999999999999	0.63	0.63	0.6699999999999999
Guidance for Implementation of the AASHTO Strategic Highway Safety Plan Volume 8 A guide for Reducing Collisions Involving Utility Poles	0.6799999999999999	0.6599999999999999	0.6	0.63	0.64	0.6599999999999999	0.61	0.6799999999999999	0.73	0.6	0.62	0.7	0.6799999999999999	0.63	0.56	0.65	0.61	0.6	0.53	0.6	0.62	0.62	0.64	0.6599999999999999	0.6	0.61	0.64	0.62	0.64	0.72	0.72	0.6599999999999999	0.64	0.65	0.61	0.7	0.65	0.5800000000000001	0.54	0.71	0.62	0.62	0.63	0.54	0.64	0.64	0.62	0.63	0.5900000000000001	0.71	0.69	0.63	0.6599999999999999	0.62	0.64	0.5700000000000001
IEEE Standard for Fall Protection for Utility Work	0.6799999999999999	0.0	0.6	0.62	0.5800000000000001	0.64	0.71	0.64	0.73	0.64	0.64	0.7	0.62	0.55	0.63	0.64	0.64	0.69	0.61	0.64	0.63	0.65	0.6	0.6799999999999999	0.6699999999999999	0.6599999999999999	0.6699999999999999	0.72	0.6599999999999999	0.64	0.7	0.69	0.64	0.65	0.6599999999999999	0.72	0.6599999999999999	0.54	0.54	0.6	0.5900000000000001	0.7	0.64	0.6699999999999999	0.62	0.69	0.6799999999999999	0.6	0.56	0.6599999999999999	0.64	0.52	0.6599999999999999	0.7	0.6	0.6699999999999999
Poison Poles – A Report About Their Toxic Trail and Safer Alternatives Estimate of Pole Miles and Distribution Poles by State	0.61	0.63	0.5800000000000001	0.63	0.64	0.64	0.6599999999999999	0.6599999999999999	0.64	0.56	0.5900000000000001	0.6599999999999999	0.63	0.55	0.63	0.54	0.54	0.52	0.5700000000000001	0.6	0.5800000000000001	0.53	0.5900000000000001	0.5900000000000001	0.4	0.54	0.52	0.54	0.5900000000000001	0.7	0.71	0.5800000000000001	0.56	0.55	0.53	0.6799999999999999	0.6599999999999999	0.62	0.6	0.69	0.56	0.62	0.5700000000000001	0.54	0.5800000000000001	0.5800000000000001	0.62	0.6	0.5800000000000001	0.7	0.6699999999999999	0.5800000000000001	0.65	0.6	0.5900000000000001	0.64
Standard Specification for Precast Reinforced Concrete Manhole Sections	0.72	0.5700000000000001	0.62	0.5700000000000001	0.55	0.5800000000000001	0.61	0.62	0.64	0.6	0.62	0.72	0.65	0.63	0.6	0.5800000000000001	0.54	0.5800000000000001	0.5700000000000001	0.5700000000000001	0.5800000000000001	0.5900000000000001	0.6	0.61	0.6699999999999999	0.5900000000000001	0.61	0.65	0.65	0.5900000000000001	0.71	0.6	0.56	0.5	0.63	0.64	0.5800000000000001	0.5	0.54	0.64	0.56	0.47	0.6699999999999999	0.6	0.5800000000000001	0.53	0.62	0.62	0.55	0.65	0.64	0.5800000000000001	0.6799999999999999	0.6	0.5700000000000001	0.5700000000000001
Standard Specification for Steel Transmission Tower Bolts ZincCoated and Bare	0.6799999999999999	0.56	0.5800000000000001	0.6	0.55	0.6	0.6599999999999999	0.6699999999999999	0.73	0.62	0.64	0.72	0.64	0.55	0.56	0.6	0.49	0.5800000000000001	0.5700000000000001	0.5700000000000001	0.6	0.56	0.56	0.64	0.6	0.5700000000000001	0.64	0.63	0.63	0.65	0.71	0.63	0.6	0.6	0.64	0.6699999999999999	0.63	0.47	0.47	0.69	0.56	0.47	0.65	0.6	0.6	0.5800000000000001	0.5900000000000001	0.62	0.5800000000000001	0.64	0.6699999999999999	0.63	0.71	0.61	0.56	0.5700000000000001
UDI directory of Electric Power Producers and Distributors 115th Edition of the Electrical World Directory	0.6799999999999999	0.56	0.62	0.6	0.65	0.56	0.5700000000000001	0.6699999999999999	0.64	0.64	0.5700000000000001	0.63	0.6799999999999999	0.5900000000000001	0.6	0.62	0.61	0.52	0.5700000000000001	0.6	0.62	0.5900000000000001	0.5800000000000001	0.5800000000000001	0.47	0.61	0.61	0.62	0.61	0.73	0.73	0.5800000000000001	0.6	0.6	0.61	0.6799999999999999	0.69	0.47	0.6699999999999999	0.7	0.62	0.54	0.5700000000000001	0.6	0.56	0.5800000000000001	0.65	0.63	0.61	0.6799999999999999	0.69	0.6	0.6799999999999999	0.63	0.61	0.6
Ups  Downs Checking for Elevator Safety	0.72	0.5700000000000001	0.6699999999999999	0.62	0.5700000000000001	0.6699999999999999	0.6699999999999999	0.65	0.73	0.65	0.6699999999999999	0.65	0.5900000000000001	0.71	0.71	0.5900000000000001	0.62	0.69	0.7	0.6699999999999999	0.62	0.65	0.65	0.65	0.6699999999999999	0.7	0.6699999999999999	0.75	0.65	0.62	0.62	0.6599999999999999	0.64	0.65	0.74	0.7	0.6699999999999999	0.53	0.6699999999999999	0.62	0.65	0.62	0.62	0.6	0.65	0.64	0.65	0.62	0.62	0.65	0.65	0.65	0.5700000000000001	0.65	0.62	0.63
Window Cleaning Safety	0.69	0.55	0.55	0.55	0.55	0.6	0.6	0.6	0.8200000000000001	0.64	0.64	0.64	0.6	0.78	0.73	0.64	0.73	0.64	0.6599999999999999	0.69	0.6	0.69	0.64	0.64	0.6699999999999999	0.64	0.64	0.64	0.64	0.6	0.6	0.69	0.69	0.7	0.69	0.64	0.6	0.69	0.6699999999999999	0.6	0.6	0.7	0.6	0.6	0.64	0.69	0.5	0.64	0.55	0.55	0.64	0.64	0.64	0.6	0.55	0.6
Comments submitted to OSHA docket S 029 Ex 313 by Marc Lebel ProBel Enterprises Limited	0.12	0.6799999999999999	0.71	0.65	0.69	0.64	0.71	0.6799999999999999	0.55	0.64	0.6599999999999999	0.75	0.75	0.6699999999999999	0.6699999999999999	0.71	0.74	0.63	0.7	0.7	0.64	0.62	0.6799999999999999	0.6699999999999999	0.6699999999999999	0.6599999999999999	0.61	0.72	0.72	0.72	0.6799999999999999	0.6599999999999999	0.52	0.5	0.6599999999999999	0.69	0.6799999999999999	0.62	0.54	0.6599999999999999	0.65	0.54	0.71	0.6	0.62	0.53	0.6799999999999999	0.6699999999999999	0.63	0.69	0.71	0.6699999999999999	0.72	0.6799999999999999	0.69	0.6
Comments submitted to OSHA docket S029 Exhibit 3126 by Andy Kreidenweis Braco Window Cleaning Service Inc	0.040000000000000036	0.6699999999999999	0.64	0.65	0.6599999999999999	0.62	0.6599999999999999	0.6699999999999999	0.64	0.5800000000000001	0.6599999999999999	0.73	0.71	0.6699999999999999	0.63	0.62	0.6599999999999999	0.63	0.53	0.7	0.56	0.62	0.64	0.6599999999999999	0.6	0.69	0.6699999999999999	0.5900000000000001	0.64	0.6799999999999999	0.6799999999999999	0.6	0.52	0.44999999999999996	0.64	0.69	0.72	0.7	0.6699999999999999	0.6599999999999999	0.53	0.39	0.69	0.6	0.62	0.43000000000000005	0.42000000000000004	0.6599999999999999	0.61	0.69	0.7	0.65	0.72	0.65	0.63	0.6
Comments submitted to OSHA docket S029 Exhibit 314 by Linda Amodeo Vice President City Wide Building Services Inc	0.0	0.6599999999999999	0.71	0.63	0.6699999999999999	0.64	0.64	0.6799999999999999	0.55	0.5800000000000001	0.62	0.74	0.73	0.71	0.6699999999999999	0.65	0.69	0.5800000000000001	0.61	0.64	0.52	0.62	0.65	0.6599999999999999	0.6699999999999999	0.61	0.6699999999999999	0.5700000000000001	0.6799999999999999	0.6799999999999999	0.63	0.63	0.52	0.44999999999999996	0.6599999999999999	0.6799999999999999	0.71	0.6599999999999999	0.6	0.65	0.5	0.31000000000000005	0.6599999999999999	0.54	0.6	0.43000000000000005	0.39	0.64	0.55	0.71	0.69	0.6	0.71	0.65	0.62	0.6
Telephone conversation between Bob Johnson President Outdoor Amusement Business Association and Ayesha Berlind ERG	0.65	0.65	0.62	0.5800000000000001	0.62	0.64	0.6599999999999999	0.69	0.55	0.6	0.6	0.71	0.6799999999999999	0.5	0.49	0.5800000000000001	0.5700000000000001	0.55	0.48	0.6	0.56	0.56	0.5900000000000001	0.61	0.54	0.5900000000000001	0.61	0.5700000000000001	0.65	0.72	0.69	0.63	0.6	0.6	0.6599999999999999	0.72	0.6699999999999999	0.5800000000000001	0.6	0.71	0.53	0.62	0.62	0.6	0.6	0.64	0.5900000000000001	0.6	0.6	0.71	0.62	0.6	0.65	0.33999999999999997	0.49	0.0
Telephone conversation between Michael Berry President National Ski Areas Association and Ayesha Berlind ERG	0.65	0.64	0.5800000000000001	0.62	0.62	0.5800000000000001	0.64	0.6699999999999999	0.55	0.5800000000000001	0.5900000000000001	0.7	0.64	0.45999999999999996	0.56	0.5800000000000001	0.5700000000000001	0.5800000000000001	0.48	0.64	0.54	0.56	0.5800000000000001	0.61	0.54	0.5900000000000001	0.61	0.62	0.61	0.7	0.71	0.63	0.6	0.6	0.61	0.71	0.64	0.5800000000000001	0.6	0.72	0.53	0.62	0.62	0.6	0.6	0.5800000000000001	0.5900000000000001	0.64	0.5700000000000001	0.69	0.6599999999999999	0.54	0.6599999999999999	0.33999999999999997	0.45999999999999996	0.0
Telephone conversation between Myron Liable President Outdoor Advertising Association of America and Ayesha Berlind ERG	0.63	0.64	0.62	0.51	0.62	0.64	0.64	0.69	0.55	0.6	0.5900000000000001	0.71	0.6599999999999999	0.5900000000000001	0.6	0.6	0.5700000000000001	0.55	0.48	0.5700000000000001	0.5800000000000001	0.53	0.61	0.61	0.6	0.5700000000000001	0.61	0.5900000000000001	0.64	0.71	0.71	0.52	0.6	0.6	0.61	0.69	0.65	0.5800000000000001	0.6699999999999999	0.69	0.53	0.54	0.6	0.54	0.5800000000000001	0.64	0.55	0.63	0.5800000000000001	0.7	0.65	0.5800000000000001	0.6599999999999999	0.33999999999999997	0.47	0.0
Telephone conversation between Sid Roslund Director of Technical Services National Ski Areas Association and Ayesha Berlind ERG	0.6699999999999999	0.63	0.5700000000000001	0.61	0.63	0.5800000000000001	0.5900000000000001	0.6599999999999999	0.55	0.62	0.62	0.6699999999999999	0.63	0.45999999999999996	0.56	0.62	0.52	0.55	0.48	0.64	0.54	0.56	0.55	0.61	0.54	0.54	0.5800000000000001	0.62	0.5900000000000001	0.7	0.6799999999999999	0.6	0.43999999999999995	0.4	0.56	0.6699999999999999	0.64	0.5800000000000001	0.6	0.7	0.5	0.24	0.63	0.6	0.56	0.37	0.55	0.6	0.56	0.69	0.65	0.54	0.63	0.33999999999999997	0.45999999999999996	0.0
Comments submitted to OSHA Docket S029 Exhibit 419 by Michael C Wright LJB Inc	0.06000000000000005	0.6799999999999999	0.6699999999999999	0.6599999999999999	0.6599999999999999	0.71	0.69	0.7	0.64	0.72	0.6599999999999999	0.75	0.75	0.71	0.71	0.73	0.71	0.69	0.74	0.7	0.7	0.62	0.71	0.72	0.74	0.74	0.64	0.7	0.6799999999999999	0.75	0.75	0.6599999999999999	0.64	0.6	0.72	0.7	0.6799999999999999	0.6599999999999999	0.6699999999999999	0.6799999999999999	0.65	0.7	0.72	0.6699999999999999	0.7	0.64	0.6799999999999999	0.7	0.62	0.71	0.7	0.69	0.72	0.65	0.6699999999999999	0.7
Comments submitted to OSHA Docket S029 Exhibit 46 by Robert J Zeolla Jr President Sunset Window Cleaning Company	0.06000000000000005	0.65	0.6699999999999999	0.63	0.6599999999999999	0.64	0.64	0.6799999999999999	0.64	0.6	0.6599999999999999	0.74	0.73	0.63	0.63	0.62	0.64	0.6	0.6599999999999999	0.5700000000000001	0.62	0.62	0.65	0.7	0.54	0.64	0.61	0.5700000000000001	0.62	0.7	0.7	0.6	0.56	0.6	0.6599999999999999	0.6799999999999999	0.72	0.6599999999999999	0.6699999999999999	0.6799999999999999	0.65	0.54	0.65	0.54	0.5800000000000001	0.5800000000000001	0.65	0.64	0.5800000000000001	0.72	0.72	0.63	0.71	0.65	0.65	0.6
conversation between Wendell Kido Chief Policy and Planning Division Sacramento County Regional Sanitation District and Ayesha Berlind ERG	0.65	0.62	0.55	0.61	0.6	0.62	0.61	0.6699999999999999	0.73	0.62	0.64	0.71	0.6699999999999999	0.5	0.56	0.5800000000000001	0.5900000000000001	0.52	0.53	0.6	0.5800000000000001	0.56	0.55	0.62	0.4	0.5700000000000001	0.61	0.54	0.55	0.69	0.7	0.55	0.64	0.65	0.5800000000000001	0.69	0.65	0.5800000000000001	0.6	0.6799999999999999	0.42000000000000004	0.62	0.65	0.6	0.54	0.64	0.52	0.5900000000000001	0.56	0.7	0.6699999999999999	0.5800000000000001	0.6799999999999999	0.47	0.020000000000000018	0.6
December 5 1989 letter from Mr Thomas J Shepich to Mr Carl Pedersen regarding Descent Control Devices Memorandum to Regional Administrators from Patricia K Clark Director Directorate of Compliance Programs March 12	0.6699999999999999	0.64	0.5	0.62	0.61	0.64	0.64	0.69	0.64	0.6	0.6	0.6699999999999999	0.6599999999999999	0.5900000000000001	0.63	0.6	0.61	0.5800000000000001	0.53	0.6	0.56	0.56	0.56	0.5900000000000001	0.6	0.5900000000000001	0.49	0.5900000000000001	0.5800000000000001	0.69	0.7	0.5800000000000001	0.56	0.4	0.5800000000000001	0.71	0.64	0.5800000000000001	0.6	0.71	0.53	0.39	0.6	0.4	0.6	0.37	0.62	0.6	0.6	0.65	0.65	0.5800000000000001	0.6799999999999999	0.6	0.5800000000000001	0.6
Interview with Myron Liable President and JR Watson Director Legislation and Research Outdoor Advertising Association of America 	0.6699999999999999	0.61	0.55	0.51	0.5900000000000001	0.62	0.5900000000000001	0.6699999999999999	0.55	0.56	0.64	0.6699999999999999	0.64	0.5900000000000001	0.6	0.54	0.5700000000000001	0.55	0.48	0.54	0.54	0.5900000000000001	0.55	0.5900000000000001	0.54	0.5900000000000001	0.61	0.5900000000000001	0.5900000000000001	0.6799999999999999	0.7	0.52	0.6	0.6	0.61	0.7	0.6	0.62	0.6	0.6699999999999999	0.53	0.54	0.65	0.54	0.56	0.5800000000000001	0.55	0.62	0.5800000000000001	0.7	0.6599999999999999	0.56	0.6599999999999999	0.5700000000000001	0.5900000000000001	0.54
Personal communication between Ron Pietrzak American Ladder Institute and Maureen Kaplan Eastern Research Group Inc	0.6699999999999999	0.61	0.5700000000000001	0.5900000000000001	0.62	0.64	0.5900000000000001	0.6699999999999999	0.64	0.5800000000000001	0.5900000000000001	0.7	0.6699999999999999	0.55	0.6699999999999999	0.56	0.64	0.52	0.53	0.64	0.62	0.56	0.61	0.5800000000000001	0.54	0.5900000000000001	0.52	0.5900000000000001	0.54	0.71	0.73	0.55	0.6	0.6	0.56	0.71	0.65	0.62	0.6	0.6599999999999999	0.56	0.54	0.62	0.6	0.56	0.5800000000000001	0.62	0.64	0.56	0.6799999999999999	0.6699999999999999	0.5800000000000001	0.65	0.47	0.56	0.33999999999999997
Personal communication between Rosita DiChacho New York Department of Labor Division of Safety  Health Engineering Services Unit and Maureen F Kaplan Eastern Research Group	0.6699999999999999	0.63	0.51	0.62	0.62	0.5800000000000001	0.5700000000000001	0.6799999999999999	0.55	0.56	0.5700000000000001	0.6699999999999999	0.63	0.55	0.6699999999999999	0.6	0.64	0.5800000000000001	0.53	0.64	0.54	0.56	0.61	0.61	0.54	0.5700000000000001	0.55	0.5900000000000001	0.61	0.69	0.69	0.5800000000000001	0.4	0.44999999999999996	0.5800000000000001	0.6799999999999999	0.62	0.62	0.6	0.71	0.48	0.24	0.63	0.6	0.5800000000000001	0.43000000000000005	0.45999999999999996	0.64	0.5800000000000001	0.6599999999999999	0.69	0.5800000000000001	0.6599999999999999	0.5	0.52	0.33999999999999997
Personal communication between Stefan Bright International Window Cleaning Association and Andreas Lord Eastern Research Group Inc	0.6799999999999999	0.62	0.55	0.6	0.61	0.62	0.61	0.6799999999999999	0.55	0.6	0.62	0.6699999999999999	0.63	0.55	0.6	0.5800000000000001	0.5900000000000001	0.49	0.53	0.5700000000000001	0.56	0.5900000000000001	0.55	0.62	0.4	0.5700000000000001	0.55	0.54	0.5800000000000001	0.69	0.72	0.5800000000000001	0.6	0.55	0.5800000000000001	0.7	0.65	0.5800000000000001	0.6	0.69	0.56	0.62	0.6	0.54	0.52	0.5800000000000001	0.55	0.63	0.53	0.6599999999999999	0.6599999999999999	0.56	0.6599999999999999	0.45999999999999996	0.54	0.33999999999999997
