	LowLevel Lead Exposure Intelligence and Academic Achievement A LongTerm FollowUp Study	The Relationship between Air Lead and Blood Lead in Children A Critical Review	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter The New England	Strategic Plan for Elimination of Childhood Lead Poisoning	Preventing Lead Poisoning in Young Children	IQ and Blood Lead from 2 to 7 Years of Age Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2yearolds Environmental Health Perspectives 113	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry	Lead Exposure and the Motor Development Status of Urban Sixyearold Children in the Cincinnati Prospective Study	Low Level Lead Exposure in the Prenatal and Early Preschool Periods Intelligence Prior to School Entry	How Much Does IQ Raise Earnings Implications for Regulatory Impact Analyses	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels	Reduction in Fine Particulate Air Pollution and Mortality	LowLevel Environmental Lead Exposure and Childrenâ€™s Intellectual Function An International Pooled Analysis	The LongTerm Effects of Exposure to Low Doses of Lead in Children	Environmental Lead and Childrenâ€™s Intelligence A Systematic Review of the Epidemiological Evidence	Lung Cancer Cardiopulmonary Mortality and LongTerm Exposure to Fine Particulate Air Pollution	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children Neurotoxicology and Teratology	Blood lead levels and death from all causes cardiovascular disease and cancer results from the NHANES III Mortality Study Environ Health Perspect doi101289ehp9123	Lowlevel Lead Exposure and Childrenâ€™s IQ A MetaAnalysis and Search for a Threshold	Societal Benefits of Reducing Lead Exposure	The Relationship between Gasoline Lead and Blood Lead in the United States	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 1113 years the Port Pirie Cohort Study	Environmental Protection Agency	Available at httpwwwepagovttnnaaqsstandardspbspbprfrhtml US Environmental Protection Agency	Environmental Protection Agency 2006a Air Quality Criteria for Lead	Environmental Protection Agency 2006b Economic Analysis for the Renovation Repair and Painting Program Proposed Rule Office of Pollution Prevention and Toxics	Environmental Protection Agency 2006c Final Regulatory Impact Analysis	Environmental Protection Agency 2007c Review of the National Ambient Air Quality Standards for Lead Policy Assessment	Environmental Protection Agency 2007d Letter from Rogene Henderson Chair of the Clean Air Scientific Advisory Committee CASAC to	Environmental Protection Agency 2008a Final Ozone NAAQS Regulatory Impact Analysis Office of Air and Radiation Research Triangle Park	Environmental Protection Agency 2008b Proposed National Ambient Air Quality Standards for Lead Office of Air and Radiation	Environmental Protection Agency 2008c Economic Analysis for the TSCA Lead Renovation Repair and Painting Program Final Rule for Target Housing and ChildOccupied Facilities Economic and Policy Analysis Branch Economics Exposure and Technology Division Office of Pollution Prevention and Toxics	The Yugoslavia Prospective Lead Industry Study Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence	Population by Single Year of Age CD	World Health Organization
Economic Analysis for the Renovation Repair and Painting Program Proposed Rule	0.7906976744186046	0.8333333333333334	0.7889908256880734	0.717948717948718	0.782051282051282	0.7701149425287356	0.7751479289940828	0.7207207207207207	0.7450980392156863	0.8333333333333334	0.7948717948717948	0.7948717948717948	0.7685185185185185	0.8461538461538461	0.8	0.8172043010752689	0.7978723404255319	0.7737226277372263	0.7901234567901234	0.8214285714285714	0.7051282051282052	0.7948717948717948	0.7747747747747747	0.8076923076923077	0.8461538461538461	0.782051282051282	0.5063291139240507	0.8076923076923077	0.7350427350427351	0.75	0.7218045112781954	0.7540983606557377	0.7397260273972602	0.7377049180327869	0.7948717948717948	0.8205128205128205
Final Ozone NAAQS Regulatory Impact Analysis 	0.8255813953488372	0.8076923076923077	0.8532110091743119	0.8275862068965517	0.9111111111111111	0.8505747126436781	0.8520710059171598	0.8108108108108109	0.8235294117647058	0.6133333333333333	0.8285714285714286	0.8070175438596491	0.7685185185185185	0.8461538461538461	0.81	0.8064516129032258	0.8191489361702128	0.8540145985401459	0.8641975308641975	0.7976190476190477	0.7777777777777778	0.8243243243243243	0.8378378378378378	0.8222222222222222	0.8351648351648352	0.7910447761194029	0.8354430379746836	0.5	0.7777777777777778	0.8203125	0.6616541353383458	0.7950819672131147	0.8801369863013698	0.8524590163934426	0.7777777777777778	0.8
Final Regulatory Impact Analysis PM 25 NAAQS	0.813953488372093	0.8461538461538461	0.8532110091743119	0.8103448275862069	0.9318181818181818	0.8850574712643678	0.863905325443787	0.8468468468468469	0.8137254901960784	0.7733333333333333	0.8142857142857143	0.8245614035087719	0.8055555555555556	0.8307692307692308	0.82	0.8064516129032258	0.8617021276595744	0.8759124087591241	0.8641975308641975	0.7619047619047619	0.8636363636363636	0.8243243243243243	0.8198198198198198	0.8636363636363636	0.8241758241758241	0.7611940298507462	0.8544303797468354	0.7142857142857143	0.8034188034188035	0.8359375	0.7368421052631579	0.8114754098360656	0.8938356164383562	0.860655737704918	0.8181818181818182	0.8181818181818182
PM 25 NAAQS	0.9418604651162791	0.9487179487179487	0.9724770642201835	0.9482758620689655	0.9302325581395349	0.9712643678160919	0.9704142011834319	0.963963963963964	0.9607843137254902	0.9466666666666667	0.9714285714285714	0.9473684210526315	0.9629629629629629	0.9692307692307692	0.96	0.956989247311828	0.9787234042553191	0.9708029197080292	0.9691358024691358	0.9404761904761905	0.9534883720930233	0.9594594594594594	0.963963963963964	0.9354838709677419	0.967032967032967	0.9253731343283582	0.9683544303797469	0.9285714285714286	0.9230769230769231	0.9453125	0.9323308270676691	0.9262295081967213	0.9794520547945206	0.9672131147540983	0.8857142857142857	0.92
Regulatory Impact Analysis of the Clean Air Mercury Rule	0.7674418604651163	0.7307692307692307	0.7431192660550459	0.8620689655172413	0.8214285714285714	0.8160919540229885	0.834319526627219	0.7657657657657657	0.7647058823529411	0.7733333333333333	0.7857142857142857	0.8245614035087719	0.7962962962962963	0.7692307692307693	0.79	0.7741935483870968	0.7978723404255319	0.7883211678832117	0.8209876543209876	0.7619047619047619	0.7678571428571429	0.7297297297297297	0.7927927927927928	0.75	0.7912087912087912	0.8059701492537313	0.7721518987341772	0.8428571428571429	0.7692307692307693	0.7265625	0.6917293233082706	0.7950819672131147	0.863013698630137	0.7622950819672131	0.75	0.8035714285714286
The Relationship Between Air Lead and Blood Lead in Children A Critical Review	0.7906976744186046	0.01282051282051282	0.7064220183486238	0.7564102564102564	0.717948717948718	0.7586206896551724	0.757396449704142	0.7207207207207207	0.7058823529411765	0.8333333333333334	0.717948717948718	0.7307692307692307	0.7592592592592593	0.7307692307692307	0.77	0.7849462365591398	0.6914893617021277	0.7007299270072993	0.7777777777777778	0.8452380952380952	0.782051282051282	0.34615384615384615	0.7567567567567568	0.8333333333333334	0.8131868131868132	0.8076923076923077	0.7721518987341772	0.8333333333333334	0.7863247863247863	0.75	0.7819548872180451	0.7540983606557377	0.8321917808219178	0.7049180327868853	0.7564102564102564	0.8461538461538461
The Relationship between Gasoline Lead and Blood Lead in the United States	0.8023255813953488	0.3333333333333333	0.7247706422018348	0.7702702702702703	0.7297297297297297	0.7528735632183908	0.7337278106508875	0.7207207207207207	0.7450980392156863	0.8	0.7972972972972973	0.7432432432432432	0.7685185185185185	0.7027027027027027	0.75	0.7849462365591398	0.7446808510638298	0.7664233576642335	0.7716049382716049	0.8214285714285714	0.7837837837837838	0.0	0.7387387387387387	0.8243243243243243	0.8351648351648352	0.8378378378378378	0.7721518987341772	0.8783783783783784	0.7606837606837606	0.75	0.7819548872180451	0.7131147540983607	0.8424657534246576	0.7131147540983607	0.7432432432432432	0.8513513513513513
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.8064516129032258	0.7849462365591398	0.7614678899082569	0.7634408602150538	0.8064516129032258	0.7988505747126436	0.6923076923076923	0.7927927927927928	0.7647058823529411	0.8172043010752689	0.8387096774193549	0.7311827956989247	0.7962962962962963	0.7204301075268817	0.83	0.010752688172043012	0.7872340425531915	0.7591240875912408	0.7716049382716049	0.8279569892473119	0.8064516129032258	0.7849462365591398	0.7657657657657657	0.8172043010752689	0.8494623655913979	0.7634408602150538	0.7468354430379747	0.7849462365591398	0.8034188034188035	0.7734375	0.7744360902255639	0.7622950819672131	0.8013698630136986	0.7622950819672131	0.7956989247311828	0.8387096774193549
Low Level Lead Exposure in the Prenatal and Early Preschool Periods Intelligence Prior to School Entry	0.5784313725490197	0.7058823529411765	0.7706422018348624	0.7647058823529411	0.7843137254901961	0.7528735632183908	0.6331360946745562	0.7297297297297297	0.0	0.7745098039215687	0.803921568627451	0.7254901960784313	0.6759259259259259	0.7745098039215687	0.8235294117647058	0.7647058823529411	0.8333333333333334	0.7445255474452555	0.7530864197530864	0.5784313725490197	0.8137254901960784	0.7450980392156863	0.6666666666666666	0.803921568627451	0.7745098039215687	0.7843137254901961	0.7468354430379747	0.803921568627451	0.8290598290598291	0.796875	0.7894736842105263	0.7950819672131147	0.8013698630136986	0.7622950819672131	0.8235294117647058	0.8431372549019608
Blood lead levels and death from all causes cardiovascular disease and cancer results from the NHANES III Mortality Study	0.7272727272727273	0.7768595041322314	0.8099173553719008	0.8181818181818182	0.8347107438016529	0.7413793103448276	0.7633136094674556	0.7272727272727273	0.768595041322314	0.7520661157024794	0.7933884297520661	0.7355371900826446	0.8099173553719008	0.7851239669421488	0.768595041322314	0.7851239669421488	0.7851239669421488	0.8029197080291971	0.25308641975308643	0.7603305785123967	0.8264462809917356	0.743801652892562	0.7520661157024794	0.8677685950413223	0.8016528925619835	0.7768595041322314	0.759493670886076	0.8016528925619835	0.8512396694214877	0.8359375	0.8195488721804511	0.8114754098360656	0.7945205479452054	0.8442622950819673	0.8512396694214877	0.8760330578512396
LowLevel Lead Exposure intelligence and academic achievement a longterm followup study	0.10465116279069768	0.8023255813953488	0.7798165137614679	0.7790697674418605	0.7906976744186046	0.7758620689655172	0.7337278106508875	0.7297297297297297	0.5588235294117647	0.8023255813953488	0.813953488372093	0.7674418604651163	0.6574074074074074	0.8372093023255814	0.65	0.7849462365591398	0.8404255319148937	0.7445255474452555	0.7716049382716049	0.6395348837209303	0.7674418604651163	0.7790697674418605	0.6846846846846847	0.8255813953488372	0.8461538461538461	0.7558139534883721	0.7911392405063291	0.8023255813953488	0.7863247863247863	0.78125	0.7894736842105263	0.7950819672131147	0.8287671232876712	0.7786885245901639	0.813953488372093	0.8372093023255814
LowLevel Environmental Lead Exposure and ChildrenÕs Intellectual Function An International Pooled Analysis	0.6509433962264151	0.7547169811320755	0.8073394495412844	0.8018867924528302	0.7641509433962265	0.7241379310344828	0.6863905325443787	0.8288288288288288	0.6886792452830188	0.6792452830188679	0.7452830188679245	0.7547169811320755	0.027777777777777776	0.7547169811320755	0.660377358490566	0.8018867924528302	0.7924528301886793	0.7007299270072993	0.7654320987654321	0.5660377358490566	0.7924528301886793	0.7735849056603774	0.6396396396396397	0.7452830188679245	0.8113207547169812	0.6886792452830188	0.7721518987341772	0.6320754716981132	0.7606837606837606	0.78125	0.7593984962406015	0.7786885245901639	0.791095890410959	0.7377049180327869	0.8207547169811321	0.839622641509434
The Yugoslavia Prospective Lead Industry Study Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence	0.7950819672131147	0.7049180327868853	0.8114754098360656	0.7459016393442623	0.7868852459016393	0.7471264367816092	0.6982248520710059	0.8114754098360656	0.7622950819672131	0.7540983606557377	0.7950819672131147	0.7704918032786885	0.7459016393442623	0.7377049180327869	0.7377049180327869	0.7704918032786885	0.7622950819672131	0.7956204379562044	0.7716049382716049	0.7295081967213115	0.7459016393442623	0.7131147540983607	0.8032786885245902	0.8360655737704918	0.8032786885245902	0.7786885245901639	0.7341772151898734	0.7459016393442623	0.7704918032786885	0.8046875	0.7969924812030075	0.7540983606557377	0.7773972602739726	0.0	0.8278688524590164	0.8852459016393442
Lead Exposure and Intelligence in 7YearOld Children the Yugoslavia Prospective Study	0.5930232558139535	0.7976190476190477	0.7981651376146789	0.7619047619047619	0.7619047619047619	0.7183908045977011	0.7869822485207101	0.42342342342342343	0.6862745098039216	0.7976190476190477	0.7738095238095238	0.7380952380952381	0.7222222222222222	0.8452380952380952	0.73	0.8279569892473119	0.7446808510638298	0.7664233576642335	0.7530864197530864	0.75	0.7976190476190477	0.7976190476190477	0.6306306306306306	0.7976190476190477	0.8021978021978022	0.7976190476190477	0.7848101265822784	0.7976190476190477	0.7948717948717948	0.765625	0.8120300751879699	0.7950819672131147	0.821917808219178	0.7622950819672131	0.7857142857142857	0.8214285714285714
Lifetime Exposure to Environmental Lead and ChildrenÕs Intelligence at 1113 years the Port Pirie Cohort Study	0.6788990825688074	0.7522935779816514	0.7981651376146789	0.7798165137614679	0.7981651376146789	0.735632183908046	0.7100591715976331	0.7387387387387387	0.6788990825688074	0.7614678899082569	0.7798165137614679	0.7706422018348624	0.6513761467889908	0.7798165137614679	0.5963302752293578	0.7614678899082569	0.7798165137614679	0.7664233576642335	0.7777777777777778	0.6880733944954128	0.8165137614678899	0.7339449541284404	0.02702702702702703	0.7889908256880734	0.8348623853211009	0.7064220183486238	0.7784810126582279	0.7431192660550459	0.8290598290598291	0.796875	0.8195488721804511	0.8114754098360656	0.791095890410959	0.7950819672131147	0.7981651376146789	0.8715596330275229
Intellectual Impairment in Children with Blood Lead Concentrations below 10 micrograms per Deciliter	0.78	0.69	0.22935779816513763	0.77	0.77	0.6379310344827587	0.7633136094674556	0.8018018018018018	0.7843137254901961	0.76	0.75	0.73	0.7962962962962963	0.76	0.77	0.8	0.79	0.7372262773722628	0.7777777777777778	0.73	0.75	0.73	0.7747747747747747	0.81	0.88	0.78	0.7658227848101266	0.78	0.7948717948717948	0.78125	0.7744360902255639	0.7704918032786885	0.8082191780821918	0.8032786885245902	0.81	0.86
Beyond LOELÕs p Values and Vote Counting Methods for Looking at the Shapes and Strengths of Associations	0.8173076923076923	0.7884615384615384	0.8165137614678899	0.7596153846153846	0.7692307692307693	0.7586206896551724	0.7692307692307693	0.7927927927927928	0.8365384615384616	0.7596153846153846	0.7884615384615384	0.7692307692307693	0.8518518518518519	0.7692307692307693	0.8365384615384616	0.7788461538461539	0.7884615384615384	0.781021897810219	0.7592592592592593	0.7403846153846154	0.8076923076923077	0.7403846153846154	0.8198198198198198	0.8461538461538461	0.8461538461538461	0.8076923076923077	0.7721518987341772	0.7788461538461539	0.8034188034188035	0.7734375	0.7969924812030075	0.7704918032786885	0.797945205479452	0.7786885245901639	0.7884615384615384	0.8365384615384616
Lowlevel Lead Exposure and ChildrenÕs IQ A MetaAnalysis and Search for a Threshold	0.627906976744186	0.8536585365853658	0.7155963302752294	0.8048780487804879	0.7804878048780488	0.7471264367816092	0.7751479289940828	0.7387387387387387	0.5784313725490197	0.8048780487804879	0.8170731707317073	0.7926829268292683	0.5555555555555556	0.7926829268292683	0.72	0.8172043010752689	0.8085106382978723	0.7737226277372263	0.7530864197530864	0.03571428571428571	0.7682926829268293	0.8414634146341463	0.6756756756756757	0.8292682926829268	0.8791208791208791	0.7560975609756098	0.7974683544303798	0.8292682926829268	0.7435897435897436	0.796875	0.7443609022556391	0.7622950819672131	0.8082191780821918	0.7213114754098361	0.7804878048780488	0.8414634146341463
Reduction in Fine Particulate Air Pollution and Mortality	0.7790697674418605	0.7307692307692307	0.7614678899082569	0.7758620689655172	0.7543859649122807	0.8160919540229885	0.7988165680473372	0.7657657657657657	0.7254901960784313	0.7066666666666667	0.8	0.0	0.7592592592592593	0.8153846153846154	0.8	0.7311827956989247	0.7446808510638298	0.7664233576642335	0.8024691358024691	0.7976190476190477	0.7719298245614035	0.7432432432432432	0.7747747747747747	0.7543859649122807	0.8241758241758241	0.8059701492537313	0.7721518987341772	0.8285714285714286	0.717948717948718	0.78125	0.7518796992481203	0.7459016393442623	0.8493150684931506	0.7704918032786885	0.7368421052631579	0.7894736842105263
Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead	0.851063829787234	0.7021276595744681	0.7522935779816514	0.7446808510638298	0.776595744680851	0.7183908045977011	0.7633136094674556	0.7297297297297297	0.8333333333333334	0.7553191489361702	0.6914893617021277	0.7446808510638298	0.7962962962962963	0.723404255319149	0.81	0.7872340425531915	0.0	0.7226277372262774	0.7469135802469136	0.8191489361702128	0.723404255319149	0.7446808510638298	0.7747747747747747	0.8297872340425532	0.8297872340425532	0.776595744680851	0.759493670886076	0.8297872340425532	0.7948717948717948	0.734375	0.7744360902255639	0.8114754098360656	0.8116438356164384	0.7622950819672131	0.8191489361702128	0.8723404255319149
Environmental Lead and ChildrenÕs Intelligence A Systematic Review of the Epidemiological Evidence	0.6326530612244898	0.7653061224489796	0.7155963302752294	0.7551020408163265	0.7653061224489796	0.7586206896551724	0.7455621301775148	0.7927927927927928	0.8235294117647058	0.8061224489795918	0.8061224489795918	0.7959183673469388	0.6481481481481481	0.7653061224489796	0.03	0.8469387755102041	0.8163265306122449	0.7518248175182481	0.7777777777777778	0.7346938775510204	0.7755102040816326	0.7653061224489796	0.5855855855855856	0.7346938775510204	0.826530612244898	0.6836734693877551	0.7215189873417721	0.6836734693877551	0.7094017094017094	0.6953125	0.6917293233082706	0.6885245901639344	0.791095890410959	0.7213114754098361	0.826530612244898	0.8673469387755102
Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children	0.7924528301886793	0.7169811320754716	0.7798165137614679	0.7830188679245284	0.7169811320754716	0.7126436781609196	0.6982248520710059	0.8108108108108109	0.7735849056603774	0.8113207547169812	0.7924528301886793	0.7735849056603774	0.75	0.6698113207547169	0.8018867924528302	0.8113207547169812	0.8018867924528302	0.22627737226277372	0.7777777777777778	0.8113207547169812	0.7735849056603774	0.7358490566037735	0.8018018018018018	0.8490566037735849	0.8018867924528302	0.7924528301886793	0.759493670886076	0.8018867924528302	0.7863247863247863	0.7578125	0.7819548872180451	0.7459016393442623	0.8013698630136986	0.7786885245901639	0.8113207547169812	0.8773584905660378
IQ and Blood Lead from 2 to 7 Years of Age Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2yearolds	0.7720588235294118	0.7794117647058824	0.7867647058823529	0.7647058823529411	0.8308823529411765	0.21839080459770116	0.7633136094674556	0.7205882352941176	0.75	0.7941176470588235	0.7426470588235294	0.8088235294117647	0.75	0.7573529411764706	0.7720588235294118	0.7941176470588235	0.7279411764705882	0.7956204379562044	0.7407407407407407	0.7352941176470589	0.8088235294117647	0.7352941176470589	0.7573529411764706	0.8602941176470589	0.8014705882352942	0.7647058823529411	0.7784810126582279	0.7720588235294118	0.7720588235294118	0.7867647058823529	0.8235294117647058	0.7647058823529411	0.7636986301369864	0.7720588235294118	0.8455882352941176	0.8676470588235294
Effect of Smelter Emissions Reductions on Childrens Blood Levels	0.8023255813953488	0.6923076923076923	0.7339449541284404	0.71875	0.703125	0.7873563218390804	0.8165680473372781	0.7477477477477478	0.7941176470588235	0.72	0.08571428571428572	0.796875	0.7407407407407407	0.8461538461538461	0.79	0.8172043010752689	0.6808510638297872	0.7299270072992701	0.8209876543209876	0.7976190476190477	0.6875	0.7702702702702703	0.7837837837837838	0.75	0.8021978021978022	0.8208955223880597	0.7721518987341772	0.8142857142857143	0.7692307692307693	0.7734375	0.7894736842105263	0.7950819672131147	0.8424657534246576	0.7950819672131147	0.796875	0.859375
Societal Benefits of Reducing Lead Exposure	0.7674418604651163	0.7948717948717948	0.7798165137614679	0.6896551724137931	0.8372093023255814	0.8333333333333334	0.8165680473372781	0.8018018018018018	0.8137254901960784	0.76	0.7142857142857143	0.7719298245614035	0.7962962962962963	0.7384615384615385	0.78	0.8064516129032258	0.723404255319149	0.8248175182481752	0.8518518518518519	0.7738095238095238	0.0	0.7837837837837838	0.8198198198198198	0.8372093023255814	0.8241758241758241	0.7761194029850746	0.8164556962025317	0.7428571428571429	0.7777777777777778	0.8125	0.7969924812030075	0.7950819672131147	0.8835616438356164	0.7459016393442623	0.7906976744186046	0.813953488372093
Assessment of Deaths Attributable to Air Pollution Should We Use Risk Estimates Based on Time Series or Cohort Studies	0.7457627118644068	0.7457627118644068	0.7966101694915254	0.8050847457627118	0.8135593220338984	0.7701149425287356	0.7514792899408284	0.7966101694915254	0.7627118644067796	0.7966101694915254	0.7627118644067796	0.7457627118644068	0.8220338983050848	0.7711864406779662	0.7542372881355932	0.7796610169491526	0.7966101694915254	0.8029197080291971	0.7839506172839507	0.7627118644067796	0.8305084745762712	0.7457627118644068	0.7288135593220338	0.864406779661017	0.8135593220338984	0.7627118644067796	0.7468354430379747	0.8050847457627118	0.847457627118644	0.7890625	0.7969924812030075	0.7950819672131147	0.791095890410959	0.8360655737704918	0.8389830508474576	0.8898305084745762
The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry	0.7159763313609467	0.757396449704142	0.7514792899408284	0.8047337278106509	0.834319526627219	0.8160919540229885	0.0	0.7041420118343196	0.6331360946745562	0.8165680473372781	0.8106508875739645	0.7988165680473372	0.6863905325443787	0.7751479289940828	0.7455621301775148	0.6982248520710059	0.7633136094674556	0.6804733727810651	0.8402366863905325	0.7751479289940828	0.8165680473372781	0.7337278106508875	0.7100591715976331	0.863905325443787	0.7988165680473372	0.7869822485207101	0.8106508875739645	0.7988165680473372	0.7337278106508875	0.7337278106508875	0.7337278106508875	0.7455621301775148	0.7534246575342466	0.6982248520710059	0.8757396449704142	0.893491124260355
The LongTerm Effects of Exposure to Low Doses of Lead in Children  Reply	0.7790697674418605	0.6794871794871795	0.7522935779816514	0.7777777777777778	0.75	0.764367816091954	0.757396449704142	0.7477477477477478	0.7549019607843137	0.84	0.8055555555555556	0.8194444444444444	0.7407407407407407	0.09722222222222222	0.79	0.7634408602150538	0.7127659574468085	0.708029197080292	0.7839506172839507	0.7857142857142857	0.7638888888888888	0.7162162162162162	0.7837837837837838	0.7916666666666666	0.8461538461538461	0.8055555555555556	0.7974683544303798	0.8472222222222222	0.7777777777777778	0.765625	0.7819548872180451	0.7540983606557377	0.8527397260273972	0.7131147540983607	0.8194444444444444	0.875
