ria,cite,jac,jac_match,jac_check,lev,lev_match,lev_check,partial,partial_match,partial_check,sor,sor_match,sor_chck,source,type
2060-AO79,Promoting ‚ÄòGreen‚Äô Consumer Behavior with Eco Labels‚Äù,0.225806452,Promoting ‘Green’ Consumer Behavior with Eco Labels,1,0.155172414,Promoting ‘Green’ Consumer Behavior with Eco Labels,1,0.12,Promoting ‘Green’ Consumer Behavior with Eco Labels,1,0.127272727,Promoting ‘Green’ Consumer Behavior with Eco Labels,1,pc
1210-AB13,Sec 2550401c‚Äì1 also issued under 29 USC 1101 Sec 2550404c‚Äì1 also issued under 29 USC 1104 Sec 2550407c‚Äì3 also issued under 29 USC 1107 Sec 2550404a‚Äì2 also issued under 26 USC 401 note sec 657 Pub L 107‚Äì16 115 Stat 38 Sec 2550408b‚Äì1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No 4 of 1978 3 CFR 1978 Comp p 332 effective Dec 31 1978 44 FR,0.422222222,Recent Changes in US Family Finances Evidence from the 2001 and 2004 Survey of Consumer Finances,0,0.854054054,Recent Changes in US Family Finances Evidence from the 2001 and 2004 Survey of Consumer Finances,0,0.55,The Role of Company Stock in Defined Contribution Plans,0,0.267605634,Recent Changes in US Family Finances Evidence from the 2001 and 2004 Survey of Consumer Finances,0,pc
2060-AO47,Preliminary extinction budget results from the RESOLVE program,0.258064516,Effects of Environmental Regulations on Manufacturing Plant Births Evidence from a Propensity Score Matching Estimator,0,0.716049383,Environmental Regulation and Labor Demand Evidence from the South Coast Air Basin,0,0.55,Environmental Regulation and Labor Demand Evidence from the South Coast Air Basin,0,0.148148148,Effects of Environmental Regulations on Manufacturing Plant Births Evidence from a Propensity Score Matching Estimator,0,pc
2060-AO38,Global Trade and Fuels Assessment ‚Äì Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector Task Order No 1 Draft Report prepared for the US Environmental Protection Agency,0.19047619,Global Trade and Fuels Assessment – Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector Task Order No 1 Draft Report,1,0.272277228,Global Trade and Fuels Assessment – Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector Task Order No 1 Draft Report,1,0.03,Global Trade and Fuels Assessment – Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector Task Order No 1 Draft Report,1,0.105263158,Global Trade and Fuels Assessment – Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector Task Order No 1 Draft Report,1,pc
2060-AP50,EIA Annual Coal Report 2008 DOEEIA0584 2008 Available at,0.36,Annual Coal Report 2008,1,0.589285714,Annual Coal Report 2008,1,0,Annual Coal Report 2008,1,0.219512195,Annual Coal Report 2008,1,pc
0938-AP15,Cluster headache syndrome unspecified ,0.416666667,Table of Small Business Size Standards,0,0.815789474,IPPS Market Basket Increase,0,0.56,Section 7,0,0.263157895,Table of Small Business Size Standards,0,pc
0938-AP15,Penis procedures w CCMMCC ,0.545454545,Congressional Review Act,0,0.788461538,Section 202 of Unfunded Manadates Reform Act of 1995,0,0.6,Federalism,0,0.375,Congressional Review Act,0,pc
2060-AO38,Emissions Estimation Methodology for OceanGoing Vessels Docket ID,0.12,Emissions Estimation Methodology for OceanGoing Vessels,1,0.153846154,Emissions Estimation Methodology for OceanGoing Vessels,1,0,Emissions Estimation Methodology for OceanGoing Vessels,1,0.063829787,Emissions Estimation Methodology for OceanGoing Vessels,1,pc
2060-AO47,The Fate Transport and Ecological Impacts of Airborne Contaminants in Western National Parks USA EPA600R07138 US Environmental Protection Agency Office of Research and Development NHEERL Western Ecology Division,0.391304348,The Impacts of Environmental Regulations on Industrial Activity Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,0,0.753554502,The Impacts of Environmental Regulations on Industrial Activity Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,0,0.45,Environmental  Industries Fact Sheet,0,0.243243243,The Impacts of Environmental Regulations on Industrial Activity Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,0,pc
2060-AO15,US and Canadian Portland Cement Industry Plant Information Summary,0,US and Canadian Portland Cement Industry Plant Information Summary,1,0,US and Canadian Portland Cement Industry Plant Information Summary,1,0,US and Canadian Portland Cement Industry Plant Information Summary,1,0,US and Canadian Portland Cement Industry Plant Information Summary,1,pc,Non-Government Report
2060-AO38,Marine Emission Inventory Study Eastern Canada and Great Lakes ‚Äì Interim Report 4 Gridding Results prepared for Transportation Development Centre Transport Canada,0.205882353,Marine Emission Inventory Study Eastern Canada and Great Lakes – Interim Report 4 Gridding Results,1,0.408536585,Marine Emission Inventory Study Eastern Canada and Great Lakes – Interim Report 4 Gridding Results,1,0.04,Marine Emission Inventory Study Eastern Canada and Great Lakes – Interim Report 4 Gridding Results,1,0.114754098,Marine Emission Inventory Study Eastern Canada and Great Lakes – Interim Report 4 Gridding Results,1,pc,
1904-AC07,Benefits for both the 3 and 7 cases are derived using the SCC value calculated at a 3 discount rate which is 223ton in,0.4,2006 Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State Local and Tribal Entities,0,0.759689922,2006 Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State Local and Tribal Entities,0,0.57,2006 Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State Local and Tribal Entities,0,0.25,2006 Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State Local and Tribal Entities,0,pc,
0938-AP15,Other myeloprolif dis or poorly diff neopl diag w MMCC ,0.48,Congressional Review Act,0,0.8,Section 1102b of Social Security Act,0,0.6,Federalism,0,0.315789474,Congressional Review Act,0,pc,
2060-AO47,Does air quality matter evidence form the housing market‚Äù,0.40625,Effects of Environmental Regulations on Manufacturing Plant Births Evidence from a Propensity Score Matching Estimator,0,0.641975309,Environmental Regulation and Labor Demand Evidence from the South Coast Air Basin,0,0.48,Environmental Regulation and Labor Demand Evidence from the South Coast Air Basin,0,0.254901961,Effects of Environmental Regulations on Manufacturing Plant Births Evidence from a Propensity Score Matching Estimator,0,pc,
0938-AP77,enrollee communication materials Current enrollee 57 The authority citation for part 423 continues to read as follows Authority Secs 1102 1860D‚Äì1 through 1860D‚Äì42 and 1871 of the Social Security Act 42 USC 1302 1395w‚Äì101 through 1395w‚Äì152 and 1395hh Subpart B‚ÄîEligibility and Enrollment 58 Section 42334 is revised to read as follows ¬ß 42334 Enrollment of lowincome subsidy eligible individuals a General rule CMS must ensure the enrollment into Part D plans of lowincome subsidy eligible individuals who fail to enroll in a Part D plan b Definitions Fullbenefit dualeligible individual For purposes of this section a fullbenefit dual eligible individual means an individual who is‚Äî 1 Determined eligible by the State for‚Äî i Medical assistance for fullbenefits under Title XIX of the Act for the month c Reassigning lowincome subsidyeligible individuals Notwithstanding ¬ß 42332e of this subpart during the annual coordinated election period CMS may reassign certain lowincome subsidyeligible individuals in another PDP if CMS determines that the further enrollment is warranted d Enrollment rules 1 General rule Except for lowincome subsidy eligible individuals Medicare Part D at a later time if they choose to do so iii All other lowincome subsidy eligible beneficiaries who are qualified covered retirees are not enrolled by CMS into PDPs e Declining enrollment and disenrollment Nothing in this section prevents a lowincome subsidy eligible individual from‚Äî 1 Affirmatively declining enrollment in Part D or 2 Disenrolling from the Part D plan in which the individual is enrolled and electing to enroll in another Part D plan during the special enrollment period provided under ¬ß 42338 f Effective date of enrollment for fullbenefit dual eligible individuals,0.660714286,Statistics for hourly wages for management analysts,0,0.971364402,Statistics for hourly wages for management analysts,0,0.61,Statistics for hourly wages for management analysts,0,0.493333333,Statistics for hourly wages for management analysts,0,pc,
1218-AC01,Signals Appendix C to Subpart CC,0.428571429,Crane Study Confirms Downward Trend Underlines Importance of Training,0,0.65625,29 CFR 1926550a18 of Subpart N,0,0.5,29 CFR part 1918,0,0.272727273,Crane Study Confirms Downward Trend Underlines Importance of Training,0,pc,
1215-AB35,FMLA‚Äôs legislative history explains that FMLA is ‚Äò‚Äònot intended to modify or affect the Rehabilitation Act of 1973 as amended the regulations concerning employment which have been 1250 hours of employment See ¬ß 825110b2i and 110c2 h For further information on Federal antidiscrimination laws including Title VII and the ADA individuals are encouraged to contact the nearest office of the US Equal Employment Opportunity Commission Subpart H‚ÄîDefinitions ¬ß 825800 Definitions,0.456140351,Number of Firms Establishments Employment Payrolls Annual Revenue and Profits That Title 1 of the FMLA Applies to By Industry 2005,0,0.832298137,Number of Firms Establishments Employment Payrolls Annual Revenue and Profits That Title 1 of the FMLA Applies to By Industry 2005,0,0.37,October 2007 Employment Report,0,0.295454545,Number of Firms Establishments Employment Payrolls Annual Revenue and Profits That Title 1 of the FMLA Applies to By Industry 2005,0,pc,
0938-AP15,Laparoscopic cholecystectomy wo cde,0.52173913,Congressional Review Act,0,0.8,Congressional Review Act,0,0.45,Section 7,0,0.352941176,Congressional Review Act,0,pc,
2060-AO47,Regulatory Impact Analysis,0.272727273,Effects of Air Quality Regulation,0,0.75862069,Effects of Air Quality Regulations on Polluting Industries,0,0.47,Improving Regulation and Regulatory Review  Section 1General Principles of Regulation,0,0.157894737,Effects of Air Quality Regulation,0,pc,
2060-AO81,California Biomass and Biofuels Production Potential,0,California Biomass and Biofuels Production Potential,1,0,California Biomass and Biofuels Production Potential,1,0,California Biomass and Biofuels Production Potential,1,0,California Biomass and Biofuels Production Potential,1,pc,Government Report
1625-AA32,Value of lost fishing opportunities and indirect impacts if sea lamprey is not controlled in the Great Lakes  500000000,0.259259259,Ballastmediated animal introductions in the Laurentian Great Lakes retrospective and prospective analyses,0,0.663865546,Economic Impacts of Aquatic Nuisance Species in the Great Lakes,0,0.33,Economics of Ruffe in the Great Lakes,0,0.14893617,Ballastmediated animal introductions in the Laurentian Great Lakes retrospective and prospective analyses,0,pc,
0938-AP15,Appendectomy w complicated principal diag wo CC MMCC,0.363636364,Congressional Review Act,0,0.75,Regulatory Flexibility Act of 1980,0,0.45,Section 7,0,0.222222222,Congressional Review Act,0,pc,
0910-AG41,under the Federal Cigarette Labeling and Advertising Act the Federal Food Drug and Cosmetic Act and under authority delegated to the Commissioner of Food and Drugs it is Subpart A‚ÄîGeneral Provisions Sec 11411 Scope 11413 Definitions,0.325,The Preventable Causes of Death in the United States Comparative Risk Assessment of Dietary Lifestyle and Metabolic Risk Factors ,0,0.722222222,Model to Estimate Costs of Using Labeling as a RiskReduction Strategy for Consumer Products Regulated by the Food and Drug Administration,0,0.41,Report on the Cigarette Advertising Investigation,0,0.194029851,The Preventable Causes of Death in the United States Comparative Risk Assessment of Dietary Lifestyle and Metabolic Risk Factors ,0,pc,
2127-AK29,Environmental Protection Agency MOBILE Motor Vehicle Emission Factor Model version 62,0.35,Teardown Cost Estimates of Automotive Equipment Manufactured to Comply with Motor Vehicle Standard  FMVSS 214D  Side Impact Protection Side Air Bag Features,0,0.72826087,Transportation Sector Module of the National Energy Modeling System Model Documentation 2007,0,0.5,Fuel Economy Labeling of Motor Vehicles Revisions to Improve Calculations of Fuel Economy Estimates ,0,0.212121212,Teardown Cost Estimates of Automotive Equipment Manufactured to Comply with Motor Vehicle Standard  FMVSS 214D  Side Impact Protection Side Air Bag Features,0,pc,
0910-AG41,National Fire Protection Association News Release,0.391304348,Federal Excise Tax Increase and Related Provisions,0,0.673469388,National Income and Product Accounts Table 255,0,0.24,Press Release,0,0.243243243,Federal Excise Tax Increase and Related Provisions,0,pc,
2060-AQ54,LightDuty Automotive Technology Carbon Dioxide emissions and Fuel Economy Trends,0.428571429,DOTNHTSA’s CAFE Compliance and Effects Modeling System,0,0.775,EPA’s Omega Model and input sheets,0,0.62,EPA’s Omega Model and input sheets,0,0.272727273,DOTNHTSA’s CAFE Compliance and Effects Modeling System,0,pc,
2060-AP58,The ‚ÄòNew‚Äô View of Investment Decisions and Public Policy Analysis An Application to Green Lights and Cold Refrigerators‚Äô‚Äô,0.108108108,The New View of Investment Decisions and Public Policy Analysis An Application to Green Lights and Cold Refrigerators,1,0.093023256,The ‘New’ View of Investment Decisions and Public Policy Analysis An Application to Green Lights and Cold Refrigerators,1,0.04,The New View of Investment Decisions and Public Policy Analysis An Application to Green Lights and Cold Refrigerators,1,0.057142857,The New View of Investment Decisions and Public Policy Analysis An Application to Green Lights and Cold Refrigerators,1,pc,
2060-AN99,Accessed,0.7,Soda Ash,0,0.789473684,MarketsNews Release,0,0.38,Users Manual for the CoBenefits Risk Assessment COBRA Screening Model,0,0.538461538,Soda Ash,0,pc,
1219-AB64,Estimating the Value of Safety with Labor Market Data Are the Results Trustworthy‚Äù Applied Economics,0.176470588,Estimating the Value of Safety with Labor Market Data Are the Results Trustworthy,1,0.205882353,Estimating the Value of Safety with Labor Market Data Are the Results Trustworthy,1,0,Estimating the Value of Safety with Labor Market Data Are the Results Trustworthy,1,0.096774194,Estimating the Value of Safety with Labor Market Data Are the Results Trustworthy,1,pc,
2060-AO81,Contributions of Toluene and pinene to SOA Formed in an Irradiated ToluenepineneNOxAir Mixture Comparison of Results Using 14C Content and SOA Organic Tracer Methods,0.181818182,Contributions of toluene and alphapinene to SOA formed in an irradiated toluenealphapineneNOxair mixture Comparison of results using C14 content and SOA organic tracer methods,1,0.137142857,Contributions of toluene and alphapinene to SOA formed in an irradiated toluenealphapineneNOxair mixture Comparison of results using C14 content and SOA organic tracer methods,1,0.14,Contributions of toluene and alphapinene to SOA formed in an irradiated toluenealphapineneNOxair mixture Comparison of results using C14 content and SOA organic tracer methods,1,0.1,Contributions of toluene and alphapinene to SOA formed in an irradiated toluenealphapineneNOxair mixture Comparison of results using C14 content and SOA organic tracer methods,1,pc,
0596-AC74,23 Sources Colorado Mineral and Energy Industry Activities,0.379310345,Social and Economics Specialist Report Proposed Roadless Area Conservation Rule for Colorado,0,0.75257732,Managing the Impacts of Wildland fires on Communities and the Environment  The National Fire Plan,0,0.57,Job Generation in the Colorado Mountain Resort Economy ,0,0.234042553,Social and Economics Specialist Report Proposed Roadless Area Conservation Rule for Colorado,0,pc,
0938-AP15,Skin graft or debrid for skn ulcer or cellulitis w MMCC ,0.4,Table of Small Business Size Standards,0,0.75,Section 1102b of Social Security Act,0,0.56,Section 7,0,0.25,Table of Small Business Size Standards,0,pc,
2050-AG46,Risk Analysis to Support Revisions to Underground Storage Tank UST Regulations‚Äù,0.12,Risk Analysis to Support Revisions to Underground Storage Tank UST Regulations,1,0.037037037,Risk Analysis to Support Revisions to Underground Storage Tank UST Regulations,1,0,Risk Analysis to Support Revisions to Underground Storage Tank UST Regulations,1,0.063829787,Risk Analysis to Support Revisions to Underground Storage Tank UST Regulations,1,pc,
0938-AP15,Subacute monocytic leukemia in relapse ,0.391304348,Table of Small Business Size Standards,0,0.692307692,IPPS Market Basket Increase,0,0.56,Section 7,0,0.243243243,Table of Small Business Size Standards,0,pc,
2040-AE95,Food Beverage and Tobacco Trends Available at httpwwwplunkettresearchcomIndustriesFoodBeverageTobaccoFoodBeverageTobaccoTrendstabid249Defa ultaspx Pponlinecom,0.333333333,The Facts About Oil Industry Mergers Market Power and Fuel Prices An API Primer,0,0.778481013,Potential Challenges Faced by the US Chemicals Industry Under a Carbon Policy,0,0,Food Beverage and Tobacco Trends,1,0.2,The Facts About Oil Industry Mergers Market Power and Fuel Prices An API Primer,0,pc,
0910-AG41,Certain material entitled ‚Äò‚ÄòCigarette Required Warnings‚ÄîEnglish and Spanish‚Äô‚Äô edition 10,0.457142857,Cigarette use Among High School StudentsUnited States 19912009,0,0.693877551,Report on the Cigarette Advertising Investigation,0,0.4,Cigarette Report for 2006,0,0.296296296,Cigarette use Among High School StudentsUnited States 19912009,0,pc,
1904-AB70,Arizona Public Service Energy Efficient Market Potential Study,0,Arizona Public Service Energy Efficient Market Potential Study,1,0,Arizona Public Service Energy Efficient Market Potential Study,1,0,Arizona Public Service Energy Efficient Market Potential Study,1,0,Arizona Public Service Energy Efficient Market Potential Study,1,pc,Non-Government Report
2050-AG46,Benzene toxicity and risk assessment 19721992 implications for future regulation‚Äù Environ Health Perspect,0.235294118,Benzene toxicity and risk assessment 19721992 implications for future regulation,1,0.252336449,Benzene toxicity and risk assessment 19721992 implications for future regulation,1,0,Benzene toxicity and risk assessment 19721992 implications for future regulation,1,0.133333333,Benzene toxicity and risk assessment 19721992 implications for future regulation,1,pc,
0910-AG56,National Automatic Merchandising Association ‚ÄúComments of The National Automatic Merchandising Association‚Äù Docket No,0.214285714,Comments of The National Automatic Merchandising Association,1,0.504132231,Comments of The National Automatic Merchandising Association,1,0,Comments of The National Automatic Merchandising Association,1,0.12,Comments of The National Automatic Merchandising Association,1,pc,
2060-AP50,Underwater Bay Grasses Available on the Internet at  httpwwwchesapeakebaynetbaygrassesaspx Last accessed,0.3125,Global Insight US State Metropolitan Area and Countylevel Forecasting Services ,0,0.740384615,Regulatory Impact Analysis for the Final Clean Air Interstate Rule,0,0,Underwater Bay Grasses,1,0.185185185,Global Insight US State Metropolitan Area and Countylevel Forecasting Services ,0,pc,
2060-AO47,Fine Particulate Air Pollution and Hospital Admission for Cardiovascular and Respiratory Diseases‚Äù,0.375,A Guide to Economic and Policy Analysis for the  Transport Rule,0,0.69,A Guide to Economic and Policy Analysis for the  Transport Rule,0,0.55,Environmental Protection the Economy  and Jobs National and Regional Analyses,0,0.230769231,A Guide to Economic and Policy Analysis for the  Transport Rule,0,pc,
2060-AO81,Acute lung function responses to ambient acid aerosol exposures in children,0,Acute lung function responses to ambient acid aerosol exposures in children,1,0,Acute lung function responses to ambient acid aerosol exposures in children,1,0,Acute lung function responses to ambient acid aerosol exposures in children,1,0,Acute lung function responses to ambient acid aerosol exposures in children,1,pc,Scholarly Journal
0583-AC60,Survey years 1994‚Äì1996,0.7,Food Safety Efforts Accelerate in the 1990’s,0,0.795454545,Food Safety Efforts Accelerate in the 1990’s,0,0.63,The Journey towards Retail Meat Case Nutrition Labeling A white paper,0,0.538461538,Food Safety Efforts Accelerate in the 1990’s,0,pc,
2060-AO79,Business Administration SBA 2008c Table of Small Business Size Standards Matched to North American Industry Classification System Codes Effective,0.368421053,2007 Report on Socially Responsible Investing Trends in the United States Executive Summary,0,0.75862069,Uses of Pollutant Release and Transfer Register Data and Tools for Their Presentation—A Reference Manual,0,0.57,Bulletin Using Design for the Environment Concepts in Your EMS,0,0.225806452,2007 Report on Socially Responsible Investing Trends in the United States Executive Summary,0,pc,
0938-AP15,Pleural effusion w MCC ,0.476190476,Congressional Review Act,0,0.782608696,Section 4410,0,0.56,Section 7,0,0.3125,Congressional Review Act,0,pc,
2060-AP90,Reporting Requirements 1 Read instructions,0.333333333,Deposition and cycling of sulfur controls mercury accumulation in Isle Royal fish ,0,0.642857143,Biosolids Frequently Asked Questions,0,0.48,Medical Waste Incinerator Study Emission Measurement and Continuous Monitoring IIB89,0,0.2,Deposition and cycling of sulfur controls mercury accumulation in Isle Royal fish ,0,pc,
2060-AP50,Agency for Healthcare Research and Quality AHRQ,0.230769231,National Survey of Fishing Hunting and WildlifeAssociated Recreation ,0,0.680851064,Trends in Asthma Morbidity and Mortality,0,0.49,Consultation on EPA’s Particulate Matter National Ambient Air Quality Standards Scope and Methods Plan for Health Risk and Exposure Assessment,0,0.130434783,National Survey of Fishing Hunting and WildlifeAssociated Recreation ,0,pc,
0910-AG56,Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States,0.1875,Will all Americans Become Overweight or Obese Estimating the Progression and Cost of the US Obesity Epidemic,0,0.307017544,Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States Trends 1976–1980 Through 2007–2008,0,0,Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States Trends 1976–1980 Through 2007–2008,0,0.103448276,Will all Americans Become Overweight or Obese Estimating the Progression and Cost of the US Obesity Epidemic,0,pc,
2040-AE95,SubIndustry Outlook Diversified Chemicals,0,SubIndustry Outlook Diversified Chemicals,1,0,SubIndustry Outlook Diversified Chemicals,1,0,SubIndustry Outlook Diversified Chemicals,1,0,SubIndustry Outlook Diversified Chemicals,1,pc,Non-Government Report
2060-AQ58,Information Administration,0.380952381,Integrated Science Assessment for Particulate Matter,0,0.705882353,Industrial Production and Capacity Utilization Industrial Production,0,0.43,Electric Power Generation Transmission and Distribution 2002 EC0222I03,0,0.235294118,Integrated Science Assessment for Particulate Matter,0,pc,
2070-AJ55,Division of Housing and Community Renewal DHCRb,0.35483871,Family Friend and Neighbor Caregivers Results of the 2004 Minnesota statewide household childcare survey,0,0.744680851,Definitions of Construction,0,0.47,Lead Requirements for LeadBased Paint Activities in Target Housing and ChildOccupied Facilities Final Rule,0,0.215686275,Family Friend and Neighbor Caregivers Results of the 2004 Minnesota statewide household childcare survey,0,pc,
0938-AP15,Benign carcinoid tumor of unknown primary site ,0.44,Table of Small Business Size Standards,0,0.744680851,Section 1102b of Social Security Act,0,0.56,Section 7,0,0.282051282,Table of Small Business Size Standards,0,pc,
2070-AJ57,The Economic Dimensions of the Child Care Industry in Indiana an Invisible Industry‚Äù httpwwwingovisdhprogramsmchsunnystartpdfsChildCareReportFindingspdf,0.25,The Economic Dimensions of the Child Care Industry in Indiana an Invisible Industry,1,0.461038961,The Economic Dimensions of the Child Care Industry in Indiana an Invisible Industry,1,0,The Economic Dimensions of the Child Care Industry in Indiana an Invisible Industry,1,0.142857143,The Economic Dimensions of the Child Care Industry in Indiana an Invisible Industry,1,pc,
1625-AA32,In Ships or On Ships Mechanisms of Transfer and Invasion for Nonnative Species to the Coasts or North America Invasive Species Vectors and Management Strategies,0.076923077,In Ships or On Ships Mechanisms of Transfer and Invasion for Nonnative Species to the Coasts or North America,1,0.31875,In Ships or On Ships Mechanisms of Transfer and Invasion for Nonnative Species to the Coasts or North America,1,0,In Ships or On Ships Mechanisms of Transfer and Invasion for Nonnative Species to the Coasts or North America,1,0.04,In Ships or On Ships Mechanisms of Transfer and Invasion for Nonnative Species to the Coasts or North America,1,pc,
0910-AG56,Child and Adolescent FastFood Choice and the Influence of Calorie Labeling,0.185185185,Child and Adolescent FastFood Choice and the Influence of Calorie Labeling A Natural Experiment,1,0.221052632,Child and Adolescent FastFood Choice and the Influence of Calorie Labeling A Natural Experiment,1,0,Child and Adolescent FastFood Choice and the Influence of Calorie Labeling A Natural Experiment,1,0.102040816,Child and Adolescent FastFood Choice and the Influence of Calorie Labeling A Natural Experiment,1,pc,
2060-AO81,Monographs on the evaluation of carcinogenic risk of chemicals to humans Volume 29 Supplement 7 Some industrial chemicals and dyestuffs World Health Organization,0.290322581,Variation in plant response to ozone a conceptual model of physiological events,0,0.590062112,IARC monographs on the evaluation of carcinogenic risk of chemicals to humans,1,0.08,IARC monographs on the evaluation of carcinogenic risk of chemicals to humans,1,0.169811321,Variation in plant response to ozone a conceptual model of physiological events,0,pc,
2127-AK43,Toyota RAV4 SUV,0.64,OnRoad Study of Drivers Use of Rearview Video Systems,0,0.838709677,Monte Carlo Statistical Methods,0,0.67,Monte Carlo Statistical Methods,0,0.470588235,OnRoad Study of Drivers Use of Rearview Video Systems,0,pc,
0938-AP15,or more beds ,0.578947368,Table of Small Business Size Standards,0,0.75,Congressional Review Act,0,0.54,Section 601b of Social Security Amendments of 1983,0,0.407407407,Table of Small Business Size Standards,0,pc,
2502-AI61,Joint Report to the Congress Concerning Reform of the Truth and Lending Act and the Real Estate Settlement Procedures Act,0,Joint Report to the Congress Concerning Reform of the Truth and Lending Act and the Real Estate Settlement Procedures Act,1,0,Joint Report to the Congress Concerning Reform of the Truth and Lending Act and the Real Estate Settlement Procedures Act,1,0,Joint Report to the Congress Concerning Reform of the Truth and Lending Act and the Real Estate Settlement Procedures Act,1,0,Joint Report to the Congress Concerning Reform of the Truth and Lending Act and the Real Estate Settlement Procedures Act,1,pc,Government Report
2060-AP52,Chronic Bronchitis Available on the Internet at,0.346153846,Industry Labor Productivity and Cost Data Tables Annual Percent Changes,0,0.617021277,Chronic Bronchitis,1,0,Chronic Bronchitis,1,0.209302326,Industry Labor Productivity and Cost Data Tables Annual Percent Changes,0,pc,
0910-AG41,The Surgeon General‚Äôs Warnings in Outdoor Cigarette,0.285714286,The Surgeon Generals Warnings in Outdoor Cigarette Advertising Are they Readable,1,0.4125,The Surgeon Generals Warnings in Outdoor Cigarette Advertising Are they Readable,1,0.06,The Surgeon Generals Warnings in Outdoor Cigarette Advertising Are they Readable,1,0.166666667,The Surgeon Generals Warnings in Outdoor Cigarette Advertising Are they Readable,1,pc,
0938-AP15,Acute  subacute endocarditis wo,0.4,Congressional Review Act,0,0.775,Tax Equity and Fiscal Responsibility Act,0,0.56,Section 7,0,0.25,Congressional Review Act,0,pc,
0938-AP15,Cholecystectomy w cde,0.571428571,Congressional Review Act,0,0.761904762,Section 4410,0,0.45,Section 7,0,0.4,Congressional Review Act,0,pc,
2060-AO81,Subchronic toxicity of 4vinylcyclohexene in rats and mice by inhalation,0.043478261,Subchronic toxicity of 4vinylcyclohexene in rats and mice by inhalation exposure,1,0.1125,Subchronic toxicity of 4vinylcyclohexene in rats and mice by inhalation exposure,1,0,Subchronic toxicity of 4vinylcyclohexene in rats and mice by inhalation exposure,1,0.022222222,Subchronic toxicity of 4vinylcyclohexene in rats and mice by inhalation exposure,1,pc,
2070-AJ57,Educational Services Subject Series ‚Äì Estab and Firm Size ReceiptsRevenue Size of Firms for the United States,0.1875,Educational Services Subject Series – Estab and Firm Size ReceiptsRevenue Size of Firms for the United States 2002,1,0.070175439,Educational Services Subject Series – Estab and Firm Size ReceiptsRevenue Size of Firms for the United States 2002,1,0.03,Educational Services Subject Series – Estab and Firm Size ReceiptsRevenue Size of Firms for the United States 2002,1,0.103448276,Educational Services Subject Series – Estab and Firm Size ReceiptsRevenue Size of Firms for the United States 2002,1,pc,
2060-AO81,Effects of organic chemicals in the atmosphere on terrestrial plants,0,Effects of organic chemicals in the atmosphere on the terrestrial plants,1,0.055555556,Effects of organic chemicals in the atmosphere on the terrestrial plants,1,0.06,Effects of organic chemicals in the atmosphere on the terrestrial plants,1,0,Effects of organic chemicals in the atmosphere on the terrestrial plants,1,pc,
2060-AO81,National Ambient Air Quality Standards for Particulate Matter Proposed Rule January 17 2006 Vol71 p 2676 This document is available in Docket EPAHQOAR20050161 This information is available electronically at httpepagovfedrgstrEPAAIR2006JanuaryDay17a177pdf final Integrated Review Plan for secondary NoxSox review Environmental Protection Agency,0.32,Nutrient Fluxes of the MississippiAtchafalaya River Basin and Subbasins for the Period of Record Through 2005 US Geological Survey OpenFile Report 20071080,0,0.772594752,40 CFR Part 63 National Emissions Standards for Hazardous Air Pollutants for Source Categories Gasoline Distribution Bulk Terminals Bulk Plants Pipeline Facilities and Gasoline Dispensing Facilities,0,0.4,House Rule 6559,0,0.19047619,Nutrient Fluxes of the MississippiAtchafalaya River Basin and Subbasins for the Period of Record Through 2005 US Geological Survey OpenFile Report 20071080,0,pc,
2040-AE95,A functional classification system for Marine Protected Areas in the United States National Marine Protected Areas Center,0.083333333,A functional classification system for Marine Protected Areas in the United States,1,0.32231405,A functional classification system for Marine Protected Areas in the United States,1,0,A functional classification system for Marine Protected Areas in the United States,1,0.043478261,A functional classification system for Marine Protected Areas in the United States,1,pc,
0938-AO47,E8‚Äì3211 Filed 2‚Äì21‚Äì08 845 am You may submit comments identified by Docket No FEMA‚ÄìB‚Äì7763 to,0.595238095,Sec 1102 of the Social Security Act 42 USC 1302,0,0.811881188,Sec 1102 of the Social Security Act 42 USC 1302,0,0.62,Deficit Reduction Act,0,0.423728814,Sec 1102 of the Social Security Act 42 USC 1302,0,pc,
0910-AG57,Under the Radar Top 50,0.117647059,Under the Radar Top 50 Independents,1,0.371428571,Under the Radar Top 50 Independents,1,0,Under the Radar Top 50 Independents,1,0.0625,Under the Radar Top 50 Independents,1,pc,
