cite,jac,jac_match,lev,lev_match,partial,partial_match,ria,sor,sor_match,source,type,citeulike
Cardiac Autonomic Function and Incident Coronary Heart Disease A PopulationBased CaseCohort Study The ARIC Study Atherosclerosis Risk in Communities Study,0.2,Does the cardiac autonomic response to postural change predict incident coronary heart disease and mortality The Atherosclerosis Risk in Communities Study,0.35064935064935066,Cardiac autonomic function and incident coronary heart disease A populationbased casecohort study  The ARIC study,0.12,Cardiac autonomic function and incident coronary heart disease A populationbased casecohort study  The ARIC study,2060-AP52,0.11111111111111116,Does the cardiac autonomic response to postural change predict incident coronary heart disease and mortality The Atherosclerosis Risk in Communities Study,pc,,no match
The Washington UniversityEPRI Veterans‘ Cohort Mortality Study Preliminary Results Inhalation Toxicology,0.17647058823529416,The Washington UniversityEPRI Veterans� Cohort Mortality Study Preliminary Results,0.2358490566037736,The Washington UniversityEPRI Veterans� Cohort Mortality Study Preliminary Results,0.040000000000000036,The Washington UniversityEPRI Veterans� Cohort Mortality Study Preliminary Results,2060-AP52,0.09677419354838712,The Washington UniversityEPRI Veterans� Cohort Mortality Study Preliminary Results,pc,,no match
Air Pollution Blood Pressure and Their LongTerm Associations with Mortality Inhalation Toxicology,0.07692307692307687,Air Pollution Blood Pressure and Their LongTerm Associations with Mortality,0.2268041237113402,Air Pollution Blood Pressure and Their LongTerm Associations with Mortality,0.0,Air Pollution Blood Pressure and Their LongTerm Associations with Mortality,2060-AP52,0.040000000000000036,Air Pollution Blood Pressure and Their LongTerm Associations with Mortality,pc,,no match
Traffic Density as a Surrogate Measure of Environmental Exposures in Studies of Air Pollution Health Effects Long Term Mortality in a Cohort of US Veterans,0.0,Traffic Density as a Surrogate Measure of Environmental Exposures in Studies of Air Pollution Health Effects Long Term Mortality in a Cohort of US Veterans,0.0,Traffic Density as a Surrogate Measure of Environmental Exposures in Studies of Air Pollution Health Effects Long Term Mortality in a Cohort of US Veterans,0.0,Traffic Density as a Surrogate Measure of Environmental Exposures in Studies of Air Pollution Health Effects Long Term Mortality in a Cohort of US Veterans,2060-AP52,0.0,Traffic Density as a Surrogate Measure of Environmental Exposures in Studies of Air Pollution Health Effects Long Term Mortality in a Cohort of US Veterans,pc,Scholarly Journal,10.1016/j.atmosenv.2005.09.02
Pfiesteria‘s economic impact on seafood industry sales and recreational fishing,0.16666666666666666,Pfiesteria�s economic impact on seafood industry sales and recreational fishing,0.037037037037037035,Pfiesteria�s economic impact on seafood industry sales and recreational fishing,0.040000000000000036,Pfiesteria�s economic impact on seafood industry sales and recreational fishing,2060-AP52,0.09090909090909094,Pfiesteria�s economic impact on seafood industry sales and recreational fishing,pc,,no match
Willingness to Pay for Gains and Losses in Visibility and Health‖ Land Economics,0.2142857142857143,Willingness to Pay for Gains and Losses in Visibility and Health,0.2195121951219512,Willingness to Pay for Gains and Losses in Visibility and Health,0.0,Willingness to Pay for Gains and Losses in Visibility and Health,2060-AP52,0.12,Willingness to Pay for Gains and Losses in Visibility and Health,pc,,no match
Association of Heart rate Variability with Occupational and Environmental Exposure to Particulate Air Pollution Circulation,0.03448275862068961,Association of Heart rate Variability with Occupational and Environmental Exposure to Particulate Air Pollution,0.0975609756097561,Association of Heart rate Variability with Occupational and Environmental Exposure to Particulate Air Pollution,0.0,Association of Heart rate Variability with Occupational and Environmental Exposure to Particulate Air Pollution,2060-AP52,0.017543859649122858,Association of Heart rate Variability with Occupational and Environmental Exposure to Particulate Air Pollution,pc,,no match
Introduction to visibility Colorado State University,0.20833333333333334,Impact of Carbon Price Policies on US Industry,0.5,Introduction to visibility,0.0,Introduction to visibility,2060-AP52,0.11627906976744184,Impact of Carbon Price Policies on US Industry,pc,,no match
Estimating the Public Health Benefits of Proposed Air Pollution Regulations,0.0,Estimating the Public Health Benefits of Proposed Air Pollution Regulations,0.0,Estimating the Public Health Benefits of Proposed Air Pollution Regulations,0.0,Estimating the Public Health Benefits of Proposed Air Pollution Regulations,2060-AP52,0.0,Estimating the Public Health Benefits of Proposed Air Pollution Regulations,pc,Book ,no match
Estimating the Public Health Benefits of Proposed Air Pollution Regulations,0.0,Estimating the Public Health Benefits of Proposed Air Pollution Regulations,0.0,Estimating the Public Health Benefits of Proposed Air Pollution Regulations,0.0,Estimating the Public Health Benefits of Proposed Air Pollution Regulations,2060-AP52,0.0,Estimating the Public Health Benefits of Proposed Air Pollution Regulations,pc,Book ,no match
Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution National Academies Press,0.0357142857142857,Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution,0.21008403361344535,Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution,0.0,Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution,2060-AP52,0.018181818181818188,Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution,pc,,no match
Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis—Draft Valuation Document Industrial Economics Incorporated IEc Memorandum to Jim DeMocker US Environmental Protection Agency Office of Air and Radiation Office of Policy Analysis and Review,0.0888888888888889,Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis�Draft Valuation Document Industrial Economics Incorporated IEc Memorandum to Jim DeMocker US Environmental Protection Agency Office of Air and Radiation Office of Policy Analysis and Review,0.010526315789473684,Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis�Draft Valuation Document Industrial Economics Incorporated IEc Memorandum to Jim DeMocker US Environmental Protection Agency Office of Air and Radiation Office of Policy Analysis and Review,0.020000000000000014,Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis�Draft Valuation Document Industrial Economics Incorporated IEc Memorandum to Jim DeMocker US Environmental Protection Agency Office of Air and Radiation Office of Policy Analysis and Review,2060-AP52,0.046511627906976716,Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis�Draft Valuation Document Industrial Economics Incorporated IEc Memorandum to Jim DeMocker US Environmental Protection Agency Office of Air and Radiation Office of Policy Analysis and Review,pc,,no match
An Association between Fine Particles and Asthma Emergency Department Visits for Children in Seattle Environmental Health Perspectives,0.06666666666666665,An Association between Fine Particles and Asthma Emergency Department Visits for Children in Seattle,0.2537313432835821,An Association between Fine Particles and Asthma Emergency Department Visits for Children in Seattle,0.0,An Association between Fine Particles and Asthma Emergency Department Visits for Children in Seattle,2060-AP52,0.03448275862068961,An Association between Fine Particles and Asthma Emergency Department Visits for Children in Seattle,pc,,no match
Air Pollution and Exacerbation of Asthma in AfricanAmerican Children in Los Angeles,0.0,Air Pollution and Exacerbation of Asthma in AfricanAmerican Children in Los Angeles,0.0,Air Pollution and Exacerbation of Asthma in AfricanAmerican Children in Los Angeles,0.0,Air Pollution and Exacerbation of Asthma in AfricanAmerican Children in Los Angeles,2060-AP52,0.0,Air Pollution and Exacerbation of Asthma in AfricanAmerican Children in Los Angeles,pc,Scholarly Journal,no match
Air Pollution and Morbidity Revisited A Specification Test,0.0,Air Pollution and Morbidity Revisited A Specification Test,0.0,Air Pollution and Morbidity Revisited A Specification Test,0.0,Air Pollution and Morbidity Revisited A Specification Test,2060-AP52,0.0,Air Pollution and Morbidity Revisited A Specification Test,pc,Scholarly Journal,no match
Air Pollution and Acute Respiratory Morbidity An Observational Study of Multiple Pollutants,0.0,Air Pollution and Acute Respiratory Morbidity An Observational Study of Multiple Pollutants,0.0,Air Pollution and Acute Respiratory Morbidity An Observational Study of Multiple Pollutants,0.0,Air Pollution and Acute Respiratory Morbidity An Observational Study of Multiple Pollutants,2060-AP52,0.0,Air Pollution and Acute Respiratory Morbidity An Observational Study of Multiple Pollutants,pc,Scholarly Journal,no match
Associations between,0.33333333333333337,Associations between ozone and daily mortality analysis and metaanalysis,0.7222222222222222,Associations between ozone and daily mortality analysis and metaanalysis,0.0,Associations between 1980 US Mortality Rates and Alternative Measures of Airborne Particle Concentration,2060-AP52,0.2,Associations between ozone and daily mortality analysis and metaanalysis,pc,,no match
Ambient air pollution and respiratory emergency department visits,0.0,Ambient air pollution and respiratory emergency department visits,0.0,Ambient air pollution and respiratory emergency department visits,0.0,Ambient air pollution and respiratory emergency department visits,2060-AP52,0.0,Ambient air pollution and respiratory emergency department visits,pc,Scholarly Journal,10.1038/jes.2009.4
Increased Particulate Air Pollution and the Triggering of Myocardial Infarction,0.0,Increased Particulate Air Pollution and the Triggering of Myocardial Infarction,0.0,Increased Particulate Air Pollution and the Triggering of Myocardial Infarction,0.0,Increased Particulate Air Pollution and the Triggering of Myocardial Infarction,2060-AP52,0.0,Increased Particulate Air Pollution and the Triggering of Myocardial Infarction,pc,Scholarly Journal,10.1007/s00392-010-0193-
Fish Consumption Patterns and Blood Mercury Levels in Wisconsin Chippewa Indians,0.0,Fish Consumption Patterns and Blood Mercury Levels in Wisconsin Chippewa Indians,0.0,Fish Consumption Patterns and Blood Mercury Levels in Wisconsin Chippewa Indians,0.0,Fish Consumption Patterns and Blood Mercury Levels in Wisconsin Chippewa Indians,2060-AP52,0.0,Fish Consumption Patterns and Blood Mercury Levels in Wisconsin Chippewa Indians,pc,Scholarly Journal,no match
Development and applications of a standard visual index,0.0,Development and applications of a standard visual index,0.0,Development and applications of a standard visual index,0.0,Development and applications of a standard visual index,2060-AP52,0.0,Development and applications of a standard visual index,pc,Scholarly Journal,no match
Daily Time Series for Cardiovascular Hospital Admissions and Previous Day‘s Air Pollution in London UK Occupational and Environmental Medicine,0.2,Daily Time Series for Cardiovascular Hospital Admissions and Previous Day�s Air Pollution in London UK,0.2986111111111111,Daily Time Series for Cardiovascular Hospital Admissions and Previous Day�s Air Pollution in London UK,0.030000000000000027,Daily Time Series for Cardiovascular Hospital Admissions and Previous Day�s Air Pollution in London UK,2060-AP52,0.11111111111111116,Daily Time Series for Cardiovascular Hospital Admissions and Previous Day�s Air Pollution in London UK,pc,,no match
Respiratory Health and PM10 Pollution A Daily Time Series Analysis American Review of Respiratory Diseases,0.1333333333333333,Respiratory Health and PM10 Pollution A Daily Time Series Analysis,0.37735849056603776,Respiratory Health and PM10 Pollution A Daily Time Series Analysis,0.0,Respiratory Health and PM10 Pollution A Daily Time Series Analysis,2060-AP52,0.0714285714285714,Respiratory Health and PM10 Pollution A Daily Time Series Analysis,pc,,no match
Particulate Air Pollution as a Predictor of Mortality in a Prospective Study of US,0.0,Particulate Air Pollution as a Predictor of Mortality in a Prospective Study of US Adults,0.07865168539325842,Particulate Air Pollution as a Predictor of Mortality in a Prospective Study of US Adults,0.0,Particulate Air Pollution as a Predictor of Mortality in a Prospective Study of US Adults,2060-AP52,0.0,Particulate Air Pollution as a Predictor of Mortality in a Prospective Study of US Adults,pc,,10.1056/nejm19931209329240
Fine Particle Air Pollution and Life Expectancy in the United States New England,0.1071428571428571,FineParticulate Air Pollution and Life Expectancy in the United States,0.2,FineParticulate Air Pollution and Life Expectancy in the United States,0.05000000000000005,FineParticulate Air Pollution and Life Expectancy in the United States,2060-AP52,0.05660377358490565,FineParticulate Air Pollution and Life Expectancy in the United States,pc,,10.1056/nejmsa080564
Cardiovascular Mortality and Longterm Exposure to Particulate Air Pollution,0.0,Cardiovascular Mortality and Longterm Exposure to Particulate Air Pollution,0.0,Cardiovascular Mortality and Longterm Exposure to Particulate Air Pollution,0.0,Cardiovascular Mortality and Longterm Exposure to Particulate Air Pollution,2060-AP52,0.0,Cardiovascular Mortality and Longterm Exposure to Particulate Air Pollution,pc,Scholarly Journal,no match
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution,0.0,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution,0.0,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution,0.0,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution,2060-AP52,0.0,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution,pc,Scholarly Journal,10.1001/jama.287.9.113
Little‘s range and FIA importance value database for 135 eastern US tree species,0.125, Little�s range and FIA importance value database for 135 eastern US tree species,0.04878048780487805, Little�s range and FIA importance value database for 135 eastern US tree species,0.040000000000000036, Little�s range and FIA importance value database for 135 eastern US tree species,2060-AP52,0.06666666666666665, Little�s range and FIA importance value database for 135 eastern US tree species,pc,,no match
Available on the Internet at httpwwwfsfedusnedelaware4153globallittlefiaindexhtml Pye,0.2333333333333333,Altered pairing behavior and reproductive success in white ibises exposed to environmentally relevant concentrations of methylmercury,0.7416666666666667,Review of the National Ambient Air Quality Standards for Ozone Policy assessment of scientific and technical information,0.52,Skill and the Value of Life,2060-AP52,0.13207547169811318,Altered pairing behavior and reproductive success in white ibises exposed to environmentally relevant concentrations of methylmercury,pc,,no match
Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US Environ,0.03125,Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US,0.07017543859649122,Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US,0.0,Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US,2060-AP52,0.015873015873015928,Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US,pc,,no match
Oxidants and Asthmatics in Los Angeles A Benefits Analysis Executive Summary Prepared by Energy and Resource Consultants Inc Report to the US Environmental Protection Agency Office of Policy Analysis,0.1944444444444444,Reactivity and mobility of new and old mercury deposition in a boreal forest ecosystem during the first year of the METAALICUS study,0.6148409893992933,Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis�Draft Valuation Document Industrial Economics Incorporated IEc Memorandum to Jim DeMocker US Environmental Protection Agency Office of Air and Radiation Office of Policy Analysis and Review,0.0,Oxidants and Asthmatics in Los Angeles A Benefits Analysis Executive Summary,2060-AP52,0.10769230769230764,Reactivity and mobility of new and old mercury deposition in a boreal forest ecosystem during the first year of the METAALICUS study,pc,,no match
Valuation of deaths from air pollution A Report for the Department of Environment,0.2272727272727273,Valuation of deaths from air pollution,0.5308641975308642,Valuation of deaths from air pollution,0.0,Valuation of deaths from air pollution,2060-AP52,0.1282051282051282,Valuation of deaths from air pollution,pc,,no match
Direct Medical Costs of Coronary Artery Disease in the United States,0.0,Medical Costs of Coronary Artery Disease in the United States,0.0,Direct Medical Costs of Coronary Artery Disease in the United States,0.0,Medical Costs of Coronary Artery Disease in the United States,2060-AP52,0.0,Medical Costs of Coronary Artery Disease in the United States,pc,Scholarly Journal,no match
The National Morbidity Mortality and Air Pollution Study Part II Morbidity Mortality and Air Pollution in the United States Research Report No 94 Part II Health Effects Institute,0.2571428571428571,Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry,0.3089887640449438,The National Morbidity Mortality and Air Pollution Study Part II Morbidity Mortality and Air Pollution in the United States,0.0,The National Morbidity Mortality and Air Pollution Study Part II Morbidity Mortality and Air Pollution in the United States,2060-AP52,0.14754098360655746,Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry,pc,,no match
Intake of mercury from fish lipid,0.09090909090909094,An assessment of the cord bloodmaternal blood methylmercury ratio Implications for risk assessment,0.5609756097560976,Recovery of mercurycontaminated fisheries,0.0,Intake of mercury from fish lipid peroxidation and the risk of myocardial infarction and coronary cardiovascular and any death in Eastern Finnish men,2060-AP52,0.04761904761904767,An assessment of the cord bloodmaternal blood methylmercury ratio Implications for risk assessment,pc,,no match
A national ozone biomonitoring program—results from field surveys of ozone sensitive plants in Northeastern forests 19942000 Environmental Monitoring and Assessment,0.2058823529411765,A national ozone biomonitoring program  Results from field surveys of ozone sensitive plants in northeastern forests 19942000,0.2710843373493976,A national ozone biomonitoring program  Results from field surveys of ozone sensitive plants in northeastern forests 19942000,0.040000000000000036,A national ozone biomonitoring program  Results from field surveys of ozone sensitive plants in northeastern forests 19942000,2060-AP52,0.11475409836065575,A national ozone biomonitoring program  Results from field surveys of ozone sensitive plants in northeastern forests 19942000,pc,,no match
Benefit Transfer via Preference Calibration,0.3043478260869565,Benefit transfer via preference calibration Prudential algebra for policy,0.4520547945205479,Benefit transfer via preference calibration Prudential algebra for policy,0.06999999999999995,Benefit transfer via preference calibration Prudential algebra for policy,2060-AP52,0.17948717948717952,Benefit transfer via preference calibration Prudential algebra for policy,pc,,no match
Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age‖ Epidemiology,0.08823529411764708,Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age,0.15841584158415842,Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age,0.0,Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age,2060-AP52,0.0461538461538461,Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age,pc,,10.1093/aje/kwu28
Impact of Reduced Heart Rate Variability on Risk for Cardiac Events The Framingham Heart Study Circulation 941128502855,0.2894736842105263,Impact of reduced heart rate variability on risk for cardiac events  The Framingham Heart Study,0.2773109243697479,Impact of reduced heart rate variability on risk for cardiac events  The Framingham Heart Study,0.08999999999999997,Impact of reduced heart rate variability on risk for cardiac events  The Framingham Heart Study,2060-AP52,0.16923076923076918,Impact of reduced heart rate variability on risk for cardiac events  The Framingham Heart Study,pc,,no match
Population Projections of the United States by Age Sex Race Hispanic Origin and Nativity,0.11764705882352945,Population Projections of the United States by Age Sex Race Hispanic Origin and Nativity 1999 to 2100,0.12871287128712872,Population Projections of the United States by Age Sex Race Hispanic Origin and Nativity 1999 to 2100,0.0,Population Projections of the United States by Age Sex Race Hispanic Origin and Nativity 1999 to 2100,2060-AP52,0.0625,Population Projections of the United States by Age Sex Race Hispanic Origin and Nativity 1999 to 2100,pc,,no match
Regional Haze Regulations,0.0,Regional Haze Regulations,0.0,Regional Haze Regulations,0.0,Regional Haze Regulations,2060-AP52,0.0,Regional Haze Regulations,pc,Regulation ,no match
The Benefits and Costs of the Clean Air Act,0.2857142857142857,Accumulation of mercury in estuarine food chains,0.4556962025316456,The Benefits and Costs of the Clean Air Act 1990 to 2010 EPA Report to Congress,0.0,The Benefits and Costs of the Clean Air Act 1990 to 2010 EPA Report to Congress,2060-AP52,0.16666666666666666,Accumulation of mercury in estuarine food chains,pc,,no match
Guidelines for Preparing Economic Analyses,0.0,Guidelines for Preparing Economic Analyses,0.0,Guidelines for Preparing Economic Analyses,0.0,Guidelines for Preparing Economic Analyses,2060-AP52,0.0,Guidelines for Preparing Economic Analyses,pc,Government Report,no match
Guidelines for Preparing Economic Analyses,0.0,Guidelines for Preparing Economic Analyses,0.0,Guidelines for Preparing Economic Analyses,0.0,Guidelines for Preparing Economic Analyses,2060-AP52,0.0,Guidelines for Preparing Economic Analyses,pc,Government Report,no match
Guidelines for Preparing Economic Analyses,0.0,Guidelines for Preparing Economic Analyses,0.0,Guidelines for Preparing Economic Analyses,0.0,Guidelines for Preparing Economic Analyses,2060-AP52,0.0,Guidelines for Preparing Economic Analyses,pc,Government Report,no match
Water Quality Criterion for the Protection of Human Health Methylmercury Final,0.0,Water Quality Criterion for the Protection of Human Health Methylmercury Final,0.0,Water Quality Criterion for the Protection of Human Health Methylmercury Final,0.0,Water Quality Criterion for the Protection of Human Health Methylmercury Final,2060-AP52,0.0,Water Quality Criterion for the Protection of Human Health Methylmercury Final,pc,Government Report,no match
Letter to Recipients of Third Draft EPA PM Criteria Document National Center for Environmental Assessment Research Triangle Park,0.16666666666666666,Letter to Recipients of Third Draft EPA PM Criteria Document,0.53125,Letter to Recipients of Third Draft EPA PM Criteria Document,0.0,Letter to Recipients of Third Draft EPA PM Criteria Document,2060-AP52,0.09090909090909094,Letter to Recipients of Third Draft EPA PM Criteria Document,pc,,no match
National Survey of Fishing Hunting and WildlifeAssociated Recreation FHWAR FHW06NAT US Department of the Interior US Fish and Wildlife Service,0.2058823529411765,2006 National Survey of Fishing Hunting and WildlifeAssociated Recreation,0.5140845070422535,2006 National Survey of Fishing Hunting and WildlifeAssociated Recreation FHWAR,0.06999999999999995,1991 National Survey of Fishing Hunting and WildlifeAssociated Recreation,2060-AP52,0.11475409836065575,2006 National Survey of Fishing Hunting and WildlifeAssociated Recreation,pc,,no match
Fish and Fisheries Products Hazards and Controls Guidance Chapter 10 Methyl Mercury Third Edition June Available on the The NSR settlements include agreements between EPA and Southern Indiana Gas and Electric Company Vectren Public Service Enterprise Group Tampa Electric Company We Energies WEPCO Virginia Electric  Power Company Dominion Santee Cooper Minnkota Power Coop American Electric Power AEP,0.28260869565217395,Low Heart Rate Variability in a 2Minute Rhythm Strip Predicts Risk of Coronary Heart Disease and Mortality From Several Causes The ARIC Study,0.7531172069825436,Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis�Draft Valuation Document Industrial Economics Incorporated IEc Memorandum to Jim DeMocker US Environmental Protection Agency Office of Air and Radiation Office of Policy Analysis and Review,0.0,Fish and Fisheries Products Hazards and Controls Guidance Chapter 10 Methyl Mercury,2060-AP52,0.16455696202531644,Low Heart Rate Variability in a 2Minute Rhythm Strip Predicts Risk of Coronary Heart Disease and Mortality From Several Causes The ARIC Study,pc,,no match
These include current and future state programs in Alabama,0.09090909090909094,The influence of location source and emission type in estimates of the human health benefits of reducing a ton of air pollution,0.676056338028169,The Measurement of Environmental and Resource Values Theory and Methods,0.52,Status assessment and conservation plan for the common loon Gavia immer in North America,2060-AP52,0.04761904761904767,The influence of location source and emission type in estimates of the human health benefits of reducing a ton of air pollution,pc,,no match
US Coal Supply and Demand,0.4,US Coal Supply and Demand 2008 Review EIA,0.3902439024390244,US Coal Supply and Demand 2008 Review EIA,0.0,US Coal Supply and Demand 2008 Review EIA,2060-AP52,0.25,US Coal Supply and Demand 2008 Review EIA,pc,,no match
Assessing the Impact of Progress and Learning Curves on Clean Air Act Compliance Costs‖ Industrial Economics Incorporated,0.1428571428571429,Assessing the Impact of Progress and Learning Curves on Clean Air Act Compliance Costs,0.3008130081300813,Assessing the Impact of Progress and Learning Curves on Clean Air Act Compliance Costs,0.0,Assessing the Impact of Progress and Learning Curves on Clean Air Act Compliance Costs,2060-AP52,0.07692307692307687,Assessing the Impact of Progress and Learning Curves on Clean Air Act Compliance Costs,pc,,no match
Unlocking Energy Efficiency in the US,0.3636363636363637,USGS goals for the coming decade,0.6216216216216216,Varying coefficient models,0.41,Effects of methylmercury and spatial complexity on foraging behavior and foraging efficiency in juvenile white ibises ,2060-AP52,0.2222222222222222,USGS goals for the coming decade,pc,,no match
Environmental Business Journal monthly copyright httpwwwebiusacom EBI data taken from the Department of Commerce International Trade Administration Environmental Industries Fact Sheet from April 2010 941 Overall Approach and Methodology for Environmental Protection Sector Approach EPA commissioned ICF International to provide estimates for the Environmental Protection Sector and the analysis utilizes a bottomup engineering based methodology Table 95 Employment Effects Using the Environmental Protection Sector Approach for the Proposed Toxics Rule in,0.27450980392156865,Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis�Draft Valuation Document Industrial Economics Incorporated IEc Memorandum to Jim DeMocker US Environmental Protection Agency Office of Air and Radiation Office of Policy Analysis and Review,0.7333333333333333,Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis�Draft Valuation Document Industrial Economics Incorporated IEc Memorandum to Jim DeMocker US Environmental Protection Agency Office of Air and Radiation Office of Policy Analysis and Review,0.44,Environmental Protection the Economy and Jobs National and Regional Analyses,2060-AP52,0.15909090909090906,Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis�Draft Valuation Document Industrial Economics Incorporated IEc Memorandum to Jim DeMocker US Environmental Protection Agency Office of Air and Radiation Office of Policy Analysis and Review,pc,,no match
Environmental Protection the Economy and Jobs National and Regional Analyses‖,0.11111111111111116,Environmental Protection the Economy and Jobs National and Regional Analyses,0.0379746835443038,Environmental Protection the Economy and Jobs National and Regional Analyses,0.0,Environmental Protection the Economy and Jobs National and Regional Analyses,2060-AP52,0.058823529411764726,Environmental Protection the Economy and Jobs National and Regional Analyses,pc,,no match
The Impacts of Environmental Regulations on Industrial Activity Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,0.0,The Impacts of Environmental Regulations on Industrial Activity Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,0.0,The Impacts of Environmental Regulations on Industrial Activity Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,0.0,The Impacts of Environmental Regulations on Industrial Activity Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,2060-AP52,0.0,The Impacts of Environmental Regulations on Industrial Activity Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,pc,Scholarly Journal,no match
Jobs versus the Environment An IndustryLevel Perspective‖,0.11111111111111116,Jobs versus the Environment An IndustryLevel Perspective,0.05084745762711865,Jobs versus the Environment An IndustryLevel Perspective,0.0,Jobs versus the Environment An IndustryLevel Perspective,2060-AP52,0.058823529411764726,Jobs versus the Environment An IndustryLevel Perspective,pc,,no match
Portection Agency EPA ―Impacts of the Acid Rain Program on Coal Industry Employment‖,0.13793103448275867,Impacts of the Acid Rain Program on Coal Industry Employment,0.3181818181818182,Impacts of the Acid Rain Program on Coal Industry Employment,0.0,Impacts of the Acid Rain Program on Coal Industry Employment,2060-AP52,0.07407407407407407,Impacts of the Acid Rain Program on Coal Industry Employment,pc,,no match
Information Administration EIA Annual Energy Review 2009 ―Coal Mining Productivity By State and Mine Type‖ US Census Bureau,0.23684210526315785,Annual Energy Review 2009 Coal Mining Productivity By State and Mine Type,0.4251968503937008,Annual Energy Review 2009 Coal Mining Productivity By State and Mine Type,0.05000000000000005,Annual Energy Review 2009 Coal Mining Productivity By State and Mine Type,2060-AP52,0.13432835820895528,Annual Energy Review 2009 Coal Mining Productivity By State and Mine Type,pc,,no match
Impact of Carbon Price Policies on USIndustry‖ RFF Discussion Paper 0837 HttpWwwRffOrgPublicationsPagesPublicationdetailsAspx,0.3636363636363637,Climate Change 2007  Synthesis Report Contribution of Working Groups I II and III to the Fourth Assessment Report of the IPCC,0.6535433070866141,Impact of Carbon Price Policies on US Industry,0.030000000000000027,Impact of Carbon Price Policies on US Industry,2060-AP52,0.2222222222222222,Climate Change 2007  Synthesis Report Contribution of Working Groups I II and III to the Fourth Assessment Report of the IPCC,pc,,no match
Table B6 E24 E3 References Adkins Liwayway G,0.4871794871794872,Mercury and drought along the lower Carson River Nevada III Effects on blood and organ biochemistry and histopathology of snowy egrets and blackcrowned nightherons on Lahontan Reservoir 20022006,0.7307692307692307,Circular A4 Guidance to Federal Agencies on Preparation of Regulatory Analysis,0.6,Advisory on Plans for Health Effects Analysis in the Analytical Plan for EPA�s Second Prospective Analysis � Benefits and Costs of the Clean Air Act 19902020,2060-AP52,0.3220338983050848,Mercury and drought along the lower Carson River Nevada III Effects on blood and organ biochemistry and histopathology of snowy egrets and blackcrowned nightherons on Lahontan Reservoir 20022006,pc,,no match
Assessing the Employment Impacts of Environmental and Natural Resource Policy‖ Environmental and Resource Economics,0.10344827586206896,Assessing the Employment Impacts of Environmental and Natural Resource Policy,0.3418803418803419,Assessing the Employment Impacts of Environmental and Natural Resource Policy,0.0,Assessing the Employment Impacts of Environmental and Natural Resource Policy,2060-AP52,0.054545454545454564,Assessing the Employment Impacts of Environmental and Natural Resource Policy,pc,,10.1023/a:101553170290
The Welfare Economics of Public Policy,0.0,The Welfare Economics of Public Policy,0.0,The Welfare Economics of Public Policy,0.0,The Welfare Economics of Public Policy,2060-AP52,0.0,The Welfare Economics of Public Policy,pc,Book ,no match
